"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Tom Murphy","Rockies","16","64","59","13","3","0","2","7","8","4","24","0","0",".214",".271",".405",".676",".290","576.4","13499"
"Reese McGuire","Blue Jays","24","94","85","20","4","0","2","10","8","7","21","1","0",".235",".298",".367",".665",".290","599.9","15674"
"Chris Herrmann","Athletics","40","158","138","29","6","1","4","17","15","18","45","1","0",".207",".300",".357",".657",".289","593.9","9284"
"James McCann","White Sox","49","187","171","40","8","0","5","18","19","12","49","1","0",".233",".290",".373",".663",".289","554.9","12859"
"Meibrys Viloria","Royals","3","13","11","3","1","0","0","1","1","1","3","0","0",".240",".298",".364",".661",".289","999.0","17109"
"Zack Collins","White Sox","3","13","11","2","0","0","0","1","1","2","5","0","0",".191",".303",".344",".648",".289","598.2","sa738390"
"Austin Romine","Yankees","32","129","118","28","5","0","3","14","14","8","31","1","0",".236",".290",".374",".664",".288","531.2","5491"
"Christian Vazquez","Red Sox","97","387","356","90","19","1","5","42","38","24","69","5","1",".253",".305",".354",".659",".288","518.0","9774"
"Rene Rivera","Giants","24","95","87","20","4","0","3","10","11","6","29","1","0",".226",".282",".384",".666",".288","999.0","3648"
"Seby Zavala","White Sox","5","18","17","4","1","0","1","2","2","1","6","0","0",".223",".284",".377",".661",".287","999.0","sa875572"
"Andrew Knapp","Phillies","24","97","86","18","4","0","2","10","10","10","31","1","0",".215",".300",".352",".652",".287","600.3","14942"
"Garrett Stubbs","Astros","8","32","29","7","2","0","0","3","3","3","6","0","0",".232",".305",".347",".652",".286","999.0","sa827172"
"Roberto Perez","Indians","73","288","250","53","11","1","7","31","26","31","88","3","1",".210",".300",".344",".644",".286","591.5","2900"
"Spencer Kieboom","Nationals","3","13","12","3","1","0","0","1","1","1","3","0","0",".232",".301",".345",".646",".285","598.8","13300"
"Josh Phegley","Athletics","97","378","344","77","19","1","10","38","39","25","89","2","1",".223",".285",".371",".656",".285","591.0","9308"
"John Ryan Murphy","Diamondbacks","32","110","101","22","5","0","3","11","12","8","29","0","0",".221",".278",".382",".659",".285","999.0","10346"
"Blake Swihart","Red Sox","32","135","123","28","6","1","3","15","13","11","36","2","1",".231",".295",".354",".649",".284","546.6","13176"
"Luis Torrens","Padres","3","13","12","3","1","0","0","1","1","1","2","0","0",".247",".296",".353",".649",".283","999.0","15905"
"Grayson Greiner","Tigers","122","469","421","93","21","1","10","46","43","42","126","2","1",".220",".294",".348",".641",".283","533.8","17062"
"Jacob Nottingham","Brewers","2","6","5","1","0","0","0","1","1","0","2","0","0",".212",".279",".370",".649",".282","600.9","16448"
"Jose Lobaton","Mariners","5","19","17","4","1","0","0","2","2","2","5","0","0",".218",".297",".346",".642",".282","999.0","4243"
"David Freitas","Mariners","44","170","154","36","8","0","3","16","17","12","38","1","0",".231",".294",".346",".639",".281","999.0","10619"
"Erik Kratz","Brewers","13","51","47","10","2","0","2","5","6","3","13","0","0",".218",".274",".374",".648",".281","999.0","4403"
"Raffy Lopez","Braves","13","34","31","6","1","0","1","3","4","3","11","0","0",".207",".281",".366",".647",".281","999.0","12606"
"Jacob Stallings","Pirates","8","32","29","7","2","0","1","3","3","2","7","0","0",".236",".287",".357",".644",".280","999.0","13723"
"Martin Maldonado","","81","320","288","64","12","1","8","32","31","18","80","2","1",".222",".286",".354",".640",".280","578.6","6887"
"Taylor Davis","Cubs","3","13","12","3","1","0","0","1","1","1","2","0","0",".240",".297",".341",".638",".280","999.0","12782"
"Michael Perez","Rays","42","164","150","34","8","1","3","15","17","12","41","1","0",".225",".285",".357",".643",".280","597.3","12977"
"Cam Gallagher","Royals","32","124","113","26","6","0","2","11","12","9","21","1","0",".235",".293",".346",".639",".279","600.3","12981"
"Raudy Read","Nationals","2","6","6","1","0","0","0","1","1","0","1","0","0",".233",".279",".367",".646",".279","999.0","15766"
"Austin Wynns","Orioles","97","370","338","78","15","1","8","33","33","25","88","1","0",".230",".288",".348",".636",".279","588.3","15271"
"Jeff Mathis","Rangers","97","380","345","77","16","2","8","38","35","29","106","2","1",".222",".286",".348",".634",".278","599.5","3448"
"Eric Haase","Indians","8","32","29","6","1","0","1","3","4","2","12","0","0",".202",".266",".373",".639",".278","999.0","14111"
"Alex Jackson","Braves","3","13","12","2","1","0","0","1","2","1","5","0","0",".206",".272",".370",".642",".278","999.0","sa828663"
"Sandy Leon","Red Sox","49","194","175","39","8","1","4","20","20","14","49","1","0",".221",".284",".349",".633",".277","599.1","5273"
"Aramis Garcia","Giants","8","32","29","7","1","0","1","3","3","2","10","0","0",".221",".270",".365",".635",".276","585.8","16925"
"Pedro Severino","Nationals","2","6","6","1","0","0","0","1","1","0","1","0","0",".227",".279",".354",".633",".275","999.0","14523"
"Jose Trevino","Rangers","32","127","119","28","6","0","2","12","13","6","20","0","0",".238",".278",".356",".634",".274","601.0","16725"
"Jorge Alfaro","Marlins","130","499","461","102","20","2","12","45","47","24","179","3","1",".222",".276",".355",".631",".274","240.3","12180"
"Jose Briceno","Angels","16","64","59","13","3","0","2","7","7","3","16","1","0",".214",".259",".372",".631",".272","999.0","13151"
"Luke Maile","Blue Jays","24","94","85","18","4","0","2","9","8","7","25","1","0",".212",".277",".334",".611",".270","598.3","13355"
"Caleb Joseph","Diamondbacks","8","32","29","7","1","0","1","3","3","2","8","0","0",".228",".274",".343",".617",".269","600.6","7087"
"Beau Taylor","Athletics","8","32","28","6","1","0","0","3","2","3","9","0","0",".206",".291",".309",".601",".268","999.0","12384"
"Nick Ciuffo","Rays","6","26","24","5","1","0","0","2","2","2","7","0","0",".224",".273",".340",".613",".267","999.0","16291"
"Chad Wallach","Marlins","32","125","112","23","5","0","3","11","10","10","39","1","0",".206",".276",".328",".604",".266","600.7","17161"
"Tomas Nido","Mets","3","13","12","3","1","0","0","1","1","1","3","0","0",".227",".267",".341",".608",".264","999.0","13755"
"Bobby Wilson","Tigers","32","125","113","24","5","0","3","11","11","9","32","1","0",".209",".270",".326",".596",".262","999.0","6564"
"Rocky Gale","Dodgers","2","6","6","1","0","0","0","1","1","0","1","0","0",".227",".269",".309",".579",".254","999.0","10533"
"Jhonatan Solano","","81","320","296","65","13","1","4","28","27","16","49","1","1",".220",".267",".310",".577",".253","999.0","7515"
