"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Austin Dean","Cardinals","5","21","19","5","1","0","1","2","2","1","4","0","0",".255",".308",".407",".715",".303","18288"
"Oscar Mercado","Indians","136","586","530","134","29","3","14","75","58","41","117","23","7",".252",".312",".396",".709",".303","16375"
"Chad Pinder","Athletics","42","179","163","39","8","0","6","21","21","12","46","1","0",".240",".300",".416",".716",".303","15191"
"Billy McKinney","Blue Jays","36","151","135","31","7","1","5","17","17","13","38","1","0",".231",".302",".415",".716",".303","15654"
"Ben Gamel","Brewers","57","138","123","31","7","1","2","16","13","13","33","2","1",".251",".327",".374",".702",".303","12160"
"Robbie Grossman","Athletics","45","193","166","40","9","1","3","22","15","24","37","2","1",".241",".338",".349",".687",".302","5254"
"Ender Inciarte","Braves","110","379","341","90","15","2","6","47","35","31","56","13","4",".263",".329",".372",".701",".302","4922"
"Phillip Ervin","Reds","65","161","143","34","8","1","5","20","16","13","38","4","1",".236",".310",".398",".707",".302","14738"
"Abraham Almonte","","3","14","12","3","1","0","0","2","1","1","3","0","0",".234",".316",".384",".700",".301","5486"
"Mark Trumbo","","40","175","160","37","7","0","8","20","23","13","46","0","0",".231",".291",".422",".713",".300","6876"
"Harold Ramirez","Marlins","42","120","112","30","6","1","2","12","13","6","24","1","0",".269",".313",".392",".705",".300","14387"
"Mike Yastrzemski","Giants","136","580","518","119","28","5","18","66","65","50","153","5","2",".230",".303",".405",".709",".300","14854"
"Josh Reddick","Astros","83","360","326","83","14","2","9","43","39","29","50","3","1",".255",".314",".389",".703",".300","3892"
"Yadiel Hernandez","Nationals","2","7","6","2","0","0","0","1","1","1","2","0","0",".245",".318",".386",".704",".300","sa724030"
"Randy Arozarena","Rays","8","34","31","7","2","0","1","4","3","2","8","1","0",".242",".313",".386",".698",".299","19290"
"LaMonte Wade","Twins","8","35","30","7","1","0","1","4","3","4","6","0","0",".236",".328",".358",".685",".299","18126"
"Brian Goodwin","Angels","100","431","388","90","19","2","15","52","48","36","122","6","2",".231",".299",".407",".706",".299","12858"
"Scott Kingery","Phillies","146","633","581","140","31","3","21","77","72","39","167","16","3",".242",".295",".412",".707",".298","17975"
"Adam Haseley","Phillies","110","478","434","109","21","2","11","54","50","33","106","5","2",".251",".311",".387",".698",".298","19878"
"Mike Tauchman","Yankees","107","461","410","97","20","2","12","55","46","44","106","7","3",".237",".313",".381",".694",".298","15274"
"Derek Fisher","Blue Jays","96","405","357","78","15","2","14","50","41","43","135","9","3",".218",".306",".386",".692",".297","16192"
"D.J. Stewart","Orioles","79","331","292","66","14","1","10","38","32","32","78","5","2",".225",".309",".384",".693",".297","17766"
"Brock Holt","","104","360","317","78","14","2","5","39","32","36","75","4","1",".247",".329",".349",".678",".297","9345"
"Mac Williamson","Nationals","3","14","13","3","1","0","1","2","2","1","4","0","0",".226",".298",".400",".698",".296","14158"
"Myles Straw","Astros","28","120","107","28","5","1","1","16","9","11","25","5","1",".262",".335",".339",".673",".296","17620"
"Jacoby Ellsbury","","19","84","74","19","4","1","1","10","7","8","14","3","1",".250",".323",".359",".682",".296","4727"
"Leury Garcia","White Sox","97","414","382","103","16","3","6","49","35","19","89","10","3",".269",".311",".376",".687",".295","5913"
"Ryan McBroom","Royals","45","191","173","42","9","0","5","20","21","14","51","1","0",".242",".305",".388",".693",".295","16524"
"JaCoby Jones","Tigers","130","544","492","114","24","4","16","65","54","39","160","12","4",".232",".298",".394",".692",".295","14818"
"Victor Reyes","Tigers","96","402","375","100","18","4","6","47","36","21","79","11","3",".267",".307",".386",".693",".295","15487"
"Kevin Kiermaier","Rays","112","476","432","103","19","5","13","60","44","33","106","17","5",".238",".300",".395",".695",".295","11038"
"Daniel Johnson","Indians","8","35","32","8","2","0","1","4","4","2","9","1","0",".241",".299",".393",".692",".294","sa918018"
"Albert Almora Jr.","Cubs","75","265","246","64","13","1","6","29","29","14","44","2","1",".261",".303",".393",".695",".294","14109"
"Nick Williams","Phillies","10","22","20","5","1","0","1","2","3","1","7","0","0",".236",".292",".401",".694",".293","14330"
"Jon Jay","Diamondbacks","37","121","109","29","5","1","0","13","9","7","20","1","0",".270",".330",".340",".670",".293","5227"
"Dwight Smith Jr.","Orioles","52","216","195","47","10","1","5","24","20","17","44","2","1",".239",".304",".378",".682",".292","13473"
"Nicky Delmonico","White Sox","3","14","12","3","1","0","0","2","1","1","3","0","0",".226",".301",".383",".684",".292","13157"
"Jo Adell","Angels","55","237","217","51","11","1","8","28","26","15","71","3","1",".234",".291",".395",".686",".291","sa3004837"
"Yairo Munoz","Cardinals","62","166","154","39","8","1","4","19","18","10","35","4","1",".252",".301",".386",".686",".291","16313"
"Cristian Pache","Braves","6","28","26","7","1","0","1","3","3","2","7","0","0",".253",".298",".389",".688",".291","sa916722"
