"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"A.J. Reed","Astros","10","42","37","8","2","0","2","5","6","4","13","0","0",".219",".304",".413",".717",".309","597.9","16246"
"Ryan O'Hearn","Royals","134","563","503","115","26","2","19","59","68","53","165","3","1",".229",".304",".406",".711",".307","405.0","16442"
"Christian Walker","Diamondbacks","65","179","162","38","9","1","6","20","22","13","53","1","0",".232",".295",".417",".712",".306","595.8","13419"
"Victor Caratini","Cubs","50","185","167","42","10","1","4","20","19","15","39","1","0",".252",".319",".383",".702",".305","586.5","14968"
"Chris Davis","Orioles","136","567","495","102","20","1","25","61","69","61","203","2","1",".207",".300",".402",".702",".305","550.0","9272"
"John Hicks","Tigers","86","359","330","80","16","1","11","39","38","23","95","3","1",".243",".296",".395",".692",".300","400.0","12547"
"Sam Travis","Red Sox","2","7","6","2","0","0","0","1","1","1","2","0","0",".250",".309",".375",".685",".299","999.0","16263"
"Garrett Cooper","Marlins","73","209","191","47","10","1","5","20","21","14","52","1","0",".246",".305",".384",".689",".298","999.0","15279"
"Corban Joseph","Orioles","3","14","12","3","1","0","0","1","1","1","2","0","0",".252",".305",".371",".677",".295","999.0","5503"
"Hunter Dozier","Royals","138","577","521","117","31","2","16","58","63","49","175","5","1",".225",".294",".383",".676",".294","533.2","15117"
"Albert Pujols","Angels","94","405","377","89","17","1","16","43","51","21","58","2","0",".236",".278",".410",".688",".294","514.3","1177"
"Dominic Smith","Mets","3","14","13","3","1","0","0","1","1","1","4","0","0",".238",".297",".381",".678",".294","599.5","15653"
"Brandon Dixon","Tigers","23","96","88","20","5","0","3","10","10","6","30","2","0",".223",".276",".380",".656",".284","999.0","15214"
"Taylor Davis","Cubs","3","13","12","3","1","0","0","1","1","1","2","0","0",".240",".297",".341",".638",".280","999.0","12782"
"Ryder Jones","Giants","2","7","6","1","0","0","0","1","1","0","2","0","0",".224",".278",".359",".637",".276","999.0","15982"
"Aramis Garcia","Giants","8","32","29","7","1","0","1","3","3","2","10","0","0",".221",".270",".365",".635",".276","585.8","16925"
"Peter O'Brien","Marlins","89","375","340","64","14","1","16","35","44","29","151","1","0",".189",".258",".374",".632",".273","562.8","13288"
