"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Jose Altuve","Astros","145","630","567","172","32","3","24","97","82","52","91","10","4",".302",".365",".499",".864",".363","5417"
"Max Muncy","Dodgers","144","593","495","123","22","1","32","92","88","87","153","4","2",".248",".365",".492",".857",".361","13301"
"Ketel Marte","Diamondbacks","151","633","572","169","32","8","24","89","79","54","88","10","3",".295",".359",".504",".862",".360","13613"
"Howie Kendrick","Nationals","95","319","292","90","17","1","10","43","44","21","50","2","1",".307",".357",".480",".837",".353","4229"
"Jeff McNeil","Mets","145","616","556","164","34","3","20","88","73","39","82","7","4",".294",".356",".475",".831",".351","15362"
"Gleyber Torres","Yankees","150","620","557","152","27","1","33","89","96","52","136","6","3",".273",".337",".504",".841",".350","16997"
"Keston Hiura","Brewers","147","618","562","154","33","3","28","84","84","42","170","13","5",".275",".336",".492",".828",".346","20003"
"Ozzie Albies","Braves","156","670","613","176","37","7","23","96","80","47","108","17","5",".287",".341",".481",".823",".345","16556"
"Yoan Moncada","White Sox","149","630","565","151","30","5","25","89","80","57","179","11","4",".267",".338",".471",".810",".341","17232"
"Luis Arraez","Twins","132","547","493","153","29","2","6","68","52","46","47","4","3",".311",".369",".419",".788",".339","18568"
"DJ LeMahieu","Yankees","147","644","585","172","29","2","19","97","76","48","92","5","3",".294",".349",".446",".795",".337","9874"
"Javier Baez","Cubs","149","618","577","159","34","4","31","91","96","31","166","13","6",".275",".315",".508",".823",".336","12979"
"Cavan Biggio","Blue Jays","141","596","497","117","24","3","21","80","69","90","160","17","4",".236",".355",".422",".778",".335","19252"
"Daniel Murphy","Rockies","121","476","437","126","28","2","16","61","70","32","69","1","1",".289",".339",".470",".809",".334","4316"
"Wilmer Flores","Giants","99","354","325","92","18","1","13","37","44","20","41","0","0",".283",".329",".466",".795",".332","5827"
"Ryan McMahon","Rockies","137","540","485","126","27","2","21","66","75","50","150","5","2",".260",".332",".455",".786",".332","15112"
"Brandon Lowe","Rays","133","541","485","121","27","3","24","70","72","47","160","7","2",".249",".322",".466",".788",".331","18882"
"Gavin Lux","Dodgers","131","534","481","129","24","4","17","71","61","48","117","10","4",".267",".336",".440",".775",".329","19955"
"Brendan Rodgers","Rockies","38","152","142","39","8","1","5","18","18","8","35","1","0",".275",".326",".448",".774",".328","17907"
"Tommy La Stella","Angels","117","442","401","110","17","1","14","60","52","35","53","1","1",".276",".339",".428",".767",".327","12371"
"Whit Merrifield","Royals","150","653","599","171","37","5","14","87","63","42","109","22","8",".286",".336",".435",".772",".327","11281"
"Asdrubal Cabrera","Nationals","105","397","355","93","20","1","13","49","51","35","78","2","1",".263",".332",".438",".769",".326","4962"
"Brian Dozier","","95","387","338","79","17","1","16","49","48","44","84","4","2",".234",".328",".438",".766",".324","9810"
"Ty France","Padres","76","224","203","52","10","1","8","27","29","14","47","0","0",".258",".322",".441",".763",".323","17982"
"Tommy Edman","Cardinals","138","558","517","143","26","6","14","73","56","33","95","20","5",".276",".325",".431",".756",".321","19470"
"Adam Frazier","Pirates","135","544","492","135","29","5","10","67","52","40","73","5","4",".275",".336",".414",".751",".321","15223"
"Cesar Hernandez","Indians","142","601","537","146","26","4","11","74","58","57","103","11","4",".272",".345",".397",".742",".320","10556"
"Michael Chavis","Red Sox","112","456","414","102","18","1","21","58","63","34","136","3","1",".247",".312",".450",".761",".320","17321"
"Robinson Cano","Mets","123","513","469","127","27","1","17","62","65","36","79","1","0",".271",".327",".437",".764",".320","3269"
"Starlin Castro","Nationals","135","568","529","148","28","2","18","68","73","30","100","3","1",".280",".320",".440",".760",".320","4579"
"Garrett Hampson","Rockies","116","406","369","100","18","4","9","50","39","32","90","20","6",".271",".331",".415",".746",".319","19262"
"Jurickson Profar","Padres","136","545","477","116","26","3","18","67","67","51","80","8","3",".244",".326",".421",".746",".318","10815"
"Jonathan Schoop","Tigers","133","534","498","129","25","2","24","64","71","24","124","1","1",".259",".301",".462",".763",".318","11265"
"Brad Miller","Cardinals","54","152","135","32","6","1","6","18","19","16","42","2","0",".236",".318",".441",".760",".318","12775"
"Michael Brosseau","Rays","52","196","179","45","10","1","7","24","23","13","46","2","1",".254",".315",".431",".746",".316","19683"
"Derek Dietrich","Reds","32","83","73","17","4","0","4","10","10","6","22","0","0",".238",".318",".435",".752",".316","10542"
