"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Nick Hundley","Giants","62","242","225","57","16","0","7","23","29","14","59","1","0",".253",".298",".424",".722",".306","504.1","3376"
"Christian Vazquez","Red Sox","100","369","342","93","19","2","5","43","35","22","69","5","2",".273",".322",".382",".704",".306","286.2","9774"
"Carlos Ruiz","Mariners","46","177","156","38","9","0","4","19","18","15","40","1","0",".242",".320",".381",".701",".305","999.0","2579"
"Devin Mesoraco","Reds","57","215","190","44","9","1","7","21","26","19","47","1","0",".230",".312",".390",".701",".305","496.4","5666"
"Brett Nicholas","Rangers","38","144","133","33","8","0","5","16","19","9","33","0","0",".245",".298",".412",".710",".305","681.7","11192"
"Jorge Alfaro","Phillies","85","341","317","82","16","1","11","35","39","15","104","1","1",".259",".304",".423",".728",".305","254.1","12180"
"Tomas Nido","Mets","29","99","92","24","6","0","2","7","16","5","20","0","0",".258",".300",".407",".707",".303","999.0","13755"
"John Hicks","Tigers","62","233","215","53","13","0","7","27","26","14","60","3","2",".248",".299",".407",".706",".302","636.5","12547"
"Roberto Perez","Indians","82","306","266","58","13","1","10","30","39","33","83","1","1",".218",".305",".385",".691",".300","580.5","2900"
"Blake Swihart","Red Sox","39","125","110","27","4","1","2","14","11","13","32","1","0",".247",".328",".350",".678",".300","564.0","13176"
"Steve Clevenger","","19","75","68","17","3","0","1","7","8","6","13","1","0",".253",".318",".363",".682",".298","999.0","9542"
"Max Stassi","Astros","44","150","131","29","6","0","5","19","17","14","38","0","0",".224",".300",".390",".690",".297","688.7","10059"
"Raudy Read","Nationals","34","98","91","23","3","0","2","10","9","6","22","0","0",".256",".304",".379",".683",".296","999.0","15766"
"Francisco Mejia","Indians","81","265","244","63","12","1","7","25","33","16","46","2","1",".257",".309",".391",".700",".296","345.8","16403"
"Miguel Gomez","Giants","41","123","115","31","7","1","2","13","12","6","20","1","0",".264",".299",".389",".688",".295","999.0","17075"
"Kevin Plawecki","Mets","66","252","226","55","11","0","6","23","27","20","45","1","0",".245",".313",".376",".689",".294","555.4","13807"
"Chris Gimenez","Cubs","44","164","139","29","5","0","4","18","13","21","45","1","0",".207",".318",".338",".656",".294","999.0","7324"
"Carson Kelly","Cardinals","61","208","189","45","10","0","5","20","22","16","36","0","0",".239",".306",".364",".671",".294","540.6","13620"
"Jesus Sucre","Rays","47","179","165","42","7","0","5","17","21","8","34","2","0",".255",".294",".391",".685",".293","653.2","5942"
"Tom Murphy","Rockies","89","306","283","64","15","1","13","33","41","19","96","1","1",".227",".280",".425",".705",".292","445.2","13499"
"Bryan Holaday","Tigers","38","137","128","32","8","2","2","12","14","6","25","0","0",".250",".288",".397",".685",".292","999.0","11287"
"Sandy Leon","Red Sox","67","251","226","55","11","0","6","26","29","20","61","0","0",".242",".305",".369",".674",".292","536.5","5273"
"Jacob Stallings","Pirates","25","101","92","23","6","0","2","10","11","7","21","1","0",".250",".310",".374",".684",".291","999.0","13723"
"Matt Wieters","Nationals","109","423","383","90","17","0","12","41","49","33","84","1","0",".236",".298",".372",".671",".289","320.2","4298"
"Austin Hedges","Padres","113","406","376","86","18","0","17","40","55","21","105","3","1",".229",".273",".413",".687",".289","273.0","12976"
"Hector Sanchez","Padres","60","175","164","38","7","0","7","16","25","9","46","0","0",".230",".274",".409",".682",".289","690.6","10289"
"Kevan Smith","White Sox","65","243","226","58","12","0","4","21","25","12","44","0","0",".257",".298",".365",".663",".287","579.6","12284"
"Tomas Telis","Marlins","39","130","120","30","5","1","2","13","13","8","20","0","0",".250",".299",".366",".665",".287","656.9","10067"
"Yan Gomes","Indians","84","316","289","64","14","0","11","33","40","19","83","0","0",".222",".282",".383",".665",".287","384.2","9627"
