"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Nick Swisher","Braves","76","306","275","61","10","0","10","29","36","26","81","2","0","0",".222",".291",".367",".658",".286","-3.0","-0.2","-0.7","4599"
"Jeremy Lucas","Indians","88","368","331","74","16","1","9","38","37","29","91","4","1","2",".224",".292",".360",".652",".286","-6.4","-0.8","0.1","sa503053"
"Andrew Knapp","Phillies","103","432","395","89","20","2","10","49","44","31","132","4","2","3",".225",".287",".362",".649",".283","-2.8","-1.0","0.4","sa550140"
"Jimmy Paredes","Phillies","111","361","340","81","16","2","9","37","35","17","102","1","7","3",".238",".275",".376",".651",".280","-4.3","0.0","-1.0","5481"
"Mike Ohlman","Cardinals","95","369","338","78","16","1","8","38","37","26","110","1","1","1",".231",".285",".355",".640",".279","-7.9","-0.4","-0.2","sa501614"
"Yusniel Diaz","Dodgers","97","414","387","88","10","6","11","44","50","25","108","1","5","10",".227",".275",".370",".645",".279","-2.1","-3.3","-0.4","sa912848"
"Steve Clevenger","","64","234","215","53","9","1","3","22","22","17","39","0","0","0",".247",".299",".340",".639",".279","-4.1","-0.1","0.1","9542"
"Mitch Garver","Twins","112","464","418","95","21","0","8","46","48","38","112","4","2","3",".227",".295",".335",".630",".278","2.7","-1.1","0.9","sa578988"
"Garin Cecchini","Red Sox","125","486","445","105","21","3","6","46","40","33","105","4","9","3",".236",".293",".337",".630",".276","3.8","0.3","-0.8","11608"
"Steven Graeter","Rockies","75","278","256","61","10","1","5","24","24","15","67","3","5","4",".238",".286",".344",".630",".276","-5.6","-0.8","-1.4","sa660832"
"Matt Davidson","White Sox","112","472","425","87","17","0","16","53","51","38","170","5","0","0",".205",".276",".358",".634",".276","-3.6","-0.2","-0.4","7226"
"Matthew Oberste","Mets","117","457","424","99","19","3","9","48","47","25","108","3","1","2",".233",".278",".356",".634",".274","-1.2","-0.8","-1.3","sa737845"
"Alexander Burg","Rangers","86","333","301","64","14","0","7","31","30","25","99","3","1","1",".213",".277",".329",".606",".267","-8.9","-0.4","-0.8","sa502124"
"Joe Jackson","Rangers","104","436","401","91","17","2","5","38","34","26","106","4","2","3",".227",".278",".317",".595",".261","-7.8","-1.0","-2.3","sa550375"
"Zane Evans","Royals","82","323","308","68","14","1","7","28","29","11","90","2","1","1",".221",".251",".341",".592",".255","-2.3","-0.3","-0.4","sa708968"
"Justin O'Conner","Rays","70","286","275","56","12","1","8","27","27","8","105","2","2","1",".204",".231",".342",".573",".246","2.9","-0.1","0.1","sa548314"
"Rico Noel","Yankees","82","241","217","46","8","2","0","23","15","15","64","4","18","6",".212",".274",".267",".542",".243","1.7","1.0","-0.4","10585"
"Terrance Gore","Royals","108","321","286","58","4","1","0","30","13","19","84","5","35","5",".203",".265",".224",".488",".225","-1.9","4.8","-1.2","13658"
