"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Tyler Stephenson","Reds","104","436","388","85","18","1","9","45","41","37","117","6","1","0",".219",".294",".340",".634",".280","-3.1","0.0","0.3","999.0","sa874242"
"Chris Herrmann","Athletics","82","242","210","42","8","2","5","28","25","29","67","1","2","0",".200",".299",".329",".627",".279","0.0","0.3","0.6","593.9","9284"
"Jacob Nottingham","Brewers","90","348","313","63","13","2","11","36","37","25","121","8","3","2",".201",".277",".361",".638",".279","-1.3","-0.4","0.3","600.9","16448"
"Francisco Arcia","Cubs","79","282","258","60","9","1","6","27","30","13","58","7","3","1",".233",".287",".345",".632",".278","-3.4","0.0","0.1","999.0","10286"
"Kyle Higashioka","Yankees","83","309","285","62","14","1","10","32","39","20","72","1","1","0",".218",".269",".379",".648",".278","-3.1","0.1","0.2","999.0","5517"
"Will Smith","Dodgers","88","369","327","64","14","1","12","39","39","31","122","7","4","1",".196",".277",".355",".632",".278","7.1","0.2","1.5","600.9","sa873265"
"John Silviano","Marlins","96","377","341","69","12","3","12","39","39","33","134","2","3","3",".202",".276",".361",".637",".278","0.8","-0.8","-0.6","999.0","sa658243"
"James McCann","White Sox","114","427","394","91","14","1","10","34","44","26","115","4","0","2",".231",".284",".348",".632",".277","0.8","-1.0","0.8","554.9","12859"
"Sean Murphy","Athletics","84","343","314","69","18","1","8","36","33","22","74","4","2","0",".220",".278",".360",".638",".277","5.2","0.2","1.3","593.0","sa873680"
"Clint Coulter","","115","433","394","81","18","3","13","44","46","27","138","9","2","3",".206",".270",".365",".636",".277","-2.6","-1.0","-1.1","999.0","sa657922"
"Brett Cumberland","Orioles","98","398","339","61","14","1","11","41","34","40","144","16","0","2",".180",".295",".324",".619",".277","-5.4","-1.0","0.1","999.0","sa915611"
"Li-Jen Chu","Indians","103","417","387","89","17","1","10","40","40","23","105","4","1","0",".230",".278",".357",".635",".277","-7.3","0.0","-0.2","999.0","sa830277"
"Juan Centeno","Red Sox","74","272","252","63","12","1","3","24","24","13","46","2","0","1",".250",".290",".341",".631",".277","-6.4","-0.6","-0.4","999.0","7168"
"Dom Nunez","Rockies","98","397","348","74","12","1","8","41","34","41","94","3","7","4",".213",".299",".322",".621",".276","4.7","-0.5","0.2","999.0","sa737813"
"Austin Wynns","Orioles","89","325","299","70","11","0","7","34","29","20","75","2","1","0",".234",".285",".341",".626",".275","0.4","0.0","0.6","588.3","15271"
"Alex Jackson","Braves","101","398","361","73","19","2","12","41","42","27","136","8","0","0",".202",".271",".366",".637",".275","-5.4","-0.2","-0.1","999.0","sa828663"
"Tyler Marlette","","111","440","406","88","19","2","11","45","44","31","122","2","3","2",".217",".275",".355",".630",".275","-5.7","-0.4","-0.1","999.0","sa597836"
"Dan Butler","","66","244","217","48","12","0","3","23","21","21","54","3","0","0",".221",".296",".318",".614",".275","-0.6","-0.1","0.2","999.0","9968"
"Raffy Lopez","Braves","83","293","265","57","11","1","8","30","35","24","93","1","1","0",".215",".280",".355",".635",".273","-3.3","0.1","0.0","999.0","12606"
"Brett Sullivan","Rays","113","473","447","108","22","3","8","47","46","20","74","2","12","4",".242",".275",".358",".633",".273","-4.0","0.5","0.5","999.0","sa857232"
"Carlos Perez","Orioles","76","274","251","55","12","1","7","26","29","17","53","1","2","1",".219",".269",".359",".628",".273","-0.2","-0.1","0.4","999.0","10642"
"Seby Zavala","White Sox","101","417","382","81","17","1","12","42","43","27","139","4","1","2",".212",".269",".356",".625",".273","-3.6","-0.8","0.2","999.0","sa875572"
"Caleb Joseph","Diamondbacks","95","320","300","69","15","2","6","32","27","15","77","3","1","1",".230",".273",".353",".626",".273","3.5","-0.4","0.6","600.6","7087"
"Josh Morgan","Rangers","95","395","363","87","16","2","4","39","29","23","64","5","2","1",".240",".291",".328",".619",".272","-1.6","-0.2","0.0","999.0","sa828797"
"Jacob Stallings","Pirates","79","299","277","66","18","1","3","29","32","15","60","3","1","2",".238",".282",".343",".625",".271","5.0","-0.8","0.8","999.0","13723"
"Jhonny Pereda","Cubs","118","475","430","99","12","2","6","46","36","41","86","2","3","3",".230",".300",".309",".609",".271","1.1","-0.9","0.5","999.0","sa735866"
"Tyler Heineman","Diamondbacks","74","275","244","55","12","0","3","28","20","24","45","2","2","1",".225",".298",".311",".609",".271","2.4","-0.2","0.4","999.0","sa658108"
"P.J. Higgins","Cubs","108","442","390","87","17","1","4","41","30","40","85","4","3","1",".223",".300",".303",".602",".271","-0.1","-0.1","0.4","999.0","sa875573"
"Mike Ohlman","","79","300","268","53","10","0","9","31","30","29","112","1","1","0",".198",".277",".336",".612",".271","-6.2","0.0","-0.4","999.0","10347"
"Rob Brantly","Phillies","80","286","269","63","11","1","6","29","28","10","59","5","0","1",".234",".273",".349",".622",".271","-1.0","-0.6","0.1","999.0","10655"
"Pedro Severino","Nationals","100","350","324","75","13","1","7","32","33","20","70","3","2","1",".231",".281",".343",".623",".271","0.3","-0.2","0.3","999.0","14523"
"Chad Wallach","Marlins","69","258","231","47","11","0","6","25","23","22","77","3","0","1",".203",".280",".329",".609",".271","-0.4","-0.5","0.3","600.7","17161"
"Martin Cervenka","Orioles","100","391","363","81","16","1","10","38","39","23","98","1","1","1",".223",".269",".355",".624",".271","4.6","-0.4","0.9","999.0","sa492636"
"Julian Leon","Angels","70","280","243","45","9","0","8","29","27","27","97","7","0","2",".185",".282",".321",".603",".271","-2.2","-1.0","0.2","999.0","sa739577"
"Chris Rabago","Rockies","77","295","266","60","12","3","3","28","22","21","72","3","9","4",".226",".288",".327",".615",".270","3.5","0.0","0.1","999.0","sa829062"
"Juan Kelly","","115","467","422","86","20","2","12","46","46","38","150","3","3","3",".204",".272",".346",".618",".270","1.3","-0.8","-1.1","999.0","sa657541"
"Eric Haase","Indians","111","433","397","77","17","3","16","45","52","28","172","4","2","2",".194",".252",".373",".625",".270","3.1","-0.6","0.6","999.0","14111"
"Chadwick Tromp","Reds","79","298","272","62","12","1","4","28","24","20","60","3","2","2",".228",".286",".324",".610",".270","0.8","-0.6","0.2","999.0","sa746793"
"Bruce Maxwell","","82","298","271","59","15","0","5","26","28","25","79","0","0","0",".218",".282",".328",".610",".270","-0.1","-0.2","0.4","999.0","13866"
"Jose Godoy","Cardinals","81","308","276","63","11","1","3","28","23","22","55","5","1","1",".228",".296",".308",".604",".270","2.8","-0.4","0.6","999.0","sa657267"
"Jose Lobaton","Mariners","52","171","152","31","5","1","4","15","17","17","45","1","1","0",".204",".287",".329",".615",".269","-1.2","0.1","0.2","999.0","4243"
"Jake Rogers","Tigers","99","414","372","74","15","2","12","44","43","32","126","5","6","4",".199",".269",".347",".616",".269","7.6","-0.6","1.2","999.0","sa874230"
"Sandy Leon","Red Sox","91","313","285","63","13","1","6","33","30","20","79","3","1","0",".221",".277",".337",".614",".269","4.2","0.0","0.6","599.1","5273"
"Blake Swihart","Red Sox","73","242","220","49","10","1","3","28","20","19","67","1","4","1",".223",".286",".318",".604",".269","-1.3","0.3","0.0","546.6","13176"
"Roberto Perez","Indians","66","217","184","35","9","1","4","19","24","24","67","1","1","0",".190",".284",".315",".600",".269","2.9","0.1","0.4","591.5","2900"
"Aramis Garcia","Giants","101","413","386","84","17","1","11","40","41","22","128","3","0","1",".218",".264",".352",".616",".268","0.7","-0.6","0.5","585.8","16925"
"Martin Maldonado","","114","386","348","73","14","1","9","33","39","21","98","11","0","1",".210",".275",".333",".608",".268","4.5","-0.6","1.0","578.6","6887"
"Marcus Littlewood","","71","270","244","50","11","0","7","27","26","23","76","0","1","1",".205",".271",".336",".607",".267","0.4","-0.3","0.1","999.0","sa548261"
"Jorge Alfaro","Marlins","106","416","385","86","16","2","8","37","38","18","143","11","3","1",".223",".276",".338",".614",".267","-0.8","0.0","0.4","240.3","12180"
"John Ryan Murphy","Diamondbacks","92","279","256","55","12","0","8","26","28","17","71","1","0","0",".215",".264",".355",".619",".267","0.1","-0.1","0.1","999.0","10346"
"Joe DeCarlo","Mariners","85","349","310","57","12","1","10","36","33","30","119","8","1","1",".184",".272",".326",".598",".267","-2.5","-0.4","0.3","999.0","sa657935"
"Michael Perez","Rays","86","325","299","67","13","1","6","31","29","21","83","1","1","2",".224",".275",".334",".609",".267","4.3","-0.8","0.8","597.3","12977"
"Ryan Lidge","Yankees","60","221","198","44","4","0","4","23","14","19","44","1","1","2",".222",".291",".303",".594",".266","0.7","-0.8","0.2","999.0","sa738984"
"Nick Dini","Royals","90","340","317","73","14","0","6","33","28","13","68","7","6","1",".230",".274",".331",".606",".266","-1.6","0.6","0.2","999.0","sa875718"
"Meibrys Viloria","Royals","113","445","409","91","19","1","7","41","38","27","104","4","2","2",".222",".277",".325",".602",".266","5.6","-0.6","0.8","999.0","17109"
"Grayson Greiner","Tigers","86","328","296","61","13","1","7","30","31","28","92","1","0","0",".206",".274",".328",".602",".266","3.7","-0.2","0.6","533.8","17062"
"Arden Pabst","Pirates","67","256","238","54","10","1","5","24","23","13","56","1","1","2",".227",".268",".340",".608",".265","3.5","-0.7","0.5","999.0","sa858812"
"Rene Rivera","Giants","61","188","173","37","7","0","5","14","21","10","58","3","0","0",".214",".267",".341",".608",".265","0.1","-0.1","0.2","999.0","3648"
"Beau Taylor","Athletics","88","344","305","63","14","1","4","32","26","35","95","2","1","1",".207",".291",".298",".589",".265","0.9","-0.4","0.4","999.0","12384"
"Kade Scivicque","Tigers","89","354","329","75","13","1","6","33","29","18","73","4","0","0",".228",".275",".328",".603",".264","-0.2","-0.2","0.2","999.0","sa875053"
"Luis Torrens","Padres","129","493","459","106","25","2","6","44","46","24","95","4","1","1",".231",".272",".333",".606",".264","-9.0","-0.5","-0.6","999.0","15905"
"Drew Butera","Phillies","62","157","143","30","6","1","3","14","16","11","39","1","0","0",".210",".269",".329",".598",".263","-4.4","-0.1","-0.4","999.0","3411"
"Francisco Diaz","Yankees","67","242","216","49","6","1","1","22","13","21","49","1","0","0",".227",".298",".278",".576",".262","5.7","-0.2","0.7","999.0","sa505229"
"Dustin Garneau","Angels","73","271","246","50","11","0","7","26","27","18","64","3","0","2",".203",".263",".333",".596",".262","-0.1","-0.9","0.2","999.0","9433"
"Austin Nola","Mariners","87","330","295","66","15","0","2","29","25","25","61","4","2","1",".224",".291",".295",".585",".262","2.0","-0.2","0.6","999.0","sa577789"
"Jin-De Jhang","","62","247","230","55","10","1","2","22","18","13","34","1","1","1",".239",".280",".317",".598",".261","0.5","-0.3","0.1","999.0","sa653546"
"Cam Gallagher","Royals","97","361","329","74","14","0","5","33","31","24","54","2","1","0",".225",".279",".313",".592",".261","4.1","0.0","0.5","600.3","12981"
"Francisco Pena","Cardinals","65","209","198","46","9","0","4","20","19","9","47","1","1","0",".232",".268",".338",".606",".260","0.2","0.1","0.1","999.0","8298"
"Anthony Bemboom","Rays","66","238","212","44","8","1","3","22","16","22","58","1","1","1",".208",".284",".297",".581",".260","4.5","-0.3","0.6","999.0","sa579274"
"Stephen McGee","","55","196","170","30","7","0","4","19","15","23","70","2","0","0",".176",".281",".288",".569",".260","-6.1","-0.1","-0.5","999.0","sa737919"
"Cael Brockmeyer","Orioles","76","266","242","49","9","1","6","25","23","17","92","5","2","0",".202",".267",".322",".589",".259","-3.6","0.3","-0.3","999.0","sa708438"
"Max McDowell","Brewers","86","328","288","59","11","1","3","30","21","25","75","10","5","2",".205",".288",".281",".570",".258","6.3","0.0","0.5","999.0","sa875626"
"MJ Melendez","Royals","106","449","410","76","17","4","13","41","46","32","184","4","4","7",".185",".249",".341",".591",".258","-3.3","-2.2","-0.5","999.0","sa3004139"
"Jeremy Martinez","Cardinals","65","235","211","46","8","0","2","22","16","19","35","2","1","0",".218",".286",".284",".571",".257","3.9","0.1","0.4","999.0","sa738674"
