"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Scott Kingery","Phillies","140","548","509","121","25","4","12","62","50","29","134","5","15","4",".238",".283",".373",".657",".284","-0.2","1.1","0.8","415.8","17975"
"Jose Rondon","White Sox","117","465","434","102","19","3","13","49","49","23","119","2","8","6",".235",".275",".382",".657",".284","4.1","-1.1","1.2","999.0","14140"
"J.T. Riddle","Marlins","119","444","412","101","17","4","9","42","48","25","88","0","3","3",".245",".286",".371",".658",".283","4.5","-0.8","1.2","593.0","17642"
"Orlando Arcia","Brewers","153","553","514","127","22","3","10","54","50","33","118","2","13","6",".247",".294",".360",".654",".283","1.8","-0.1","0.7","454.4","13185"
"Royce Lewis","Twins","118","522","481","112","21","3","12","57","50","32","109","5","19","8",".233",".286",".364",".650",".283","-0.1","0.3","0.7","600.5","sa3004259"
"Mauricio Dubon","Brewers","113","483","446","111","21","3","8","50","43","24","88","2","19","9",".249",".288",".363",".651",".283","1.4","-0.1","0.6","596.4","sa738378"
"Charlie Culberson","Braves","111","353","330","79","16","2","8","38","36","19","84","2","4","3",".239",".284",".373",".657",".282","6.9","-0.6","0.2","577.6","3298"
"Nate Orf","Brewers","121","489","428","96","20","3","6","53","37","42","94","11","11","3",".224",".307",".327",".634",".282","3.4","0.7","0.5","999.0","15407"
"Ivan De Jesus","","107","387","352","87","16","2","3","34","31","25","82","6","2","3",".247",".306",".330",".636",".282","-2.8","-1.1","-0.3","999.0","9886"
"Jose Reyes","","104","362","329","76","14","3","7","44","31","28","55","0","12","4",".231",".290",".356",".645",".281","-4.5","0.6","0.0","999.0","1736"
"Kevin Smith","Blue Jays","121","544","509","115","26","2","17","59","62","27","157","5","16","5",".226",".270",".385",".655",".281","3.7","0.9","1.3","999.0","sa915864"
"Abiatal Avelino","Giants","132","523","489","119","20","6","9","53","43","26","108","3","16","6",".243",".285",".364",".649",".281","-2.6","0.5","0.5","999.0","15496"
"Luis Sardinas","","103","372","348","90","13","2","5","38","33","16","63","2","6","4",".259",".294",".351",".645",".281","-1.9","-0.6","0.0","999.0","13153"
"Ryan Howard","Giants","120","503","465","118","23","3","4","47","41","27","77","4","6","4",".254",".298",".342",".640",".281","-3.6","-0.7","0.3","999.0","sa857225"
"Juniel Querecuto","Diamondbacks","115","437","401","102","19","4","2","42","34","27","74","3","9","4",".254",".304",".337",".641",".281","2.6","-0.1","0.6","999.0","12140"
"Tyler Saladino","Brewers","92","321","290","66","10","3","6","33","28","24","74","3","10","3",".228",".292",".345",".636",".280","2.3","0.6","0.6","999.0","10807"
"Danny Mendick","White Sox","128","506","454","100","20","1","11","52","44","40","114","7","13","7",".220",".292",".341",".633",".280","5.1","-0.5","1.2","999.0","sa875320"
"Nick Gordon","Twins","138","603","561","138","25","6","7","61","50","33","132","5","16","6",".246",".292",".349",".642",".280","5.9","0.4","1.3","598.7","sa828662"
"Yu Chang","Indians","129","525","471","102","23","3","12","56","54","39","162","8","5","4",".217",".285",".355",".640",".280","1.9","-0.9","0.6","600.3","sa830276"
"Eli White","Rangers","122","533","484","113","24","4","6","55","40","40","146","6","10","6",".233",".298",".337",".635",".280","-5.3","-0.7","-0.8","999.0","sa738478"
"Tommy Edman","Cardinals","122","540","493","121","20","5","5","56","41","36","96","3","17","5",".245",".298",".337",".635",".279","1.7","1.0","0.9","999.0","sa873704"
"Chris Owings","Royals","125","450","419","101","23","4","7","49","40","24","104","2","15","5",".241",".283",".365",".649",".279","-4.8","0.7","0.1","568.4","10030"
"Cole Tucker","Pirates","130","581","523","121","21","8","6","61","47","47","128","4","29","13",".231",".298",".337",".634",".279","2.8","0.2","0.9","600.8","sa828671"
"Elliot Soto","","80","281","249","61","9","2","1","27","20","25","51","1","3","2",".245",".314",".309",".623",".278","2.0","-0.4","-0.1","999.0","sa390666"
"Donovan Solano","Giants","110","421","397","102","22","1","4","39","33","16","61","3","2","1",".257",".288",".348",".636",".277","-1.0","-0.2","0.3","999.0","8623"
"Willi Castro","Tigers","134","561","524","126","24","3","10","58","45","26","126","4","16","7",".240",".281",".355",".636",".276","-0.2","0.1","0.5","999.0","sa830274"
"Peter Maris","Giants","87","351","317","72","12","3","6","35","28","27","72","1","5","5",".227",".287",".341",".628",".276","-4.7","-1.2","-0.5","999.0","sa877608"
"Ronald Torreyes","Twins","91","291","273","72","13","2","1","28","21","12","36","1","1","1",".264",".294",".337",".631",".276","2.6","-0.4","0.2","999.0","11400"
"Richie Martin","Orioles","116","494","450","105","17","5","5","46","33","32","110","8","14","8",".233",".295",".327",".621",".275","4.0","-0.7","0.8","585.1","sa659080"
"Jake Hager","Brewers","100","408","376","87","19","3","7","38","37","23","86","3","5","3",".231",".278",".354",".632",".274","2.4","-0.4","0.3","999.0","sa600840"
"Adeiny Hechavarria","Mets","117","417","389","97","14","3","6","43","37","21","68","1","3","1",".249",".287",".347",".634",".273","5.4","0.0","1.0","999.0","10459"
"Eric Sogard","Blue Jays","95","294","261","59","12","1","2","29","18","28","51","2","5","2",".226",".304",".303",".606",".272","2.7","0.0","0.3","999.0","7927"
"Drew Jackson","Orioles","106","460","407","85","15","1","9","50","35","37","133","10","18","8",".209",".289",".317",".606",".271","2.0","0.1","0.5","999.0","sa659066"
"Mike Freeman","Indians","105","395","364","87","14","2","4","41","30","26","92","2","6","3",".239",".293",".321",".614",".270","3.3","-0.2","0.0","999.0","11241"
"Dorssys Paulino","","75","288","257","53","10","1","6","28","25","26","81","2","2","2",".206",".283",".323",".606",".270","0.8","-0.6","-0.6","999.0","sa659464"
"Jake Cronenworth","Rays","117","511","463","106","18","4","4","53","36","40","108","4","14","5",".229",".294",".311",".605",".270","-0.4","0.5","0.4","999.0","sa857694"
"Zach Vincej","Orioles","114","427","391","90","15","2","6","40","34","25","76","5","5","4",".230",".284",".325",".608",".269","-0.9","-0.9","0.0","999.0","13269"
"Alcides Escobar","Orioles","143","575","534","131","21","4","6","60","42","24","85","5","9","4",".245",".282",".333",".616",".269","-3.0","-0.1","-0.1","596.6","6310"
