"","Name","Team","position","marginal.total.points","dollar.value","status"
"262","Andrew Knapp","Phillies","catcher",0.28,0.77,""
"263","Chris Owings","Royals","outfield",0.28,0.76,""
"264","Pedro Strop","Cubs","pitcher",0.28,0.76,""
"265","Frankie Montas","Athletics","pitcher",0.28,0.76,""
"266","Alex Cobb","Orioles","pitcher",0.27,0.73,""
"267","Tim Beckham",NA,"shortstop",0.24,0.67,""
"268","Cam Gallagher","Royals","catcher",0.23,0.64,""
"269","Alen Hanson","Giants","outfield",0.21,0.59,""
"270","Forrest Whitley","Astros","pitcher",0.2,0.55,""
"271","Drew Pomeranz",NA,"pitcher",0.19,0.53,""
"272","Michael Perez","Rays","catcher",0.19,0.51,""
"273","Shawn Armstrong","Mariners","pitcher",0.17,0.46,""
"274","Trevor Williams","Pirates","pitcher",0.16,0.44,""
"275","Dinelson Lamet","Padres","pitcher",0.15,0.42,""
"276","Carl Edwards Jr.","Cubs","pitcher",0.14,0.39,""
"277","Brad Keller","Royals","pitcher",0.12,0.34,""
"278","Brandon Drury","Blue Jays","outfield",0.1,0.28,""
"279","Jose Bautista",NA,"outfield",0.1,0.26,""
"280","Jordan Zimmermann","Tigers","pitcher",0.09,0.24,""
"281","Ryan Yarbrough","Rays","pitcher",0.07,0.2,""
"282","Seung Hwan Oh","Rockies","pitcher",0.06,0.16,""
"283","Jeff McNeil","Mets","second_base",0.04,0.11,""
"284","Shelby Miller",NA,"pitcher",0.03,0.08,""
"285","Yoshihisa Hirano","Diamondbacks","pitcher",0.02,0.06,""
"286","Jung Ho Kang","Pirates","shortstop",0.02,0.05,""
"287","Adalberto Mejia","Twins","pitcher",0.02,0.05,""
"288","Mark Canha","Athletics","outfield",0.01,0.03,""
"289","Matt Andriese","Diamondbacks","pitcher",0.01,0.02,""
"290","Blake Swihart","Red Sox","catcher",0,-0.01,""
"291","Hector Rondon","Astros","pitcher",-0.03,-0.08,""
"292","Jon Jay",NA,"outfield",-0.03,-0.09,""
"293","Sean Reid-Foley","Blue Jays","pitcher",-0.04,-0.1,""
"294","Zach Britton",NA,"pitcher",-0.04,-0.1,""
"295","Trent Thornton","Blue Jays","pitcher",-0.06,-0.17,""
"296","Yairo Munoz","Cardinals","shortstop",-0.12,-0.32,""
"297","Brandon Lowe","Rays","outfield",-0.12,-0.34,""
"298","Ty Blach","Giants","pitcher",-0.13,-0.35,""
"299","Matt Davidson",NA,"dh",-0.13,-0.36,""
"300","Andrew Chafin","Diamondbacks","pitcher",-0.13,-0.36,""
"301","Miguel Rojas","Marlins","shortstop",-0.16,-0.44,""
"302","Cody Allen",NA,"pitcher",-0.17,-0.45,""
"303","Amir Garrett","Reds","pitcher",-0.17,-0.48,""
"304","Mark Reynolds",NA,"first_base",-0.18,-0.49,""
"305","Caleb Ferguson","Dodgers","pitcher",-0.18,-0.49,""
"306","Cam Bedrosian","Angels","pitcher",-0.18,-0.5,""
"307","Erik Swanson","Mariners","pitcher",-0.18,-0.5,""
"308","Cory Spangenberg","Brewers","third_base",-0.19,-0.52,""
"309","Wilmer Font","Rays","pitcher",-0.2,-0.55,""
"310","Brett Anderson",NA,"pitcher",-0.21,-0.57,""
"311","Chance Sisco","Orioles","catcher",-0.21,-0.58,""
"312","Silvino Bracho","Diamondbacks","pitcher",-0.22,-0.62,""
"313","Chris Herrmann","Athletics","catcher",-0.23,-0.64,""
"314","Jose Trevino","Rangers","catcher",-0.24,-0.67,""
"315","Wilmer Difo","Nationals","shortstop",-0.28,-0.76,""
"316","Pat Neshek","Phillies","pitcher",-0.28,-0.77,""
"317","Ivan Nova","White Sox","pitcher",-0.28,-0.78,""
"318","Justin Wilson",NA,"pitcher",-0.28,-0.78,""
"319","Tim Hill","Royals","pitcher",-0.29,-0.8,""
"320","Sam Gaviglio","Blue Jays","pitcher",-0.29,-0.81,""
"321","Matt Adams","Nationals","first_base",-0.3,-0.82,""
"322","Daniel Mengden","Athletics","pitcher",-0.33,-0.9,""
"323","Felix Hernandez","Mariners","pitcher",-0.33,-0.9,""
"324","Heath Hembree","Red Sox","pitcher",-0.33,-0.9,""
"325","Socrates Brito","Diamondbacks","outfield",-0.34,-0.95,""
"326","Brett Kennedy","Padres","pitcher",-0.35,-0.96,""
"327","Oliver Perez",NA,"pitcher",-0.39,-1.09,""
"328","Jaime Barria","Angels","pitcher",-0.4,-1.11,""
"329","Ryan Borucki","Blue Jays","pitcher",-0.42,-1.14,""
"330","Brock Holt","Red Sox","outfield",-0.43,-1.19,""
"331","Tayron Guerrero","Marlins","pitcher",-0.43,-1.19,""
"332","Kelvin Herrera",NA,"pitcher",-0.44,-1.21,""
"333","Ryan Madson",NA,"pitcher",-0.44,-1.22,""
"334","Eric Haase","Indians","catcher",-0.45,-1.24,""
"335","Freddy Peralta","Brewers","pitcher",-0.45,-1.24,""
"336","John Brebbia","Cardinals","pitcher",-0.46,-1.27,""
"337","Nick Martini","Athletics","outfield",-0.48,-1.33,""
"338","Rene Rivera",NA,"catcher",-0.49,-1.34,""
"339","Eduardo Nunez","Red Sox","third_base",-0.5,-1.38,""
"340","Travis Jankowski","Padres","outfield",-0.51,-1.39,""
"341","David Paulino","Blue Jays","pitcher",-0.5,-1.39,""
"342","Greg Bird","Yankees","first_base",-0.52,-1.42,""
"343","Chaz Roe","Rays","pitcher",-0.53,-1.46,""
"344","Pedro Baez","Dodgers","pitcher",-0.53,-1.46,""
"345","Mike Montgomery","Cubs","pitcher",-0.54,-1.48,""
"346","David Phelps",NA,"pitcher",-0.55,-1.52,""
"347","Ian Kennedy","Royals","pitcher",-0.55,-1.52,""
"348","Chris Stewart",NA,"catcher",-0.57,-1.56,""
"349","David Hernandez","Reds","pitcher",-0.6,-1.64,""
"350","Dominic Smith","Mets","first_base",-0.6,-1.66,""
"351","Rocky Gale","Dodgers","catcher",-0.61,-1.67,""
"352","Justin Miller","Nationals","pitcher",-0.61,-1.67,""
"353","Justin Anderson","Angels","pitcher",-0.61,-1.69,""
"354","Chris Devenski","Astros","pitcher",-0.61,-1.69,""
"355","Gio Gonzalez",NA,"pitcher",-0.62,-1.72,""
"356","Aaron Loup",NA,"pitcher",-0.63,-1.72,""
"357","Francisco Liriano",NA,"pitcher",-0.64,-1.75,""
"358","Adam Morgan","Phillies","pitcher",-0.64,-1.77,""
"359","Bud Norris",NA,"pitcher",-0.65,-1.78,""
"360","Neil Ramirez","Indians","pitcher",-0.65,-1.79,""
"361","Eric Skoglund","Royals","pitcher",-0.66,-1.81,""
"362","Stephen Vogt",NA,"catcher",-0.66,-1.83,""
"363","Derek Holland",NA,"pitcher",-0.67,-1.83,""
"364","Aaron Sanchez","Blue Jays","pitcher",-0.68,-1.87,""
"365","Taijuan Walker","Diamondbacks","pitcher",-0.69,-1.9,""
"366","Eric Thames","Brewers","outfield",-0.72,-1.98,""
"367","Trey Wingenter","Padres","pitcher",-0.72,-1.98,""
"368","Scott Oberg","Rockies","pitcher",-0.73,-2.01,""
"369","Tony Barnette",NA,"pitcher",-0.73,-2.02,""
"370","Chad Pinder","Athletics","outfield",-0.74,-2.03,""
"371","Steve Wilkerson","Orioles","third_base",-0.75,-2.05,""
"372","Jonathan Holder","Yankees","pitcher",-0.77,-2.11,""
"373","Christian Walker","Diamondbacks","dh",-0.77,-2.12,""
"374","Robert Gsellman","Mets","pitcher",-0.77,-2.13,""
"375","Jake Diekman",NA,"pitcher",-0.78,-2.14,""
"376","Jedd Gyorko","Cardinals","third_base",-0.78,-2.15,""
"377","Hector Neris","Phillies","pitcher",-0.78,-2.15,""
"378","Chris Martin","Rangers","pitcher",-0.79,-2.18,""
"379","Scott Alexander","Dodgers","pitcher",-0.81,-2.22,""
