"","Name","Team","position","marginal.total.points","dollar.value","status"
"54","Ronald Guzman","Rangers","first_base",4.86,13.38,""
"55","Dellin Betances","Yankees","pitcher",4.84,13.32,""
"56","Brad Peacock","Astros","pitcher",4.84,13.32,""
"57","Brandon Crawford","Giants","shortstop",4.78,13.15,""
"58","Adam Frazier","Pirates","outfield",4.75,13.09,""
"59","John Hicks","Tigers","catcher",4.73,13.03,""
"60","Zack Cozart","Angels","shortstop",4.71,12.98,""
"61","Alex Gordon","Royals","outfield",4.71,12.96,""
"62","Todd Frazier","Mets","third_base",4.66,12.84,""
"63","Jeimer Candelario","Tigers","third_base",4.64,12.77,""
"64","Josh Phegley","Athletics","catcher",4.62,12.73,""
"65","Delino DeShields","Rangers","outfield",4.62,12.71,""
"66","Carlos Gonzalez",NA,"outfield",4.61,12.68,""
"67","Grayson Greiner","Tigers","catcher",4.53,12.48,""
"68","Nick Markakis",NA,"outfield",4.53,12.48,""
"69","Alex Wood","Reds","pitcher",4.46,12.28,""
"70","Christian Vazquez","Red Sox","catcher",4.43,12.21,""
"71","Renato Nunez","Orioles","third_base",4.41,12.13,""
"72","Roberto Perez","Indians","catcher",4.37,12.03,""
"73","Brett Gardner","Yankees","outfield",4.36,12,""
"74","David Fletcher","Angels","third_base",4.34,11.94,""
"75","Marcus Stroman","Blue Jays","pitcher",4.33,11.92,""
"76","Yolmer Sanchez","White Sox","third_base",4.32,11.9,""
"77","JaCoby Jones","Tigers","outfield",4.32,11.89,""
"78","Jason Kipnis","Indians","second_base",4.29,11.82,""
"79","Dansby Swanson","Braves","shortstop",4.28,11.8,""
"80","Danny Duffy","Royals","pitcher",4.27,11.76,""
"81","Shane Greene","Tigers","pitcher",4.25,11.69,""
"82","Collin McHugh","Astros","pitcher",4.24,11.67,""
"83","Tyler Flowers","Braves","catcher",4.19,11.54,""
"84","Omar Narvaez","Mariners","catcher",4.18,11.52,""
"85","Howie Kendrick","Nationals","outfield",4.18,11.52,""
"86","Caleb Smith","Marlins","pitcher",4.18,11.5,""
"87","Nick Ahmed","Diamondbacks","shortstop",4.14,11.41,""
"88","Jordan Luplow","Indians","outfield",4.14,11.39,""
"89","Scott Schebler","Reds","outfield",4.12,11.34,""
"90","Andrew Suarez","Giants","pitcher",4.12,11.34,""
"91","Orlando Arcia","Brewers","shortstop",4.08,11.24,""
"92","Kurt Suzuki","Nationals","catcher",4.07,11.19,""
"93","Gregory Polanco","Pirates","outfield",4.03,11.08,""
"94","Patrick Wisdom","Rangers","third_base",3.97,10.92,""
"95","Jorge Alfaro","Phillies","catcher",3.96,10.91,""
"96","Chris Iannetta","Rockies","catcher",3.92,10.79,""
"97","Adam Engel","White Sox","outfield",3.85,10.61,""
"98","Daniel Palka","White Sox","dh",3.76,10.35,""
"99","Chris Davis","Orioles","first_base",3.74,10.29,""
"100","Vince Velasquez","Phillies","pitcher",3.73,10.26,""
"101","Ian Happ","Cubs","outfield",3.72,10.25,""
"102","Steven Duggar","Giants","outfield",3.67,10.1,""
"103","Jeff Samardzija","Giants","pitcher",3.67,10.1,""
"104","Austin Dean","Marlins","outfield",3.62,9.96,""
"105","Mike Minor","Rangers","pitcher",3.61,9.94,""
"106","Jose Iglesias",NA,"shortstop",3.59,9.87,""
"107","Jason Castro","Twins","catcher",3.57,9.83,""
"108","Ty Buttrey","Angels","pitcher",3.54,9.75,""
"109","Mikie Mahtook","Tigers","outfield",3.53,9.72,""
"110","Kevan Smith","Angels","catcher",3.46,9.53,""
"111","Robinson Chirinos","Astros","catcher",3.43,9.44,""
"112","Dustin Pedroia","Red Sox","second_base",3.43,9.43,""
"113","Trevor Rosenthal","Nationals","pitcher",3.4,9.37,""
"114","Ji-Man Choi","Rays","dh",3.38,9.3,""
"115","Josh Harrison",NA,"third_base",3.31,9.1,""
"116","Ian Kinsler","Padres","second_base",3.29,9.06,""
"117","Yan Gomes","Nationals","catcher",3.2,8.81,""
"118","Hunter Dozier","Royals","first_base",3.2,8.8,""
"119","Robbie Erlin","Padres","pitcher",3.15,8.67,""
"120","Logan Morrison",NA,"first_base",3.14,8.65,""
"121","Jonathan Lucroy",NA,"catcher",3.04,8.37,""
"122","Colin Moran","Pirates","third_base",3,8.27,""
"123","Tyler Anderson","Rockies","pitcher",3,8.26,""
"124","Isiah Kiner-Falefa","Rangers","catcher",2.96,8.16,""
"125","Lewis Brinson","Marlins","outfield",2.95,8.13,""
"126","Manny Pina","Brewers","catcher",2.93,8.07,""
"127","Chad Green","Yankees","pitcher",2.93,8.06,""
"128","Alex Avila","Diamondbacks","catcher",2.9,7.98,""
"129","Matt Wieters",NA,"catcher",2.89,7.95,""
"130","Wei-Yin Chen","Marlins","pitcher",2.84,7.82,""
"131","Austin Hedges","Padres","catcher",2.81,7.73,""
"132","Justin Bour","Angels","first_base",2.78,7.64,""
"133","Jose Briceno","Angels","catcher",2.77,7.63,""
"134","Kolten Wong","Cardinals","second_base",2.76,7.61,""
"135","Joe Panik","Giants","second_base",2.71,7.46,""
"136","Anthony DeSclafani","Reds","pitcher",2.7,7.43,""
"137","Erik Kratz","Brewers","catcher",2.7,7.42,""
"138","Martin Prado","Marlins","third_base",2.69,7.4,""
"139","Josh Reddick","Astros","outfield",2.67,7.34,""
"140","Albert Almora Jr.","Cubs","outfield",2.63,7.24,""
"141","J.T. Riddle","Marlins","shortstop",2.57,7.07,""
"142","Trevor Richards","Marlins","pitcher",2.57,7.07,""
"143","Teoscar Hernandez","Blue Jays","outfield",2.53,6.97,""
"144","D.J. Stewart","Orioles","outfield",2.5,6.88,""
"145","Austin Slater","Giants","outfield",2.5,6.87,""
"146","Raimel Tapia","Rockies","outfield",2.49,6.86,""
"147","Steve Pearce","Red Sox","outfield",2.44,6.72,""
"148","Mac Williamson","Giants","outfield",2.43,6.69,""
"149","Wily Peralta","Royals","pitcher",2.38,6.56,""
"150","Joey Wendle","Rays","second_base",2.34,6.44,""
"151","Billy McKinney","Blue Jays","outfield",2.33,6.42,""
"152","Tanner Roark","Reds","pitcher",2.31,6.37,""
"153","Matt Barnes","Red Sox","pitcher",2.22,6.12,""
"154","Wilmer Flores",NA,"first_base",2.21,6.08,""
"155","Ryan Pressly","Astros","pitcher",2.17,5.98,""
"156","Matt Strahm","Padres","pitcher",2.17,5.96,""
"157","Mike Fiers","Athletics","pitcher",2.12,5.85,""
"158","Jeff Mathis","Rangers","catcher",2.11,5.81,""
