"","Name","Team","position","playerid","PA","AB","R","HR","RBI","SB","AVG","marginal.total.points","dollar.value"
"289","Franchy Cordero","Padres","outfield","14567",455,414,47,14,49,8,0.225,1.43,3.93
"290","Teoscar Hernandez","Blue Jays","outfield","13066",371,331,47,17,47,5,0.229,1.41,3.88
"291","Harrison Bader","Cardinals","outfield","18030",368,324,41,12,42,9,0.238,1.38,3.81
"292","Pedro Severino","Orioles","catcher","14523",288,260,32,9,33,2,0.243,1.35,3.72
"293","Hanley Ramirez",NA,"dh","8001",350,311,42,16,48,3,0.24,1.32,3.62
"294","Jason Castro",NA,"catcher","8722",352,304,38,12,40,2,0.222,1.28,3.52
"295","Tucker Barnhart","Reds","catcher","10200",352,308,35,8,35,2,0.238,1.19,3.27
"296","Jacob Stallings","Pirates","catcher","13723",269,245,26,6,28,1,0.261,1.18,3.26
"297","Magneuris Sierra","Marlins","outfield","17023",370,345,30,4,32,15,0.254,1.18,3.24
"298","Jonathan Lucroy",NA,"catcher","7870",269,241,28,7,30,1,0.254,1.14,3.14
"299","Matt Adams",NA,"first_base","9393",350,317,43,19,52,1,0.235,1,2.75
"300","Ryan O'Hearn","Royals","first_base","16442",413,365,48,17,52,1,0.235,0.96,2.64
"301","James McCann","White Sox","catcher","12859",278,253,29,9,31,2,0.238,0.82,2.26
"302","Dawel Lugo","Tigers","third_base","14713",378,355,39,8,41,4,0.268,0.82,2.26
"303","Harold Castro","Tigers","outfield","14691",392,371,37,6,36,5,0.264,0.72,1.99
"304","Phillip Ervin","Reds","outfield","14738",328,291,36,10,37,8,0.242,0.63,1.73
"305","Tom Murphy","Mariners","catcher","13499",306,280,33,13,37,2,0.215,0.63,1.72
"306","Greg Allen","Indians","outfield","16623",329,295,36,5,32,12,0.246,0.61,1.69
"307","Brock Holt",NA,"outfield","9345",434,380,44,8,41,4,0.249,0.6,1.65
"308","Ian Desmond","Rockies","outfield","6885",258,234,31,10,34,4,0.262,0.6,1.64
"309","Albert Almora Jr.","Cubs","outfield","14109",306,283,35,8,34,3,0.266,0.54,1.5
"310","Cameron Maybin",NA,"outfield","5223",315,276,35,7,31,10,0.248,0.54,1.48
"311","Tyler Saladino","Brewers","shortstop","10807",469,420,49,13,49,9,0.221,0.53,1.46
"312","Martin Maldonado",NA,"catcher","6887",320,287,32,10,35,1,0.226,0.47,1.3
"313","Brandon Dixon","Tigers","outfield","15214",364,336,39,11,41,5,0.24,0.46,1.28
"314","Ronald Guzman","Rangers","first_base","14388",364,321,43,13,44,2,0.245,0.46,1.28
"315","Austin Romine",NA,"catcher","5491",224,206,23,7,26,1,0.25,0.46,1.27
"316","Stephen Piscotty","Athletics","outfield","13367",273,243,35,11,36,1,0.261,0.43,1.18
"317","Logan Morrison",NA,"first_base","9205",329,290,41,17,48,1,0.235,0.41,1.12
"318","Andrew Knizner","Cardinals","catcher","19514",179,163,19,5,20,1,0.263,0.39,1.06
"319","Yoenis Cespedes","Mets","outfield","13110",235,211,32,13,35,2,0.255,0.36,1
"320","Jake Bauers","Indians","outfield","15194",301,261,37,10,36,6,0.242,0.25,0.7
"321","Curt Casali","Reds","catcher","12510",257,227,27,8,29,1,0.236,0.18,0.5
"322","Jose Martinez","Cardinals","outfield","7996",231,207,28,7,28,1,0.28,0.15,0.41
"323","Kendrys Morales",NA,"dh","8610",280,248,34,12,38,1,0.252,0.12,0.34
"324","Jose Osuna","Pirates","outfield","12937",273,249,31,8,34,2,0.265,0.11,0.3
"325","Francisco Cervelli",NA,"catcher","5275",256,219,27,6,27,2,0.238,0.09,0.24
"326","David Freitas","Brewers","catcher","10619",192,171,20,4,20,1,0.258,0.01,0.04
"327","Tyler Flowers","Braves","catcher","9134",256,222,27,8,29,1,0.231,-0.1,-0.27
"328","Sam Travis","Red Sox","outfield","16263",280,253,33,8,33,3,0.257,-0.11,-0.29
"329","Eric Sogard",NA,"second_base","7927",434,382,48,8,42,6,0.256,-0.16,-0.44
"330","Delino DeShields","Rangers","outfield","11379",266,233,32,4,22,14,0.241,-0.16,-0.45
"331","Chris Taylor","Dodgers","outfield","13757",326,289,40,8,33,5,0.243,-0.17,-0.48
"332","Rio Ruiz","Orioles","third_base","14103",364,325,40,11,41,2,0.248,-0.18,-0.51
"333","Chad Pinder","Athletics","outfield","15191",287,260,35,10,35,2,0.25,-0.19,-0.53
"334","Mike Ford","Yankees","dh","15585",217,189,30,12,32,1,0.255,-0.23,-0.62
"335","Joey Wendle","Rays","second_base","13853",392,359,42,6,40,9,0.257,-0.23,-0.64
"336","Neil Walker",NA,"first_base","7539",336,294,38,10,39,2,0.248,-0.3,-0.84
"337","Zack Collins","White Sox","catcher","19181",271,228,32,10,31,1,0.215,-0.35,-0.97
"338","Ben Zobrist",NA,"outfield","7435",294,258,34,6,30,2,0.262,-0.41,-1.12
"339","Matt Joyce",NA,"outfield","3353",301,254,39,11,34,2,0.241,-0.41,-1.13
"340","Grayson Greiner","Tigers","catcher","17062",307,276,29,7,30,1,0.225,-0.42,-1.16
"341","Marco Hernandez","Red Sox","second_base","13154",364,338,41,5,38,6,0.268,-0.47,-1.3
"342","Raudy Read","Nationals","catcher","15766",192,178,20,6,22,1,0.242,-0.48,-1.33
"343","Josh Phegley","Athletics","catcher","9308",205,187,23,6,23,1,0.238,-0.51,-1.39
"344","Alex Avila",NA,"catcher","7476",294,241,33,10,31,2,0.208,-0.51,-1.4
"345","Eduardo Nunez",NA,"third_base","6848",238,224,26,6,27,5,0.27,-0.55,-1.5
"346","Shed Long","Mariners","outfield","16542",280,252,31,8,31,5,0.246,-0.55,-1.52
"347","Matt Duffy",NA,"third_base","13836",266,237,31,5,26,3,0.275,-0.59,-1.62
"348","Gerardo Parra",NA,"outfield","8553",280,256,29,7,31,5,0.249,-0.62,-1.72
"349","Jordy Mercer",NA,"shortstop","6547",420,379,41,10,44,1,0.246,-0.64,-1.76
"350","Kyle Higashioka","Yankees","catcher","5517",205,187,24,9,27,1,0.223,-0.65,-1.8
"351","Dom Nunez","Rockies","catcher","15055",218,191,24,8,25,2,0.224,-0.66,-1.82
"352","Jake Lamb","Diamondbacks","third_base","13329",336,287,40,13,42,2,0.233,-0.68,-1.88
"353","Jon Berti","Marlins","outfield","12037",269,240,26,5,24,11,0.242,-0.71,-1.95
"354","Billy Hamilton",NA,"outfield","10199",294,264,31,2,22,17,0.227,-0.72,-1.98
"355","Richie Martin Jr.","Orioles","shortstop","17736",364,332,37,7,34,10,0.235,-0.74,-2.04
"356","Dwight Smith Jr.","Orioles","outfield","13473",231,207,27,7,27,3,0.259,-0.75,-2.06
"357","Juan Lagares",NA,"outfield","5384",315,286,32,6,31,5,0.246,-0.79,-2.16
"358","Matt Wieters",NA,"catcher","4298",192,172,20,7,23,1,0.232,-0.84,-2.32
"359","Kevin Plawecki","Indians","catcher","13807",198,176,22,5,22,1,0.236,-0.86,-2.37
"360","Gavin Lux","Dodgers","second_base","19955",280,252,33,9,34,5,0.265,-0.86,-2.37
"361","Jon Jay",NA,"outfield","5227",350,317,37,3,27,3,0.258,-0.88,-2.43
"362","Christian Arroyo","Indians","third_base","16434",315,288,35,8,36,3,0.248,-0.93,-2.57
"363","Danny Mendick","White Sox","dh","18889",266,238,29,7,28,6,0.243,-0.94,-2.58
"364","Nico Hoerner","Cubs","shortstop","21479",245,226,27,5,28,4,0.271,-0.94,-2.59
"365","Ronny Rodriguez","Tigers","shortstop","11875",259,243,28,9,32,4,0.256,-0.95,-2.61
"366","Yolmer Sanchez","White Sox","third_base","11602",350,316,38,5,32,5,0.25,-0.95,-2.61
"367","Austin Barnes","Dodgers","catcher","12158",224,193,24,5,23,3,0.225,-0.95,-2.62
"368","Hernan Perez",NA,"outfield","5751",224,209,24,7,26,5,0.252,-0.97,-2.66
"369","Donovan Solano","Giants","shortstop","8623",312,290,29,4,30,2,0.276,-0.97,-2.67
"370","Enrique Hernandez","Dodgers","outfield","10472",237,209,29,10,31,2,0.245,-0.98,-2.68
"371","Michael Perez","Rays","catcher","12977",211,190,23,6,23,1,0.229,-1.01,-2.77
"372","Martin Prado",NA,"third_base","3312",315,290,34,6,30,2,0.261,-1.05,-2.89
"373","Austin Nola","Mariners","first_base","15941",355,318,36,8,35,3,0.241,-1.1,-3.03
"374","Greg Garcia","Padres","third_base","10951",431,365,43,5,36,4,0.241,-1.17,-3.23
"375","Ben Gamel","Brewers","outfield","12160",252,222,27,5,25,3,0.258,-1.19,-3.29
"376","Joe Panik",NA,"second_base","11936",350,313,40,7,34,3,0.264,-1.23,-3.38
"377","Daniel Vogelbach","Mariners","dh","14130",280,234,34,12,34,1,0.231,-1.26,-3.46
"378","Adrian Sanchez","Nationals","third_base","11338",270,251,25,4,26,6,0.26,-1.3,-3.58
"379","Ildemaro Vargas","Diamondbacks","second_base","13324",284,264,30,5,30,3,0.28,-1.32,-3.64
"380","Monte Harrison","Marlins","outfield","sa828691",280,254,27,8,28,9,0.225,-1.33,-3.67
"381","Tyler Wade","Yankees","outfield","15730",266,240,29,4,26,8,0.238,-1.37,-3.77
"382","David Bote","Cubs","third_base","14593",287,252,33,9,33,3,0.242,-1.38,-3.81
"383","Adeiny Hechavarria",NA,"shortstop","10459",308,284,30,7,32,4,0.251,-1.41,-3.88
"384","Austin Hedges","Padres","catcher","12976",224,204,22,9,26,1,0.212,-1.41,-3.89
"385","Jay Bruce","Phillies","outfield","9892",224,202,28,12,34,1,0.233,-1.43,-3.94
"386","Mark Trumbo",NA,"outfield","6876",231,211,27,11,33,1,0.237,-1.45,-4
"387","Michael Brosseau","Rays","third_base","19683",238,216,27,8,28,3,0.253,-1.47,-4.06
"388","Yairo Munoz","Cardinals","outfield","16313",202,185,20,5,22,5,0.255,-1.49,-4.11
"389","Travis d'Arnaud","Braves","catcher","7739",70,191,8,3,9,0,0.256,-1.57,-4.32
"390","Cheslor Cuthbert","Royals","third_base","10473",252,229,28,8,29,1,0.256,-1.57,-4.34
"391","Sandy Leon","Red Sox","catcher","5273",218,197,23,5,22,1,0.222,-1.59,-4.37
"392","Addison Russell","Cubs","shortstop","14106",279,248,31,9,34,2,0.246,-1.62,-4.45
"393","Erik Gonzalez","Pirates","shortstop","13369",325,302,31,6,31,6,0.243,-1.63,-4.49
"394","Aramis Garcia","Giants","catcher","16925",258,236,23,7,26,1,0.212,-1.65,-4.54
"395","Tomas Nido","Mets","catcher","13755",205,190,18,5,21,1,0.226,-1.66,-4.58
"396","Matt Beaty","Dodgers","outfield","17710",145,132,17,4,18,1,0.274,-1.68,-4.62
"397","Max Stassi","Angels","catcher","10059",250,220,26,7,26,1,0.207,-1.78,-4.9
"398","Dustin Garneau","Astros","catcher","9433",218,194,25,7,25,1,0.208,-1.83,-5.03
"399","Jo Adell","Angels","outfield","sa3004837",224,205,26,7,26,3,0.241,-1.85,-5.09
"400","Johan Camargo","Braves","third_base","14950",184,167,21,6,23,1,0.268,-1.85,-5.1
"401","Bryan Holaday",NA,"catcher","11287",77,69,8,2,8,1,0.251,-1.88,-5.18
"402","Cam Gallagher","Royals","catcher","12981",90,81,9,2,9,1,0.249,-1.89,-5.2
"403","Tomas Telis","Twins","catcher","10067",13,12,1,0,1,0,0.272,-1.9,-5.23
"404","Eric Thames",NA,"outfield","3711",231,199,30,10,28,2,0.23,-1.92,-5.28
"405","Tim Locastro","Diamondbacks","outfield","15124",184,164,19,3,18,7,0.25,-1.95,-5.36
"406","Isiah Kiner-Falefa","Rangers","catcher","16512",68,61,7,1,6,1,0.255,-1.96,-5.39
"407","Russell Martin",NA,"catcher","4616",160,135,18,5,17,1,0.224,-1.99,-5.47
"408","Ty France","Padres","third_base","17982",199,179,22,7,24,1,0.261,-2,-5.5
"409","Randy Arozarena","Cardinals","outfield","19290",121,109,13,3,14,4,0.267,-2.06,-5.68
"410","Daniel Johnson","Indians","outfield","sa918018",119,109,15,4,15,3,0.264,-2.12,-5.84
"411","Adam Duvall","Braves","outfield","10950",209,188,25,10,30,1,0.232,-2.13,-5.86
"412","Austin Slater","Giants","outfield","16153",208,182,21,5,21,3,0.25,-2.14,-5.9
"413","Yonathan Daza","Rockies","outfield","15794",30,28,3,1,3,1,0.299,-2.2,-6.05
"414","Chris Owings",NA,"outfield","10030",266,244,26,6,26,7,0.222,-2.31,-6.35
"415","Nick Hundley",NA,"catcher","3376",160,147,16,5,18,1,0.219,-2.31,-6.36
"416","Justin Bour",NA,"first_base","9744",175,152,23,9,25,1,0.244,-2.33,-6.42
"417","Kyle Lewis","Mariners","outfield","19508",245,222,26,8,27,2,0.232,-2.34,-6.44
"418","Chris Iannetta",NA,"catcher","8267",141,121,15,5,16,1,0.221,-2.35,-6.48
"419","Jonathan Davis","Blue Jays","outfield","15104",252,223,28,5,24,6,0.226,-2.42,-6.66
"420","Travis Demeritte","Tigers","outfield","15958",189,168,22,7,23,2,0.239,-2.5,-6.88
"421","Clint Frazier","Yankees","outfield","15983",154,139,20,6,20,2,0.246,-2.51,-6.91
"422","Dominic Smith","Mets","outfield","15653",196,177,21,7,24,1,0.241,-2.57,-7.07
"423","Rene Rivera",NA,"catcher","3648",128,117,13,5,16,0,0.221,-2.64,-7.26
"424","Jaylin Davis","Giants","outfield","19552",182,164,19,7,21,2,0.241,-2.64,-7.27
"425","Steve Pearce",NA,"outfield","9957",210,186,24,7,25,1,0.236,-2.65,-7.29
"426","Tony Kemp","Cubs","outfield","14894",117,104,13,2,12,3,0.264,-2.66,-7.33
"427","Meibrys Viloria","Royals","catcher","17109",77,70,7,1,7,1,0.241,-2.68,-7.38
"428","Jacob Nottingham","Brewers","catcher","16448",186,168,17,5,18,2,0.208,-2.69,-7.4
"429","Billy McKinney","Blue Jays","outfield","15654",189,169,24,7,22,1,0.238,-2.7,-7.42
"430","Orlando Arcia","Brewers","shortstop","13185",207,188,21,5,23,4,0.249,-2.72,-7.49
"431","Juan Centeno",NA,"catcher","7168",115,105,10,2,10,1,0.232,-2.73,-7.52
"432","Drew Butera",NA,"catcher","3411",141,126,14,3,14,1,0.222,-2.74,-7.54
"433","Pablo Reyes","Pirates","outfield","16357",145,132,16,3,15,3,0.253,-2.82,-7.77
"434","Jeff Mathis","Rangers","catcher","3448",262,238,23,4,22,1,0.202,-2.84,-7.82
"435","Josh Fuentes","Rockies","first_base","16885",150,140,16,4,18,1,0.26,-2.86,-7.88
"436","Ehire Adrianza","Twins","shortstop","8418",189,170,22,4,20,2,0.256,-2.96,-8.14
"437","Michael A. Taylor","Nationals","outfield","11489",152,138,16,4,17,6,0.236,-2.97,-8.16
"438","Rafael Ortega","Braves","outfield","10323",138,124,16,3,14,3,0.251,-2.99,-8.23
"439","Lucas Duda",NA,"first_base","2502",210,186,25,10,29,1,0.224,-2.99,-8.23
"440","Jed Lowrie","Mets","second_base","4418",306,270,35,9,34,1,0.236,-3.11,-8.57
"441","Brad Miller",NA,"shortstop","12775",196,172,23,8,25,2,0.237,-3.13,-8.61
"442","Isaac Paredes","Tigers","shortstop","sa920275",133,119,15,4,15,1,0.267,-3.14,-8.64
"443","Chris Herrmann",NA,"catcher","9284",128,112,13,4,13,1,0.214,-3.14,-8.65
"444","Mike Freeman","Indians","second_base","11241",329,295,33,5,30,4,0.241,-3.16,-8.69
"445","Adam Haseley","Phillies","outfield","19878",128,116,14,3,14,2,0.253,-3.16,-8.7
"446","Tres Barrera","Nationals","catcher","19977",32,29,3,1,3,0,0.243,-3.16,-8.71
"447","Roman Quinn","Phillies","outfield","13546",130,116,14,3,13,6,0.24,-3.2,-8.8
"448","Jonah Heim","Athletics","catcher","sa737843",51,47,5,1,5,0,0.238,-3.24,-8.91
"449","Leonys Martin",NA,"outfield","11846",175,158,20,5,17,4,0.231,-3.28,-9.02
"450","Chad Wallach","Marlins","catcher","17161",166,148,14,4,15,1,0.208,-3.32,-9.14
"451","Carlos Gomez",NA,"outfield","4881",161,144,18,5,18,4,0.231,-3.32,-9.14
"452","Austin Wynns","Orioles","catcher","15271",26,23,3,1,2,0,0.241,-3.33,-9.16
"453","Jake Marisnick","Astros","outfield","11339",175,159,21,6,21,5,0.219,-3.35,-9.23
"454","Aledmys Diaz","Astros","shortstop","15937",126,114,16,4,17,1,0.26,-3.37,-9.28
"455","Cory Spangenberg","Brewers","third_base","12294",196,179,20,4,20,5,0.236,-3.38,-9.31
"456","Scott Heineman","Rangers","outfield","14453",98,88,11,2,10,2,0.258,-3.38,-9.31
"457","Andrew Stevenson","Nationals","outfield","17932",139,127,13,2,13,3,0.25,-3.38,-9.32
"458","Yonder Alonso",NA,"first_base","2530",175,154,20,6,22,0,0.241,-3.41,-9.39
"459","Brian Serven","Rockies","catcher","sa857231",13,12,1,0,1,0,0.244,-3.45,-9.5
"460","Devon Travis",NA,"second_base","13862",175,162,20,5,20,2,0.263,-3.47,-9.56
"461","Jake Cave","Twins","outfield","14477",91,82,11,3,11,1,0.256,-3.48,-9.59
"462","Peter Bourjos",NA,"outfield","2578",217,201,21,4,21,3,0.228,-3.51,-9.65
"463","Mark Reynolds",NA,"first_base","7619",245,215,26,9,29,2,0.213,-3.51,-9.65
"464","Yadiel Hernandez","Nationals","outfield","sa724030",59,53,7,2,7,1,0.265,-3.53,-9.73
"465","Austin Allen","Padres","catcher","18083",19,18,2,1,2,0,0.238,-3.54,-9.75
"466","Jason Martin","Pirates","outfield","16429",93,85,10,2,10,2,0.255,-3.6,-9.9
"467","Travis Jankowski","Reds","outfield","13768",152,134,16,2,11,5,0.238,-3.64,-10.03
"468","Steven Duggar","Giants","outfield","17719",165,148,15,2,14,3,0.242,-3.68,-10.12
"469","Carlos Gonzalez",NA,"outfield","7287",140,126,16,5,17,1,0.237,-3.69,-10.16
"470","Andrew Knapp","Phillies","catcher","14942",102,89,10,2,10,1,0.214,-3.73,-10.27
"471","Rusney Castillo","Red Sox","outfield","17016",21,20,2,0,2,0,0.279,-3.73,-10.28
"472","Brendan Rodgers","Rockies","shortstop","17907",56,51,7,2,7,0,0.279,-3.76,-10.34
"473","Steve Wilkerson","Orioles","outfield","16041",168,153,17,4,16,2,0.235,-3.76,-10.36
"474","Andrew Velazquez","Indians","outfield","14196",112,103,12,3,12,3,0.242,-3.79,-10.43
"475","Dustin Pedroia","Red Sox","second_base","8370",161,144,20,3,16,2,0.265,-3.86,-10.62
"476","Alex Kirilloff","Twins","outfield","sa917929",14,13,2,0,2,0,0.276,-3.9,-10.74
"477","Deivy Grullon","Phillies","catcher","15988",13,12,1,1,2,0,0.232,-3.92,-10.8
"478","Guillermo Heredia","Rays","outfield","18721",140,124,15,3,13,2,0.239,-3.94,-10.85
"479","Tim Federowicz","Rangers","catcher","8609",38,35,4,1,4,0,0.227,-3.95,-10.87
"480","Ryan Mountcastle","Orioles","shortstop","sa874734",70,66,8,3,9,0,0.27,-3.96,-10.9
"481","Logan Forsythe",NA,"second_base","7185",280,242,30,6,26,2,0.236,-4.02,-11.08
"482","Ian Kinsler","Padres","second_base","6195",225,203,25,6,21,4,0.238,-4.05,-11.16
"483","Matt Kemp",NA,"outfield","5631",70,65,8,3,10,0,0.252,-4.09,-11.26
"484","Cristian Pache","Braves","outfield","sa916722",79,73,8,2,8,1,0.253,-4.1,-11.28
"485","Jung Ho Kang",NA,"third_base","17182",126,113,15,6,18,1,0.237,-4.13,-11.38
"486","Josh Naylor","Padres","outfield","18839",36,32,4,1,4,0,0.265,-4.17,-11.47
"487","Charlie Culberson","Braves","outfield","3298",129,119,13,3,14,1,0.238,-4.23,-11.63
"488","Keon Broxton",NA,"outfield","9253",203,179,20,6,20,8,0.195,-4.23,-11.66
"489","J.T. Riddle","Marlins","shortstop","17642",179,166,16,4,18,2,0.24,-4.24,-11.68
"490","Kean Wong","Giants","outfield","15994",100,91,9,1,9,1,0.251,-4.25,-11.69
"491","Jacoby Ellsbury",NA,"outfield","4727",126,112,12,2,12,3,0.236,-4.26,-11.74
"492","Chris Davis","Orioles","first_base","9272",245,215,27,11,29,1,0.196,-4.3,-11.85
"493","Matt Thaiss","Angels","third_base","19318",140,125,16,4,16,1,0.24,-4.31,-11.86
"494","Thairo Estrada","Yankees","shortstop","16426",98,91,11,3,11,2,0.252,-4.34,-11.94
"495","Lonnie Chisenhall",NA,"outfield","7571",91,82,9,2,10,1,0.244,-4.44,-12.23
"496","Nick Martini","Reds","outfield","12005",116,100,13,2,9,1,0.241,-4.47,-12.3
"497","Tyrone Taylor","Brewers","outfield","13675",145,133,14,4,15,2,0.225,-4.52,-12.44
"498","Myles Straw","Astros","outfield","17620",28,25,3,0,2,1,0.26,-4.56,-12.54
"499","Pablo Sandoval",NA,"first_base","5409",70,64,8,3,10,0,0.25,-4.56,-12.56
"500","Jamie Ritchie","Astros","catcher","sa829058",13,11,1,0,1,0,0.224,-4.56,-12.56
"501","Caleb Joseph","Diamondbacks","catcher","7087",26,24,2,1,3,0,0.218,-4.6,-12.66
"502","Luis Guillorme","Mets","third_base","16451",115,102,11,2,11,1,0.249,-4.6,-12.67
"503","Drew Waters","Braves","outfield","sa3004378",30,28,3,1,3,1,0.255,-4.64,-12.77
"504","Seth Beer","Diamondbacks","outfield","sa3006658",14,13,2,1,2,0,0.26,-4.65,-12.8
"505","LaMonte Wade","Twins","outfield","18126",35,30,4,1,4,0,0.256,-4.67,-12.84
"506","C.J. Chatham","Red Sox","shortstop","sa873984",42,39,4,0,4,0,0.273,-4.68,-12.88
"507","Josh Harrison",NA,"second_base","8202",170,155,19,4,17,3,0.244,-4.69,-12.92
"508","Brian O'Keefe","Cardinals","catcher","sa829152",13,11,1,0,1,0,0.221,-4.73,-13.02
"509","Anthony Bemboom","Angels","catcher","13854",64,58,6,1,6,0,0.209,-4.74,-13.06
"510","Lane Thomas","Cardinals","outfield","16939",56,50,6,2,7,1,0.244,-4.75,-13.07
"511","Abraham Toro","Astros","third_base","19844",56,50,7,2,7,1,0.253,-4.79,-13.18
"512","Rangel Ravelo","Cardinals","first_base","10839",22,20,2,1,2,0,0.264,-4.79,-13.18
"513","Anthony Alford","Blue Jays","outfield","14329",112,101,12,2,10,4,0.225,-4.8,-13.2
"514","Jacob Robson","Tigers","outfield","sa658804",42,38,4,1,4,1,0.25,-4.81,-13.25
"515","Brian Miller","Marlins","outfield","sa915826",35,32,3,0,3,1,0.254,-4.84,-13.31
"516","Kevin Kramer","Pirates","outfield","17689",87,79,8,2,9,1,0.238,-4.88,-13.43
"517","Sean Rodriguez",NA,"outfield","6589",161,141,17,5,17,2,0.211,-4.9,-13.49
"518","Phil Gosselin","Phillies","second_base","10953",175,158,17,3,17,1,0.251,-4.91,-13.52
"519","Erick Mejia","Royals","outfield","15817",56,51,5,1,5,2,0.243,-4.92,-13.53
"520","Austin Jackson",NA,"outfield","9848",91,82,9,1,8,1,0.239,-4.97,-13.68
"521","Luis Rengifo","Angels","second_base","19858",133,118,15,3,14,3,0.248,-4.97,-13.68
"522","Domingo Leyba","Diamondbacks","second_base","16404",121,111,12,3,13,1,0.258,-4.98,-13.71
"523","Joey Rickard","Giants","outfield","13277",59,53,6,1,6,1,0.242,-5.05,-13.91
"524","Bradley Zimmer","Indians","outfield","16221",84,75,10,2,9,2,0.229,-5.09,-14.02
"525","Alex Jackson","Braves","catcher","17276",32,29,3,1,4,0,0.207,-5.11,-14.06
"526","Kelvin Gutierrez","Royals","third_base","17468",28,26,3,1,3,1,0.257,-5.11,-14.08
"527","Aaron Hicks","Yankees","outfield","5297",42,36,6,2,5,1,0.239,-5.13,-14.13
"528","Cole Tucker","Pirates","shortstop","17326",84,76,8,1,8,2,0.248,-5.15,-14.17
"529","Jake Fraley","Mariners","outfield","19260",42,38,5,1,5,1,0.242,-5.16,-14.19
"530","Kyle Farmer","Reds","third_base","14813",109,99,11,3,11,1,0.236,-5.18,-14.26
"531","Rajai Davis",NA,"outfield","3708",56,52,6,1,5,2,0.237,-5.2,-14.32
"532","Michael Hermosillo","Angels","outfield","16285",119,106,13,3,12,3,0.215,-5.24,-14.42
"533","Tyler White","Dodgers","first_base","15564",94,83,10,3,11,0,0.235,-5.24,-14.44
"534","Tim Lopes","Mariners","outfield","14137",14,13,1,0,1,1,0.25,-5.26,-14.49
"535","Nick Gordon","Twins","shortstop","sa828662",42,39,5,1,4,1,0.255,-5.3,-14.6
"536","Richard Urena","Blue Jays","shortstop","16411",112,104,11,2,11,1,0.24,-5.33,-14.67
"537","Brent Rooker","Twins","outfield","sa3003172",28,25,4,1,4,0,0.244,-5.33,-14.68
"538","Kevin Cron","Diamondbacks","first_base","16211",36,32,5,2,5,0,0.246,-5.34,-14.7
"539","Bobby Wilson",NA,"catcher","6564",51,47,5,1,5,0,0.2,-5.34,-14.71
"540","Vince Fernandez","Rockies","outfield","sa873990",14,12,2,1,2,0,0.247,-5.37,-14.78
"541","Ian Rice","Cubs","catcher","sa658968",13,11,1,0,1,0,0.209,-5.39,-14.85
"542","Austin Rei","Red Sox","catcher","sa659079",13,11,1,0,1,0,0.209,-5.39,-14.85
"543","Dylan Moore","Mariners","outfield","18042",91,82,9,2,9,3,0.221,-5.4,-14.87
"544","Luke Maile","Blue Jays","catcher","13355",19,17,2,0,2,0,0.207,-5.4,-14.88
"545","Seby Zavala","White Sox","catcher","18887",13,12,1,0,1,0,0.208,-5.45,-15
"546","Austin Bossart","Mets","catcher","sa875667",13,12,1,0,1,0,0.208,-5.45,-15
"547","Cedric Mullins II","Orioles","outfield","17929",35,32,4,1,3,1,0.239,-5.48,-15.08
"548","Ben DeLuzio","Diamondbacks","outfield","sa737626",14,13,1,0,1,1,0.246,-5.48,-15.1
"549","Eric Haase","Indians","catcher","14111",32,29,4,1,4,0,0.199,-5.5,-15.15
"550","John Ryan Murphy","Braves","catcher","10346",13,12,1,0,1,0,0.207,-5.51,-15.16
"551","Christian Kelley","Pirates","catcher","sa875583",13,12,1,0,1,0,0.206,-5.56,-15.31
"552","Nick Williams","Phillies","outfield","14330",21,19,2,1,3,0,0.242,-5.59,-15.4
"553","Ryan Flaherty",NA,"third_base","7888",105,93,11,3,11,1,0.228,-5.62,-15.48
"554","Jesus Sanchez","Marlins","outfield","sa872787",21,19,2,1,2,0,0.242,-5.65,-15.55
"555","Gordon Beckham",NA,"second_base","9015",154,139,16,3,16,2,0.236,-5.66,-15.59
"556","Humberto Arteaga","Royals","shortstop","13595",28,26,3,0,2,0,0.257,-5.72,-15.75
"557","Chas McCormick","Astros","outfield","sa3004174",14,12,2,0,2,0,0.243,-5.73,-15.78
"558","Dustin Fowler","Athletics","outfield","17098",21,20,2,1,2,0,0.24,-5.76,-15.85
"559","Dairon Blanco","Royals","outfield","sa3005386",14,13,1,0,1,1,0.241,-5.76,-15.86
"560","Chris Shaw","Giants","outfield","17738",28,26,3,1,3,0,0.238,-5.77,-15.88
"561","Donnie Walton","Mariners","shortstop","19314",35,31,3,1,3,1,0.249,-5.79,-15.93
"562","Ben Ruta","Yankees","outfield","sa918694",14,13,2,0,1,0,0.243,-5.79,-15.93
"563","Jared Walsh","Angels","first_base","18607",49,44,6,2,6,0,0.236,-5.79,-15.94
"564","Luis Alexander Basabe","White Sox","outfield","sa736915",91,81,9,2,8,2,0.218,-5.81,-15.99
"565","Curtis Granderson",NA,"outfield","4747",91,79,11,3,9,1,0.216,-5.81,-16
"566","Bobby Bradley","Indians","dh","17278",42,38,5,2,6,0,0.23,-5.82,-16.02
"567","Tyler Austin",NA,"first_base","11850",70,62,8,3,9,1,0.224,-5.87,-16.17
"568","Daniel Robertson","Rays","third_base","14145",63,54,7,1,6,1,0.236,-5.93,-16.31
"569","Edward Olivares","Padres","outfield","sa832015",21,19,2,0,2,1,0.236,-5.94,-16.34
"570","Alex Blandino","Reds","third_base","16271",112,96,11,2,10,1,0.225,-5.99,-16.48
"571","Daniel Palka","White Sox","outfield","14897",49,44,6,2,7,0,0.225,-5.99,-16.48
