"","Name","Team","position","playerid","PA","AB","R","HR","RBI","SB","AVG","marginal.total.points","dollar.value"
"66","Andrew Benintendi","Red Sox","outfield","17901",658,575,95,19,79,13,0.272,9.6,26.44
"67","Tim Anderson","White Sox","shortstop","15172",658,618,80,22,79,18,0.275,9.57,26.35
"68","J.T. Realmuto","Phillies","catcher","11739",539,487,70,23,74,6,0.269,9.55,26.3
"69","Franmil Reyes","Indians","outfield","14566",595,531,83,37,96,1,0.259,9.53,26.25
"70","Rhys Hoskins","Phillies","outfield","16472",658,543,98,36,92,4,0.242,9.52,26.21
"71","Michael Conforto","Mets","outfield","16376",651,549,91,33,90,6,0.251,9.52,26.2
"72","Marcus Semien","Athletics","shortstop","12533",672,589,95,25,82,12,0.269,9.45,26
"73","Max Kepler","Twins","outfield","12144",637,557,88,30,94,5,0.259,9.42,25.93
"74","Ramon Laureano","Athletics","outfield","17128",609,546,80,24,78,15,0.263,9.4,25.87
"75","Eugenio Suarez","Reds","third_base","12552",672,580,88,37,100,3,0.252,9.39,25.84
"76","Josh Donaldson",NA,"third_base","5038",644,535,98,35,87,4,0.257,9.36,25.76
"77","Trey Mancini","Orioles","outfield","15149",665,595,87,30,90,2,0.272,9.33,25.67
"78","Jeff McNeil","Mets","outfield","15362",658,593,86,20,78,8,0.288,9.22,25.38
"79","Mike Moustakas",NA,"third_base","4892",630,566,85,35,95,3,0.26,9.13,25.14
"80","Lorenzo Cain","Brewers","outfield","9077",644,571,82,15,65,19,0.277,9.04,24.89
"81","Michael Brantley","Astros","outfield","4106",609,548,87,20,82,5,0.288,8.93,24.57
"82","Aristides Aquino","Reds","outfield","15482",602,550,75,35,89,8,0.241,8.78,24.18
"83","Carlos Santana","Indians","first_base","2396",658,547,95,29,90,3,0.26,8.73,24.04
"84","Miguel Sano","Twins","third_base","12164",595,517,86,38,100,1,0.246,8.73,24.03
"85","Amed Rosario","Mets","shortstop","15518",658,608,76,16,72,21,0.275,8.71,23.98
"86","Gary Sanchez","Yankees","catcher","11442",470,413,68,31,78,2,0.242,8.56,23.57
"87","Yasmani Grandal","White Sox","catcher","11368",589,489,78,27,78,3,0.239,8.5,23.41
"88","Justin Turner","Dodgers","third_base","5235",609,530,86,26,84,3,0.28,8.43,23.21
"89","Nomar Mazara","Rangers","outfield","14553",588,531,76,27,85,4,0.269,8.3,22.86
"90","Jorge Polanco","Twins","shortstop","13152",672,604,88,19,85,8,0.28,8.29,22.82
"91","Jean Segura","Phillies","shortstop","5933",665,611,88,16,67,13,0.288,8.27,22.77
"92","Nicholas Castellanos",NA,"outfield","11737",602,548,79,25,84,3,0.275,8.26,22.74
"93","Elvis Andrus","Rangers","shortstop","8709",651,597,76,14,72,22,0.268,8.22,22.64
"94","Oscar Mercado","Indians","outfield","16375",609,552,71,15,68,23,0.255,8.19,22.53
"95","Paul DeJong","Cardinals","shortstop","18015",665,594,81,30,92,7,0.252,8.14,22.41
"96","Edwin Encarnacion",NA,"dh","2151",581,500,78,34,91,2,0.247,8.11,22.33
"97","Mallex Smith","Mariners","outfield","13608",574,512,63,7,49,38,0.249,8.09,22.26
"98","Bryan Reynolds","Pirates","outfield","19326",651,584,74,18,77,7,0.287,8.06,22.18
"99","Adam Eaton","Nationals","outfield","11205",630,546,84,15,60,13,0.282,8.04,22.14
"100","Nick Solak","Rangers","dh","19294",616,546,77,23,77,8,0.268,8.03,22.12
"101","Danny Santana","Rangers","outfield","10322",588,543,70,20,72,19,0.248,7.93,21.83
"102","Avisail Garcia",NA,"outfield","5760",567,517,69,23,78,7,0.273,7.8,21.47
"103","Salvador Perez","Royals","catcher","7304",509,476,61,25,75,2,0.252,7.77,21.39
"104","Andrew McCutchen","Phillies","outfield","9847",567,483,80,26,75,7,0.258,7.76,21.37
"105","Justin Upton","Angels","outfield","5222",623,546,80,30,89,5,0.24,7.71,21.22
"106","Willie Calhoun","Rangers","outfield","17838",560,503,73,26,79,3,0.272,7.68,21.13
"107","David Dahl","Rockies","outfield","13744",546,496,70,21,74,8,0.275,7.65,21.05
"108","Corey Seager","Dodgers","shortstop","13624",637,565,92,24,78,2,0.278,7.6,20.92
"109","Austin Riley","Braves","outfield","18360",602,546,74,31,86,3,0.25,7.58,20.88
"110","Joc Pederson","Dodgers","outfield","11899",497,429,74,31,78,3,0.255,7.43,20.47
"111","Nick Senzel","Reds","outfield","19293",595,535,67,18,69,16,0.259,7.4,20.37
"112","Daniel Murphy","Rockies","first_base","4316",560,511,73,21,77,3,0.288,7.39,20.34
"113","Jackie Bradley Jr.","Red Sox","outfield","12984",637,556,81,22,78,12,0.24,7.33,20.18
"114","Eduardo Escobar","Diamondbacks","third_base","6153",665,602,80,26,88,4,0.257,7.26,19.99
"115","Kevin Kiermaier","Rays","outfield","11038",609,549,74,18,67,20,0.239,7.26,19.99
"116","Miguel Andujar","Yankees","third_base","15878",574,532,73,25,83,4,0.27,7.23,19.92
"117","Mark Canha","Athletics","outfield","11445",616,531,81,26,81,4,0.25,7.14,19.64
"118","David Peralta","Diamondbacks","outfield","2136",581,522,77,21,71,3,0.279,7.12,19.61
"119","Joey Votto","Reds","first_base","4314",651,543,84,22,79,3,0.269,7.12,19.59
"120","Corey Dickerson",NA,"outfield","10762",560,517,72,21,75,4,0.276,7.11,19.58
"121","Kevin Pillar","Giants","outfield","12434",644,600,67,17,72,14,0.26,7.1,19.55
"122","Mitch Haniger","Mariners","outfield","14274",630,549,79,25,77,6,0.249,7,19.26
"123","Shin-Soo Choo","Rangers","outfield","3174",609,517,85,21,65,9,0.255,6.97,19.18
"124","DJ LeMahieu","Yankees","second_base","9874",665,599,91,19,75,6,0.285,6.86,18.88
"125","Anthony Santander","Orioles","outfield","14551",588,543,70,24,76,5,0.261,6.85,18.85
"126","Max Muncy","Dodgers","first_base","13301",602,503,82,30,81,4,0.24,6.83,18.81
"127","Rowdy Tellez","Blue Jays","dh","15679",574,514,73,27,79,4,0.251,6.83,18.8
"128","Tyler O'Neill","Cardinals","outfield","15711",588,533,71,29,82,6,0.238,6.83,18.8
"129","Ryan McMahon","Rockies","first_base","15112",574,510,71,22,76,6,0.267,6.77,18.63
"130","Renato Nunez","Orioles","dh","14503",623,561,74,29,83,2,0.246,6.73,18.52
