"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Byron Buxton","Twins","147","631","572","154","26","12","20","72","83","49","166","5","34","3",".269",".330",".462",".791",".335","12.0","5.2","4.6","52.7","14161"
"Eddie Rosario","Twins","148","624","580","162","29","7","24","78","87","37","118","1","12","5",".279",".321",".478",".798",".334","2.0","-0.1","2.1","118.2","12155"
"Kole Calhoun","Angels","148","613","538","142","26","3","19","72","78","64","113","6","5","2",".264",".346",".429",".775",".334","6.0","-0.3","2.8","286.1","11200"
"Ian Happ","Cubs","135","578","514","133","24","4","24","71","81","54","156","3","8","2",".259",".329",".461",".790",".334","1.0","0.4","2.2","145.0","17919"
"Teoscar Hernandez","Blue Jays","105","413","378","97","20","3","19","60","62","29","114","4","5","1",".257",".315",".476",".791",".334","-2.0","0.4","1.1","308.8","13066"
"Bradley Zimmer","Indians","148","599","532","137","29","5","19","71","76","52","162","12","31","6",".258",".336",".438",".774",".332","8.0","3.3","3.7","201.2","16221"
"Steve Pearce","Blue Jays","95","391","347","91","15","1","14","47","51","36","74","6","1","1",".262",".340",".432",".772",".332","-6.0","-0.5","0.5","540.4","9957"
"Joc Pederson","Dodgers","115","462","394","92","22","0","18","58","63","59","109","7","4","2",".234",".342",".426",".768",".332","-1.0","-0.3","1.4","366.1","11899"
"Nomar Mazara","Rangers","152","668","598","157","34","3","24","83","83","57","124","6","5","2",".263",".329",".450",".779",".331","1.0","-0.2","1.8","167.9","14553"
"Brett Gardner","Yankees","134","611","535","142","22","4","15","90","62","66","106","7","15","3",".265",".352",".406",".757",".331","5.0","1.3","2.5","180.5","9927"
"Matt Joyce","Athletics","135","597","507","125","23","1","19","75","71","80","125","5","4","2",".247",".352",".408",".760",".331","-4.0","-0.5","1.6","478.6","3353"
"Ender Inciarte","Braves","153","696","635","189","29","7","9","94","63","54","84","3","24","7",".298",".353",".408",".761",".329","9.0","1.3","3.6","112.3","4922"
"Max Kepler","Twins","134","546","489","126","25","6","19","65","69","48","98","4","7","1",".258",".326",".450",".776",".329","2.0","0.7","1.6","267.2","12144"
"Curtis Granderson","Blue Jays","102","408","348","78","15","2","18","52","57","53","98","4","3","1",".224",".331",".434",".765",".327","-1.0","-0.1","0.8","561.7","4747"
