"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Nolan Arenado","Rockies","156","685","600","181","39","5","40","107","127","75","116","3","5","2",".302",".378",".583",".961",".400","7.0","-0.2","6.4","7.6","9777"
"Kris Bryant","Cubs","148","659","555","162","38","4","31","110","112","82","131","18","5","2",".292",".398",".542",".940",".399","-1.0","-0.3","6.6","33.3","15429"
"Jose Ramirez","Indians","156","689","589","173","45","4","33","105","117","90","76","5","25","5",".294",".389",".552",".941",".396","3.0","2.5","7.3","3.9","13510"
"Justin Turner","Dodgers","133","581","501","159","35","1","21","86","95","59","63","15","4","1",".317",".401",".517",".918",".393","1.0","0.0","6.0","110.2","5235"
"Alex Bregman","Astros","154","683","584","170","46","4","29","105","111","86","86","9","12","3",".291",".388",".533",".921",".392","-1.0","0.7","7.1","13.3","17678"
"Anthony Rendon","Nationals","143","624","543","164","44","2","24","89","99","67","80","7","5","2",".302",".381",".523",".904",".384","6.0","-0.2","6.0","43.9","12861"
"Josh Donaldson","Braves","134","591","502","133","30","2","29","98","95","82","126","5","5","1",".265",".372",".506",".878",".376","3.0","0.2","5.1","101.9","5038"
"Eugenio Suarez","Reds","154","668","577","160","30","2","32","96","110","77","146","9","4","2",".277",".368",".503",".871",".372","0.0","-0.5","5.1","55.0","12552"
"Miguel Andujar","Yankees","145","600","550","162","43","3","28","91","98","36","91","6","6","3",".295",".340",".536",".876",".369","-7.0","-0.3","4.0","80.3","15878"
"Manny Machado","Padres","152","669","602","174","34","2","35","103","107","59","107","2","10","3",".289",".351",".527",".878",".367","3.0","0.4","5.8","16.9","11493"
"Matt Carpenter","Cardinals","144","654","543","141","34","3","26","121","88","99","137","7","5","2",".260",".378",".477",".855",".365","-1.0","-0.2","4.8","73.3","8090"
"Joey Gallo","Rangers","146","615","528","118","24","4","43","106","117","81","194","6","6","2",".223",".333",".528",".862",".364","0.0","0.1","3.3","103.8","14128"
"Matt Chapman","Athletics","151","666","589","160","42","6","28","100","98","67","151","6","4","2",".272",".350",".506",".856",".364","13.0","-0.4","6.5","112.3","16505"
"Nicholas Castellanos","Tigers","152","666","600","170","40","7","27","93","99","56","137","5","5","2",".283",".347",".508",".855",".363","-10.0","-0.2","3.1","94.0","11737"
"Miguel Sano","Twins","135","574","507","126","30","2","32","87","97","63","183","2","0","0",".249",".333",".505",".838",".355","-3.0","-0.3","3.5","211.5","12164"
"Travis Shaw","Brewers","144","615","537","137","33","1","29","85","96","69","116","4","5","1",".255",".341",".482",".824",".350","1.0","0.2","3.8","98.8","11982"
"Rafael Devers","Red Sox","140","576","526","140","31","4","26","79","85","47","127","1","5","2",".266",".326",".489",".815",".345","-4.0","-0.1","2.7","150.2","17350"
"Mike Moustakas","Brewers","141","592","531","137","32","1","27","81","89","52","91","4","3","1",".258",".326",".475",".801",".338","0.0","-0.1","2.9","148.5","4892"
"Maikel Franco","Phillies","139","574","526","142","26","1","25","75","80","42","76","2","3","1",".270",".324",".466",".790",".335","-2.0","-0.1","2.6","316.1","12179"
"Johan Camargo","Braves","116","476","433","120","23","3","14","55","58","37","91","3","3","2",".277",".336",".441",".777",".334","3.0","-0.5","2.4","406.3","14950"
"Kyle Seager","Mariners","148","630","570","144","33","2","25","76","85","49","111","7","6","2",".253",".317",".449",".767",".326","6.0","0.1","3.8","271.0","9785"
"Todd Frazier","Mets","95","389","334","75","16","0","16","47","50","45","89","6","4","1",".225",".324",".416",".740",".322","2.0","0.2","1.8","535.9","785"
"Ryon Healy","Mariners","104","424","395","100","17","1","19","52","55","25","89","2","1","1",".253",".300",".446",".745",".319","-3.0","-0.4","0.5","461.6","15447"
"Wilmer Flores","Diamondbacks","128","544","499","135","26","0","17","58","66","31","60","5","1","0",".271",".314",".425",".739",".317","-3.0","-0.1","0.8","411.5","5827"
"Evan Longoria","Giants","141","598","550","141","31","3","20","64","72","35","103","5","5","2",".256",".303",".433",".735",".312","0.0","-0.1","1.9","429.4","9368"
"Yolmer Sanchez","White Sox","133","546","502","128","24","7","10","48","52","36","95","5","8","3",".255",".310",".390",".700",".304","4.0","0.1","1.9","541.1","11602"
"Ronald Torreyes","Twins","45","167","157","42","5","1","0","12","11","7","24","1","1","0",".268",".299",".312",".612",".270","1.0","0.1","0.0","999.0","11400"
