"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Isiah Kiner-Falefa","Rangers","48","198","178","47","9","1","2","20","19","15","29","3","4","2","",".263",".325",".362",".687",".303","","82","0.0","-0.2","","-4.2","2.6","0.5","","287.5","16512"
"Matt Wieters","Cardinals","37","144","128","31","6","0","4","14","16","12","28","1","1","0","",".240",".311",".385",".696",".302","","89","-0.4","0.6","","-2.3","3.6","0.6","","567.3","4298"
"Zack Collins","White Sox","3","12","10","2","0","0","0","1","1","2","4","0","0","0","",".205",".317",".360",".677",".301","","90","0.0","0.0","","-0.1","0.3","0.1","","598.2","sa738390"
"Andrew Knizner","Cardinals","8","31","29","7","1","0","1","3","3","2","5","0","0","0","",".262",".312",".379",".691",".301","","89","0.0","0.0","","-0.4","0.6","0.1","","591.6","sa857827"
"Carson Kelly","Diamondbacks","44","177","156","38","8","1","4","17","18","16","30","2","1","0","",".242",".317",".370",".686",".301","","85","0.0","0.4","","-3.2","4.1","0.7","","469.5","13620"
"Manny Pina","Brewers","24","96","88","22","4","0","2","9","10","6","20","1","1","0","",".251",".306",".388",".695",".301","","85","-0.3","0.9","","-2.0","2.9","0.4","","514.8","2829"
"Dom Nunez","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".314",".372",".686",".300","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737813"
"Mike Zunino","Rays","106","426","380","80","16","0","20","47","54","33","143","7","1","0","",".210",".283",".411",".694",".300","","90","-0.6","2.1","","-5.6","10.9","2.0","","244.8","13265"
"Ian Rice","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".310",".370",".680",".300","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658968"
"Yermin Mercedes","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".300",".392",".692",".300","","89","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597096"
"Geovany Soto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".295",".395",".690",".300","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","3707"
"Curt Casali","Reds","9","33","29","7","1","0","1","3","4","3","8","0","0","0","",".231",".308",".377",".685",".299","","84","-0.1","0.0","","-0.7","0.7","0.1","","594.3","12510"
"Tony Wolters","Rockies","50","194","169","41","7","2","3","19","18","20","38","2","2","1","",".240",".327",".358",".685",".299","","70","0.1","0.4","","-6.9","4.5","0.4","","600.3","11470"
"Wynston Sawyer","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".313",".363",".676",".298","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548430"
"Robinson Chirinos","Astros","71","280","242","49","10","1","11","32","33","27","90","8","1","1","",".201",".297",".380",".677",".298","","90","-1.1","-0.4","","-4.3","5.5","1.1","","243.1","3142"
"Tom Murphy","Rockies","15","60","55","12","3","0","2","6","7","4","20","1","1","0","",".228",".280",".415",".695",".297","","69","0.0","-0.3","","-2.2","1.0","0.1","","576.4","13499"
"Francisco Mejia","Padres","77","321","297","73","14","1","9","32","35","17","64","3","1","1","",".247",".294",".394",".688",".297","","87","0.3","-0.4","","-4.9","4.7","1.0","","262.3","16403"
"Jason Castro","Twins","86","333","289","63","14","1","8","36","34","36","96","3","2","1","",".219",".308",".363",".671",".296","","83","-0.7","1.4","","-7.5","8.6","1.2","","580.4","8722"
"Grayson Greiner","Tigers","87","350","312","74","15","1","8","34","35","30","84","2","1","1","",".236",".307",".367",".674",".296","","85","0.2","-0.3","","-6.1","7.0","1.3","","533.8","17062"
"John Hicks","Tigers","67","280","259","64","13","1","7","28","31","16","73","2","2","1","",".248",".295",".388",".682",".296","","85","-0.3","0.0","","-5.4","-6.6","-0.3","","400.0","12547"
"Xavier Fernandez","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".301",".384",".685",".296","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737922"
"Chris Herrmann","Athletics","34","134","117","25","5","1","3","14","14","15","36","1","1","0","",".217",".307",".365",".672",".296","","87","0.2","0.4","","-1.8","3.2","0.6","","593.9","9284"
"Chance Sisco","Orioles","59","234","207","49","9","0","5","22","22","20","64","4","1","1","",".236",".313",".355",".668",".296","","84","-0.1","0.7","","-4.5","5.6","0.9","","542.3","15694"
"Tomas Telis","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".267",".312",".369",".682",".295","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","10067"
"Keibert Ruiz","Dodgers","6","25","23","6","1","0","1","2","3","1","3","0","0","0","",".253",".299",".378",".678",".294","","86","0.0","0.0","","-0.4","0.5","0.1","","595.4","sa872528"
"Spencer Kieboom","Nationals","3","12","10","2","0","0","0","1","1","1","2","0","0","0","",".239",".313",".349",".662",".293","","80","0.0","0.0","","-0.3","0.3","0.0","","598.8","13300"
"Hector Sanchez","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".283",".396",".679",".293","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","10289"
"Christian Vazquez","Red Sox","71","277","253","65","14","1","4","29","29","16","50","3","4","2","",".256",".305",".367",".672",".293","","79","-0.6","1.3","","-7.7","7.2","0.9","","518.0","9774"
"Ryan Lavarnway","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".305",".359",".664",".293","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","8879"
"Sean Murphy","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".297",".378",".674",".293","","85","0.0","0.0","","0.0","0.0","0.0","","593.0","sa873680"
"Erik Kratz","Brewers","12","48","44","10","2","0","1","5","5","3","11","1","0","0","",".234",".289",".387",".675",".293","","80","-0.1","0.2","","-1.3","1.2","0.1","","999.0","4403"
"Cam Gallagher","Royals","39","153","140","35","7","0","3","15","14","10","26","1","1","0","",".250",".305",".364",".669",".293","","81","-0.1","0.0","","-3.5","3.3","0.5","","600.3","12981"
"Max Stassi","Astros","51","195","172","37","8","0","6","22","21","17","56","3","1","0","",".216",".296",".370",".666",".293","","87","-0.1","-0.1","","-3.2","4.1","0.8","","566.9","10059"
"Austin Allen","Padres","3","12","11","3","1","0","0","1","1","1","3","0","0","0","",".239",".292",".386",".678",".292","","84","0.0","0.0","","-0.2","0.3","0.0","","999.0","sa875025"
"Roberto Perez","Indians","55","214","186","40","9","1","5","23","22","24","63","1","2","1","",".213",".304",".355",".659",".292","","78","-0.3","1.5","","-5.9","6.1","0.7","","591.5","2900"
"Nick Hundley","Athletics","15","61","56","13","3","0","2","6","7","4","16","0","0","0","",".236",".288",".391",".680",".292","","85","-0.2","-0.3","","-1.3","0.9","0.2","","591.2","3376"
"Brett Cumberland","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".300",".364",".664",".292","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915611"
"Dom Miroglio","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".256",".301",".367",".668",".292","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739013"
