"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Craig Kimbrel","Red Sox","4","2","2.57","0","65","33","65.0","42","19","6","100","24","1.02","13.90","3.30","2.45","1.5","1.7","45.1","6655"
"Kenley Jansen","Dodgers","4","2","2.74","0","65","38","65.0","46","20","7","91","15","0.94","12.56","2.07","2.58","1.4","1.3","37.7","3096"
"Andrew Miller","Indians","4","2","2.74","0","65","13","65.0","47","20","6","91","21","1.05","12.60","2.91","2.71","1.4","1.4","210.8","6785"
"Clayton Kershaw","Dodgers","16","8","2.74","32","32","0","209.0","174","64","21","240","39","1.02","10.32","1.67","2.79","6.4","6.2","7.0","2036"
"Noah Syndergaard","Mets","13","9","3.10","31","31","0","182.0","152","63","18","220","46","1.09","10.85","2.29","2.85","5.5","4.5","33.8","11762"
"Dellin Betances","Yankees","3","2","2.94","0","55","2","55.0","37","18","5","82","26","1.15","13.37","4.29","2.96","1.1","1.0","275.2","6216"
"Aroldis Chapman","Yankees","4","2","2.86","0","65","29","65.0","45","21","7","95","27","1.10","13.21","3.76","2.97","1.3","1.3","65.4","10233"
"Felipe Rivero","Pirates","4","3","2.99","0","65","31","65.0","53","22","6","81","24","1.18","11.17","3.28","3.01","1.1","1.1","92.1","12076"
"Chris Sale","Red Sox","15","7","3.13","29","29","0","192.0","155","67","23","241","43","1.03","11.29","2.00","3.02","5.4","5.7","12.8","10603"
"Ken Giles","Astros","4","3","3.15","0","65","33","65.0","50","23","7","86","24","1.14","11.90","3.31","3.07","1.1","1.0","98.1","12910"
"Corey Knebel","Brewers","4","3","3.14","0","65","30","65.0","47","23","7","93","29","1.18","12.87","4.04","3.07","1.2","1.1","61.3","15010"
"Trevor Rosenthal","Cardinals","0","0","3.11","0","1","0","1.0","1","0","0","1","0","1.22","11.75","4.07","3.17","0.0","0.1","609.4","10745"
"Corey Kluber","Indians","14","8","3.29","29","29","0","194.0","166","71","23","224","45","1.09","10.40","2.08","3.19","5.2","5.3","13.6","2429"
"Ryan Madson","Nationals","4","3","3.24","0","65","14","65.0","58","23","6","70","19","1.18","9.76","2.64","3.20","1.0","0.9","428.3","1852"
"Edwin Diaz","Mariners","4","3","3.20","0","65","32","65.0","50","23","7","84","24","1.13","11.64","3.32","3.25","1.0","1.0","90.9","14710"
"Walker Buehler","Dodgers","5","3","3.15","8","33","0","71.0","57","25","7","87","29","1.20","11.04","3.66","3.25","1.4","1.3","361.6","19374"
"Chad Green","Yankees","3","2","3.24","0","45","0","45.0","36","16","6","57","13","1.10","11.32","2.64","3.26","0.7","0.7","286.9","15552"
"Zach Britton","Orioles","2","1","3.06","0","35","16","35.0","32","12","2","35","14","1.30","9.02","3.49","3.27","0.6","0.6","269.5","3240"
"Max Scherzer","Nationals","15","9","3.38","32","32","0","207.0","170","78","27","257","56","1.09","11.15","2.43","3.30","5.0","5.0","10.5","3137"
"Stephen Strasburg","Nationals","14","8","3.43","31","31","0","188.0","165","72","22","216","52","1.15","10.32","2.48","3.33","4.5","4.3","25.0","10131"
"Justin Wilson","Cubs","3","2","3.20","0","55","2","55.0","43","20","5","69","24","1.22","11.30","3.99","3.34","0.8","0.9","576.0","4301"
"Brad Hand","Padres","3","3","3.32","0","65","29","65.0","55","24","7","76","23","1.19","10.54","3.12","3.34","0.8","0.8","116.7","9111"
"A.J. Minter","Braves","3","2","3.29","0","55","0","55.0","44","20","6","71","23","1.22","11.56","3.79","3.34","0.7","0.7","443.2","18655"
"Anthony Swarzak","Mets","3","3","3.34","0","65","2","65.0","57","24","7","72","20","1.18","9.95","2.75","3.35","0.9","0.8","457.5","7466"
"Jacob deGrom","Mets","13","10","3.44","32","32","0","203.0","179","78","24","226","57","1.16","9.99","2.52","3.37","4.8","4.0","35.0","10954"
"Sean Doolittle","Nationals","4","3","3.33","0","65","22","65.0","53","24","8","79","19","1.11","10.95","2.65","3.37","0.8","0.9","132.6","1581"
"Raisel Iglesias","Reds","3","3","3.43","0","65","32","65.0","54","25","8","78","22","1.18","10.78","3.05","3.42","0.9","0.8","102.1","17130"
"Scott Alexander","Dodgers","4","3","3.12","0","65","0","65.0","60","23","4","60","25","1.30","8.32","3.40","3.42","0.8","0.9","634.4","10591"
"Michael Feliz","Pirates","3","3","3.51","0","55","0","55.0","47","21","6","66","21","1.24","10.85","3.51","3.43","0.7","0.6","655.2","11903"
"Mark Melancon","Giants","3","3","3.39","0","65","22","65.0","62","24","6","57","18","1.24","7.96","2.49","3.43","0.7","0.7","176.6","4264"
"James Hoyt","Astros","2","1","3.51","0","30","0","30.0","25","12","3","36","11","1.21","10.77","3.25","3.44","0.4","0.3","718.8","14605"
"Archie Bradley","Diamondbacks","3","3","3.54","0","65","11","65.0","57","26","7","74","24","1.25","10.21","3.33","3.44","0.9","0.8","189.2","12918"
"Roberto Osuna","Blue Jays","4","3","3.51","0","65","32","65.0","55","25","8","75","18","1.12","10.42","2.52","3.46","0.9","0.9","78.9","13764"
"Carlos Carrasco","Indians","13","8","3.51","29","29","0","178.0","161","70","22","191","45","1.16","9.62","2.28","3.47","4.2","4.2","36.2","6632"
"Pedro Strop","Cubs","3","2","3.33","0","45","0","45.0","38","17","4","52","19","1.26","10.32","3.78","3.47","0.6","0.6","606.3","4070"
"Chris Archer","Rays","12","10","3.50","32","32","0","196.0","169","76","24","222","61","1.18","10.19","2.82","3.48","4.3","4.3","52.4","6345"
"Luke Gregerson","Cardinals","3","3","3.57","0","65","19","65.0","60","26","6","64","21","1.25","8.93","2.91","3.52","0.7","0.6","367.9","4090"
"Drew Steckenrider","Marlins","3","3","3.37","0","55","0","55.0","45","21","5","64","25","1.27","10.48","4.02","3.52","0.6","0.6","367.0","18806"
"Nate Jones","White Sox","3","3","3.48","0","55","0","55.0","47","21","6","64","20","1.21","10.51","3.22","3.55","0.7","0.7","413.3","4696"
"Carl Edwards Jr.","Cubs","3","2","3.38","0","55","0","55.0","41","21","5","73","31","1.31","11.88","5.00","3.56","0.6","0.7","340.8","13607"
"Brett Cecil","Cardinals","3","3","3.52","0","65","15","65.0","60","25","7","66","21","1.24","9.18","2.88","3.57","0.7","0.6","664.4","2660"
"James Paxton","Mariners","12","9","3.54","29","29","0","176.0","161","69","20","178","52","1.21","9.13","2.65","3.57","3.7","3.6","77.4","11828"
"Kirby Yates","Padres","3","3","3.58","0","55","2","55.0","44","22","7","69","22","1.20","11.30","3.52","3.57","0.6","0.4","462.1","9073"
"Danny Salazar","Indians","8","6","3.54","16","46","0","120.0","99","47","15","147","45","1.20","11.03","3.37","3.58","2.3","2.5","171.5","5867"
"Joe Kelly","Red Sox","3","2","3.56","0","55","0","55.0","49","22","6","59","21","1.27","9.59","3.39","3.59","0.6","0.7","654.0","9761"
"Jose Quintana","Cubs","14","9","3.51","32","32","0","196.0","179","77","23","199","56","1.20","9.12","2.57","3.59","4.2","4.2","75.9","11423"
"Keone Kela","Rangers","2","2","3.64","0","45","0","45.0","37","18","5","56","19","1.25","11.15","3.82","3.61","0.5","0.6","393.0","14696"
"Lance McCullers","Astros","10","6","3.61","24","24","0","137.0","124","55","13","145","53","1.29","9.56","3.49","3.61","2.9","2.7","155.8","14120"
"Andrew Chafin","Diamondbacks","3","2","3.56","0","55","0","55.0","49","22","5","59","24","1.33","9.72","3.85","3.61","0.6","0.7","999.0","12988"
"Blake Parker","Angels","4","3","3.48","0","65","11","65.0","54","25","8","74","22","1.17","10.21","3.07","3.61","0.7","0.8","214.9","5224"
"Shohei Ohtani","Angels","10","7","3.56","24","24","0","148.0","120","59","19","183","59","1.21","11.12","3.59","3.63","3.0","3.0","74.6","19755"
"Hector Rondon","Astros","2","2","3.69","0","45","0","45.0","40","18","6","49","14","1.21","9.87","2.84","3.63","0.5","0.4","595.3","2391"
"Luis Severino","Yankees","14","8","3.56","31","31","0","188.0","164","75","25","213","58","1.18","10.16","2.75","3.63","4.3","4.3","33.3","15890"
"Will Smith","Giants","2","1","3.49","0","30","0","30.0","25","12","3","34","13","1.28","10.32","3.96","3.64","0.2","0.3","999.0","8048"
"Ross Stripling","Dodgers","3","2","3.57","0","55","0","55.0","52","22","6","53","16","1.22","8.61","2.55","3.64","0.5","0.4","631.6","13273"
"Tommy Kahnle","Yankees","3","2","3.54","0","55","2","55.0","44","22","7","69","24","1.25","11.35","4.00","3.64","0.7","0.7","455.6","11384"
"Jeurys Familia","Mets","3","3","3.56","0","65","34","65.0","59","26","6","65","27","1.33","9.05","3.79","3.64","0.7","0.5","176.7","5114"
"Robbie Ray","Diamondbacks","11","9","3.70","29","29","0","168.0","140","69","21","209","70","1.25","11.20","3.73","3.64","3.6","3.6","45.9","11486"
"Tommy Hunter","Phillies","3","3","3.64","0","55","2","55.0","50","22","7","58","16","1.21","9.53","2.67","3.64","0.7","0.6","584.8","1157"
"Brandon Morrow","Cubs","4","3","3.58","0","65","36","65.0","59","26","8","68","21","1.22","9.39","2.91","3.64","0.7","0.7","223.1","9346"
"Radhames Liz","Pirates","0","0","3.70","0","1","0","1.0","1","0","0","1","0","1.28","10.19","3.59","3.66","0.0","0.1","999.0","5843"
"Drew Smyly","Cubs","1","0","3.56","0","10","0","10.0","9","4","1","11","3","1.13","10.02","2.42","3.66","0.1","0.1","999.0","11760"
"Aaron Nola","Phillies","11","10","3.77","29","29","0","180.0","167","75","23","187","51","1.22","9.38","2.56","3.67","3.9","3.3","67.7","16149"
"Alex Wood","Dodgers","9","7","3.51","23","23","0","131.0","123","51","15","126","38","1.23","8.62","2.63","3.68","2.5","2.5","103.7","13781"
"Rubby de la Rosa","Diamondbacks","0","0","3.81","0","1","0","1.0","1","0","0","1","0","1.24","9.94","2.96","3.68","0.0","0.1","641.0","3862"
"Carlos Martinez","Cardinals","13","10","3.74","32","32","0","202.0","190","84","21","203","72","1.30","9.04","3.22","3.68","4.0","3.4","53.7","11682"
"David Robertson","Yankees","4","3","3.66","0","65","4","65.0","54","26","8","79","25","1.22","10.91","3.48","3.69","0.8","0.7","286.6","8241"
"Enny Romero","Nationals","2","2","3.58","0","45","0","45.0","38","18","5","53","19","1.28","10.56","3.89","3.69","0.4","0.5","660.5","4001"
"Wilmer Font","Dodgers","3","2","3.63","6","16","0","47.0","40","19","7","54","14","1.14","10.29","2.66","3.69","0.8","0.8","663.7","5257"
"Blake Treinen","Athletics","3","3","3.67","0","65","10","65.0","62","27","6","63","26","1.34","8.67","3.54","3.69","0.6","0.6","200.3","12572"
"Nik Turley","Pirates","1","0","3.61","0","10","0","10.0","8","4","1","12","4","1.27","10.57","3.76","3.69","0.1","0.1","999.0","5530"
"Yu Darvish","","12","9","3.82","29","29","0","179.0","158","76","24","203","56","1.20","10.19","2.82","3.70","3.6","3.4","51.7","13074"
"Liam Hendriks","Athletics","3","3","3.81","0","55","0","55.0","50","23","7","58","18","1.23","9.43","2.87","3.70","0.5","0.5","657.7","3548"
"Joe Smith","Astros","3","2","3.63","0","55","0","55.0","51","22","6","55","17","1.25","9.02","2.84","3.70","0.5","0.5","645.3","3281"
"Francisco Liriano","","1","0","3.62","0","10","0","10.0","9","4","1","11","4","1.29","10.10","3.76","3.70","0.1","0.1","649.6","3201"
"Jameson Taillon","Pirates","11","11","3.95","32","32","0","189.0","190","83","21","176","53","1.28","8.37","2.52","3.71","3.6","2.9","198.2","11674"
"Josh Ravin","Braves","1","1","3.69","0","25","0","25.0","21","10","3","31","12","1.30","11.11","4.25","3.71","0.2","0.2","999.0","2951"
"Jacob Barnes","Brewers","3","3","3.72","0","65","3","65.0","58","27","7","72","27","1.31","9.91","3.70","3.72","0.7","0.7","614.5","12323"
"Cody Allen","Indians","4","3","3.70","0","65","22","65.0","54","27","9","78","25","1.22","10.75","3.42","3.72","0.7","0.7","102.1","12183"
"Austin Pruitt","Rays","3","3","3.70","0","55","0","55.0","53","23","7","50","12","1.19","8.15","1.99","3.72","0.5","0.5","669.0","15290"
"Will Harris","Astros","3","2","3.78","0","55","0","55.0","51","23","7","56","17","1.24","9.15","2.80","3.72","0.5","0.4","547.0","3192"
"Bryan Shaw","Rockies","3","3","3.84","0","65","5","65.0","62","28","7","66","24","1.32","9.12","3.29","3.72","0.8","0.9","561.4","8110"
"Angel Sanchez","Pirates","0","0","3.83","0","1","0","1.0","1","0","0","1","0","1.28","8.76","2.81","3.73","0.0","0.1","999.0","11776"
"Kelvin Herrera","Royals","3","3","3.77","0","65","30","65.0","60","27","7","65","22","1.26","9.05","3.08","3.74","0.6","0.6","209.0","6033"
"Dominic Leone","Cardinals","3","2","3.71","0","55","0","55.0","49","23","6","59","22","1.28","9.68","3.54","3.74","0.5","0.4","542.1","13763"
"Wade Davis","Rockies","3","3","3.79","0","65","29","65.0","57","27","8","74","27","1.30","10.30","3.73","3.75","0.8","0.9","103.0","7441"
"Jeff Samardzija","Giants","13","11","3.81","32","32","0","202.0","196","86","26","184","45","1.19","8.19","2.01","3.75","3.4","3.2","139.6","3254"
"Tyler Lyons","Cardinals","3","2","3.73","0","55","4","55.0","51","23","7","57","16","1.21","9.36","2.66","3.76","0.5","0.4","420.2","11334"
"Arodys Vizcaino","Braves","3","3","3.79","0","65","23","65.0","57","27","8","75","27","1.29","10.36","3.79","3.76","0.6","0.5","150.3","5498"
"Frankie Montas","Athletics","1","1","3.76","0","20","0","20.0","17","8","2","23","8","1.27","10.27","3.67","3.76","0.2","0.2","654.2","14309"
"David Price","Red Sox","13","8","3.74","29","29","0","180.0","167","75","24","179","46","1.19","8.97","2.32","3.76","3.4","3.9","123.1","3184"
"Rich Hill","Dodgers","10","7","3.61","24","24","0","141.0","120","57","17","158","50","1.21","10.08","3.21","3.77","2.6","2.5","120.9","4806"
"Chris Devenski","Astros","4","3","3.75","0","65","0","65.0","57","27","9","72","20","1.18","10.03","2.78","3.77","0.6","0.6","291.0","12763"
"Corey Oswalt","Mets","0","0","3.69","0","10","0","10.0","9","4","1","10","3","1.25","8.67","2.86","3.78","0.1","0.1","999.0","sa658034"
"Dallas Keuchel","Astros","14","9","3.69","32","32","0","202.0","203","83","20","169","62","1.31","7.53","2.74","3.78","3.9","3.6","77.1","9434"
"Josh Hader","Brewers","3","2","3.63","0","55","1","55.0","44","22","7","70","25","1.26","11.50","4.15","3.78","0.6","0.6","306.2","14212"
"Josh Fields","Dodgers","2","2","3.64","0","35","0","35.0","30","14","5","39","11","1.18","10.01","2.92","3.78","0.3","0.3","658.9","5070"
"Chaz Roe","Rays","2","2","3.63","0","40","0","40.0","35","16","4","42","17","1.30","9.49","3.74","3.79","0.3","0.4","696.0","9866"
"Zack Greinke","Diamondbacks","13","10","3.87","32","32","0","203.0","196","87","27","196","52","1.22","8.69","2.31","3.79","4.0","3.9","45.7","1943"
"Jay Jackson","Padres","0","0","3.79","0","1","0","1.0","1","0","0","1","0","1.26","9.59","3.25","3.79","0.0","0.1","999.0","7432"
"Aaron Barrett","Nationals","0","0","3.75","0","1","0","1.0","1","0","0","1","0","1.30","9.71","3.64","3.79","0.0","0.1","999.0","11243"
"D.J. Snelten","Giants","1","0","3.48","0","10","0","10.0","9","4","1","9","4","1.35","7.81","3.64","3.79","0.1","0.1","999.0","sa549813"
"Charlie Morton","Astros","9","6","3.83","23","23","0","130.0","121","55","14","131","46","1.29","9.13","3.17","3.79","2.5","2.3","173.2","4676"
"Josh Smoker","Pirates","0","0","3.77","0","10","0","10.0","9","4","1","11","4","1.33","9.70","3.72","3.80","0.1","0.0","999.0","10285"
"Erik Cordier","Marlins","0","0","3.66","0","1","0","1.0","1","0","0","1","1","1.34","10.59","4.67","3.80","0.0","0.1","999.0","4086"
"Carson Smith","Red Sox","3","3","3.77","0","65","4","65.0","61","27","6","63","27","1.35","8.67","3.68","3.80","0.5","0.7","596.5","13172"
"Nathan Eovaldi","Rays","1","1","3.72","2","12","0","19.0","18","8","2","18","6","1.25","8.27","2.58","3.82","0.2","0.2","578.4","9132"
"Eric Yardley","Padres","0","0","3.74","0","1","0","1.0","1","0","0","1","0","1.34","7.26","2.97","3.82","0.0","0.1","999.0","sa744476"
"Koda Glover","Nationals","3","2","3.80","0","55","2","55.0","51","23","7","56","20","1.28","9.24","3.20","3.82","0.4","0.5","623.2","17695"
"Yonny Chirinos","Rays","1","1","3.71","0","15","0","15.0","15","6","2","13","3","1.17","7.85","1.79","3.82","0.1","0.1","714.4","sa735855"
"Justin Verlander","Astros","14","9","3.86","32","32","0","204.0","180","87","29","228","64","1.20","10.04","2.84","3.82","3.8","3.6","38.1","8700"
"Trevor Hildenberger","Twins","3","2","3.83","0","55","2","55.0","54","23","6","50","16","1.27","8.17","2.65","3.82","0.5","0.5","400.6","17002"
"Madison Bumgarner","Giants","13","11","3.73","32","32","0","207.0","195","86","28","198","50","1.18","8.60","2.18","3.83","3.3","3.5","26.0","5524"
"Jon Edwards","Padres","0","0","3.74","0","1","0","1.0","1","0","0","1","0","1.30","10.59","4.21","3.83","0.0","0.1","999.0","1483"
"James Pazos","Mariners","2","2","3.62","0","45","0","45.0","38","18","5","51","21","1.32","10.21","4.25","3.83","0.4","0.4","646.9","13323"
"Zack Weiss","Reds","0","0","3.73","0","10","0","10.0","9","4","1","11","4","1.26","10.16","3.61","3.84","0.1","0.1","999.0","sa548466"
"Jared Miller","Diamondbacks","1","1","3.72","0","25","0","25.0","22","10","3","28","12","1.36","10.00","4.31","3.84","0.2","0.3","999.0","sa827467"
"Kyle Barraclough","Marlins","3","3","3.67","0","65","11","65.0","54","26","6","75","36","1.38","10.37","4.95","3.84","0.5","0.5","315.5","13713"
"Marcus Stroman","Blue Jays","13","10","3.89","32","32","0","200.0","204","86","20","163","60","1.32","7.35","2.71","3.84","3.9","3.6","122.9","13431"
"Sam Dyson","Giants","3","3","3.71","0","65","16","65.0","65","27","5","52","26","1.40","7.22","3.62","3.84","0.4","0.4","523.0","11710"
"Chris Rusin","Rockies","2","2","3.89","0","40","0","40.0","41","17","5","35","12","1.32","7.94","2.59","3.84","0.4","0.5","632.1","9895"
"Luke Weaver","Cardinals","10","8","3.82","26","26","0","145.0","135","61","19","144","42","1.23","8.98","2.64","3.85","2.6","2.5","110.3","16918"
"Alex Reyes","Cardinals","7","5","3.76","16","26","0","102.0","85","43","12","121","49","1.31","10.66","4.35","3.85","1.7","1.7","258.5","15015"
"David Phelps","Mariners","3","3","3.76","0","55","0","55.0","49","23","7","59","21","1.27","9.66","3.39","3.86","0.4","0.4","670.4","6316"
"Jimmie Sherfy","Diamondbacks","3","3","3.87","0","55","0","55.0","48","24","7","63","23","1.29","10.24","3.77","3.87","0.5","0.5","552.1","15118"
"Juan Nicasio","Mariners","3","3","3.78","0","65","4","65.0","59","27","8","69","23","1.26","9.58","3.19","3.87","0.5","0.6","422.3","7731"
"Greg Holland","","1","0","3.78","0","10","0","10.0","9","4","1","11","4","1.31","10.08","3.94","3.87","0.1","0.0","130.0","7196"
"Kevin Shackelford","Reds","2","2","3.71","0","40","0","40.0","35","16","4","43","18","1.32","9.67","3.96","3.87","0.4","0.4","729.0","11012"
"Jenrry Mejia","Mets","0","0","3.84","0","1","0","1.0","1","0","0","1","0","1.33","9.12","3.62","3.87","0.0","0.1","999.0","8476"
"Phil Maton","Padres","3","3","3.80","0","65","4","65.0","58","27","8","70","24","1.27","9.66","3.36","3.87","0.5","0.3","628.8","18064"
"Boone Logan","Indians","2","1","3.73","0","30","0","30.0","26","12","4","35","13","1.29","10.46","3.89","3.87","0.3","0.4","999.0","5525"
"Garrett Richards","Angels","9","7","3.74","23","23","0","132.0","125","55","14","122","46","1.29","8.28","3.15","3.87","2.3","2.4","183.3","9784"
"Alex Colome","Rays","3","3","3.74","0","65","34","65.0","60","27","8","63","22","1.26","8.78","3.02","3.88","0.5","0.6","118.2","6661"
"Trey Wingenter","Padres","0","0","3.74","0","1","0","1.0","1","0","0","1","0","1.35","9.54","4.17","3.88","0.0","0.1","999.0","sa659030"
"Rex Brothers","Braves","2","2","3.73","0","40","0","40.0","33","17","4","49","22","1.38","11.04","5.00","3.88","0.3","0.3","725.5","9794"
"Roberto Gomez","Giants","1","1","3.73","0","25","0","25.0","23","10","3","24","10","1.30","8.71","3.52","3.88","0.1","0.2","999.0","12963"
"Grant Dayton","Braves","0","0","3.82","0","10","0","10.0","9","4","1","11","4","1.24","10.32","3.33","3.89","0.1","0.0","749.0","11203"
"John Holdzkom","Pirates","0","0","3.90","0","1","0","1.0","1","0","0","1","0","1.38","9.82","4.29","3.89","0.0","0.1","999.0","9392"
"Tyler Webb","Brewers","2","2","3.78","0","35","0","35.0","32","15","4","37","13","1.29","9.52","3.40","3.90","0.3","0.3","999.0","14974"
"Matt Albers","Brewers","2","2","3.97","0","45","0","45.0","44","20","5","43","16","1.33","8.59","3.13","3.90","0.4","0.3","619.2","4300"
"Jon Lester","Cubs","13","10","3.91","32","32","0","195.0","185","85","25","187","60","1.26","8.63","2.78","3.90","3.5","3.3","120.0","4930"
"Jon Gray","Rockies","12","10","4.14","32","32","0","190.0","183","87","25","199","64","1.30","9.41","3.05","3.90","3.9","3.9","167.0","14916"
"Mike Kickham","Giants","0","0","3.71","0","1","0","1.0","1","0","0","1","0","1.29","7.47","2.74","3.90","0.0","0.1","999.0","11618"
"Fabio Castillo","Dodgers","0","0","3.77","0","1","0","1.0","1","0","0","1","0","1.25","9.45","3.29","3.91","0.0","0.1","999.0","2826"
"Michael Pineda","Twins","1","0","4.00","2","2","0","9.0","9","4","1","9","2","1.24","8.39","2.19","3.91","0.2","0.2","695.1","5372"
"Dillon Maples","Cubs","2","1","3.62","0","30","0","30.0","25","12","3","34","18","1.43","10.34","5.36","3.91","0.2","0.3","999.0","14672"
"Adrian Houser","Brewers","1","0","3.91","0","10","0","10.0","10","4","1","10","4","1.33","8.56","3.28","3.91","0.1","0.0","999.0","12718"
"Marcos Mateo","Padres","0","0","3.86","0","1","0","1.0","1","0","0","1","0","1.28","9.93","3.59","3.91","0.0","0.1","999.0","6869"
"Jerry Blevins","Mets","2","2","3.75","0","45","0","45.0","39","19","5","50","19","1.30","10.02","3.84","3.91","0.3","0.3","668.0","7841"
"Cam Bedrosian","Angels","3","3","3.72","0","65","25","65.0","57","27","8","69","27","1.29","9.57","3.73","3.92","0.5","0.6","331.2","13360"
"Oliver Drake","Brewers","2","2","3.89","0","40","0","40.0","36","17","5","44","18","1.34","9.82","3.95","3.92","0.3","0.3","999.0","8823"
"Joe Musgrove","Pirates","9","10","4.04","28","28","0","157.0","160","71","19","138","42","1.28","7.91","2.39","3.92","2.6","2.2","391.4","12970"
"Bud Norris","","1","0","3.90","0","10","0","10.0","9","4","1","10","4","1.29","9.24","3.24","3.92","0.1","0.0","659.2","9492"
"Seth Frankoff","Cubs","0","0","3.81","0","1","0","1.0","1","0","0","1","0","1.30","8.95","3.42","3.92","0.0","0.1","999.0","11346"
"Dan Otero","Indians","2","2","3.86","0","45","0","45.0","48","19","5","32","11","1.32","6.32","2.22","3.93","0.4","0.4","999.0","7385"
"Michael Wacha","Cardinals","11","9","3.99","29","29","0","167.0","163","74","20","156","55","1.31","8.38","2.98","3.94","2.8","2.4","237.7","14078"
"Tyler Glasnow","Pirates","5","5","4.01","15","15","0","78.0","67","35","9","91","40","1.38","10.57","4.67","3.94","1.3","1.2","374.7","14374"
"Mychal Givens","Orioles","3","2","3.88","0","55","0","55.0","48","24","7","63","21","1.26","10.25","3.49","3.94","0.5","0.6","394.8","10430"
"Joakim Soria","White Sox","3","3","3.83","0","65","5","65.0","59","28","8","67","25","1.30","9.32","3.48","3.94","0.5","0.5","389.5","6941"
"Luiz Gohara","Braves","8","8","3.83","23","23","0","130.0","116","55","15","137","55","1.32","9.52","3.83","3.94","2.2","2.3","287.7","15166"
"Tyler Duffey","Twins","2","2","3.97","0","40","0","40.0","40","18","5","36","10","1.25","8.19","2.32","3.95","0.3","0.3","670.7","13758"
"Clay Holmes","Pirates","1","1","3.91","0","15","0","15.0","15","7","1","14","7","1.46","8.48","4.38","3.95","0.1","0.1","999.0","sa598167"
"Josh Lucas","Cardinals","1","1","3.91","0","25","0","25.0","24","11","3","23","9","1.32","8.33","3.16","3.95","0.2","0.1","999.0","11686"
"Taylor Williams","Brewers","1","1","3.99","0","25","0","25.0","23","11","3","28","11","1.34","9.95","3.89","3.95","0.2","0.2","999.0","14899"
"Jose Alvarado","Rays","2","2","3.57","0","35","0","35.0","29","14","3","41","21","1.42","10.50","5.39","3.96","0.2","0.4","592.5","17780"
"Ryne Stanek","Rays","2","2","3.79","0","45","0","45.0","38","19","5","51","21","1.32","10.14","4.24","3.96","0.3","0.3","684.9","15947"
"Matt Barnes","Red Sox","2","2","3.96","0","45","0","45.0","41","20","5","47","19","1.33","9.48","3.81","3.97","0.3","0.4","660.6","12863"
"Jose Jose","Marlins","0","0","3.77","0","1","0","1.0","1","0","0","1","0","1.32","8.95","3.63","3.97","0.0","0.1","999.0","sa506778"
"Luis Castillo","Reds","9","8","3.91","24","24","0","144.0","134","62","19","143","47","1.26","8.97","2.94","3.97","2.6","2.4","105.1","15689"
"Craig Stammen","Padres","2","3","3.96","0","55","2","55.0","54","24","6","49","19","1.34","8.06","3.19","3.98","0.3","0.2","669.8","7274"
"Tom Koehler","Dodgers","2","2","3.89","0","40","0","40.0","37","17","5","41","13","1.26","9.14","2.98","3.98","0.2","0.2","723.0","6570"
"Trevor Cahill","","3","3","3.97","0","65","0","65.0","61","29","7","65","28","1.37","8.99","3.91","3.98","0.5","0.4","566.5","6249"
"Reyes Moronta","Giants","1","1","3.78","0","20","0","20.0","17","8","2","22","10","1.35","9.97","4.56","3.98","0.1","0.1","999.0","14966"
"Hunter Strickland","Giants","3","3","3.86","0","55","2","55.0","51","24","6","52","21","1.31","8.51","3.45","3.98","0.2","0.2","612.8","7836"
"Ian Thomas","Dodgers","0","0","3.77","0","1","0","1.0","1","0","0","1","0","1.28","8.85","3.28","3.99","0.0","0.1","999.0","13881"
"David Paulino","Astros","1","0","3.97","0","10","0","10.0","9","4","1","11","3","1.23","9.88","2.98","3.99","0.1","0.0","574.5","17418"
"Cory Gearrin","Giants","3","3","3.86","0","55","0","55.0","51","24","6","52","23","1.35","8.43","3.80","4.00","0.2","0.2","648.2","7947"
"Daniel Winkler","Braves","2","2","4.03","0","45","0","45.0","42","20","6","48","18","1.33","9.50","3.64","4.00","0.3","0.2","635.7","12237"
"Zach McAllister","Indians","2","2","3.99","0","35","0","35.0","32","16","5","37","13","1.28","9.45","3.29","4.00","0.2","0.3","664.6","2895"
"Andrew Kittredge","Rays","3","3","3.85","0","55","0","55.0","50","24","7","54","20","1.27","8.91","3.19","4.00","0.3","0.5","674.0","12828"
"Dario Alvarez","Cubs","1","0","3.77","0","10","0","10.0","8","4","1","12","5","1.31","10.57","4.29","4.00","0.1","0.0","999.0","14239"
"Pat Neshek","Phillies","3","3","3.99","0","65","12","65.0","60","29","10","69","17","1.18","9.50","2.33","4.01","0.5","0.4","513.6","4682"
"Ryan Sherriff","Cardinals","2","1","3.84","0","30","0","30.0","30","13","3","26","12","1.37","7.79","3.48","4.01","0.2","0.2","999.0","12249"
"Edward Paredes","Dodgers","1","1","3.73","0","15","0","15.0","13","6","2","16","6","1.28","9.83","3.78","4.01","0.1","0.1","999.0","4168"
"Steve Cishek","Cubs","3","3","3.93","0","65","2","65.0","61","28","8","63","26","1.33","8.78","3.55","4.01","0.4","0.4","524.7","6483"
"Cory Mazzoni","Cubs","1","0","3.93","0","10","0","10.0","9","4","1","10","4","1.31","9.07","3.45","4.02","0.1","0.0","999.0","12537"
"Jesse Chavez","","1","0","3.97","0","10","0","10.0","10","4","1","10","3","1.26","8.71","2.62","4.02","0.1","0.0","743.0","5448"
