"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Jordy Mercer","Pirates","127","493","440","116","22","3","11","48","53","42","79","3","3","2","",".263",".330",".404",".733",".311","","90","0.3","-5.0","","-6.1","1.4","1.1","","504.6","6547"
"Dansby Swanson","Braves","125","493","434","112","23","2","9","47","49","49","99","3","5","3","",".258",".335",".385",".719",".309","","87","0.5","-0.9","","-7.5","5.4","1.4","","385.1","18314"
"J.P. Crawford","Phillies","133","534","460","108","19","4","12","54","53","65","101","2","7","4","",".236",".330",".371",".701",".308","","87","-0.3","-5.4","","-9.3","1.2","0.9","","378.7","15491"
"Pat Valaika","Rockies","23","88","82","21","5","0","3","10","11","4","21","0","1","1","",".259",".297",".428",".725",".308","","72","0.1","-0.2","","-3.1","0.6","0.0","","564.9","14885"
"Greg Garcia","Cardinals","58","222","191","48","9","1","2","21","20","24","45","3","3","1","",".253",".344",".349",".693",".307","","88","0.3","-0.6","","-3.1","-2.3","0.2","","711.5","10951"
"Ehire Adrianza","Twins","26","98","88","23","5","1","2","11","10","7","17","1","3","1","",".263",".324",".381",".705",".306","","87","0.1","-0.1","","-1.6","1.0","0.3","","673.5","8418"
"Orlando Arcia","Brewers","139","556","508","133","24","3","14","58","61","37","97","3","14","8","",".262",".313",".406",".719",".305","","83","-0.2","-2.1","","-12.6","4.8","1.0","","189.1","13185"
"Johan Camargo","Braves","104","402","374","102","22","2","7","37","43","20","72","2","2","1","",".272",".311",".400",".711",".304","","84","0.1","2.0","","-7.9","3.1","0.8","","442.8","14950"
"Alex Blandino","Reds","6","26","23","5","1","0","1","3","3","3","6","0","0","0","",".237",".319",".376",".695",".304","","83","0.0","0.0","","-0.6","0.2","0.0","","999.0","sa602521"
"Ruben Tejada","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".326",".366",".692",".303","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","5519"
"Chris Owings","Diamondbacks","79","324","301","79","18","2","7","34","36","17","70","2","9","4","",".261",".303",".407",".711",".303","","78","0.4","-0.9","","-8.7","-1.5","0.0","","229.3","10030"
"Jose Iglesias","Tigers","102","391","360","98","21","1","5","41","38","21","46","4","8","4","",".273",".318",".381",".699",".303","","85","0.0","2.6","","-7.4","7.7","1.4","","520.5","10231"
"Gleyber Torres","Yankees","83","320","286","71","13","1","7","35","34","27","73","3","9","6","",".247",".314",".381",".695",".302","","85","-0.7","0.0","","-6.5","1.4","0.6","","280.8","sa830372"
"Daniel Robertson","Rays","83","326","285","69","12","2","6","33","31","31","75","5","3","2","",".240",".323",".362",".685",".301","","88","-0.2","2.3","","-5.1","0.2","0.6","","692.7","14145"
"Jose Peraza","Reds","131","560","520","145","21","5","7","59","50","26","73","6","24","11","",".279",".317",".379",".697",".301","","81","0.9","-1.5","","-12.6","5.0","1.0","","201.9","13593"
