"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Cody Bellinger","Dodgers","150","640","544","156","30","3","42","100","116","86","117","4","12","5","",".287",".385",".583",".969",".392","","147","1.2","0.9","","40.7","0.0","6.0","15998"
"Freddie Freeman","Braves","150","662","568","166","36","2","33","98","103","81","126","7","6","3","",".293",".385",".541",".926",".382","","135","0.5","3.4","","30.9","-9.1","4.2","5361"
"Anthony Rizzo","Cubs","150","660","556","158","32","3","32","97","99","77","93","20","6","3","",".284",".388",".522",".910",".380","","135","-2.3","3.9","","28.3","-8.6","4.0","3473"
"Matt Olson","Athletics","150","642","558","142","29","1","38","91","103","68","158","10","1","1","",".255",".344",".515",".858",".355","","125","-0.7","5.8","","20.2","-6.7","3.5","14344"
"Paul Goldschmidt","Cardinals","150","663","566","154","29","2","31","91","91","84","158","6","5","2","",".273",".369",".494",".863",".362","","126","1.3","1.8","","24.1","-10.7","3.4","9218"
"Peter Alonso","Mets","150","663","573","144","27","2","44","98","105","68","167","14","2","1","",".252",".343",".533",".877",".361","","128","-0.5","1.3","","23.9","-11.2","3.3","19251"
"Rhys Hoskins","Phillies","150","656","543","131","27","3","36","93","96","99","153","9","4","2","",".242",".365",".499",".864",".362","","122","0.3","2.2","","19.7","-10.3","3.0","16472"
"Carlos Santana","Indians","150","654","544","141","30","1","29","92","93","99","103","5","3","1","",".260",".375",".482",".858",".359","","121","-0.4","0.0","","17.2","-13.1","2.6","2396"
"Max Muncy","Dodgers","136","582","486","117","21","1","29","81","79","82","153","6","4","2","",".241",".355",".467",".821",".347","","118","1.2","2.3","","14.7","-7.1","2.6","13301"
"Matt Carpenter","Cardinals","125","554","462","109","27","2","22","74","61","78","139","7","5","2","",".237",".352",".441",".793",".337","","110","-0.2","-5.9","","7.3","-4.1","2.1","8090"
"Joey Votto","Reds","150","670","557","150","30","1","23","91","76","97","123","7","4","1","",".270",".382",".451",".833",".356","","117","-4.0","0.0","","10.9","-12.5","2.0","4314"
"Brandon Belt","Giants","126","551","467","118","28","3","18","68","63","74","121","4","4","2","",".253",".358",".440",".798",".340","","112","-0.1","3.8","","8.9","-6.7","2.0","10264"
"Edwin Encarnacion","White Sox","134","578","495","122","20","1","35","81","92","71","133","7","2","1","",".246",".346",".499",".845",".353","","123","-2.7","-0.3","","14.3","-15.0","1.9","2151"
"Josh Bell","Pirates","150","641","549","151","32","3","29","83","94","82","121","4","2","1","",".274",".369",".503",".872",".362","","124","-2.2","-7.2","","18.5","-19.7","1.9","13145"
"Trey Mancini","Orioles","150","657","588","160","31","2","30","86","90","54","148","7","1","1","",".272",".338",".486",".824",".345","","113","-0.4","-3.6","","10.7","-14.5","1.9","15149"
"Jose Abreu","White Sox","149","658","598","165","35","1","32","87","101","42","139","12","3","1","",".275",".333",".497",".830",".344","","117","-2.2","-3.1","","11.9","-16.5","1.8","15676"
"Yuli Gurriel","Astros","149","620","574","166","37","2","24","81","93","33","75","6","5","2","",".289",".332",".485",".816",".341","","116","-1.7","-3.7","","10.9","-15.8","1.7","19198"
"C.J. Cron","Tigers","128","537","484","127","26","1","28","69","80","36","122","11","2","1","",".261",".324",".495",".818",".340","","111","-1.4","1.4","","6.0","-9.6","1.5","12546"
"Ji-Man Choi","Rays","107","457","391","97","20","2","18","57","58","57","113","5","3","1","",".247",".347",".442",".788",".335","","112","0.0","-0.3","","7.1","-9.5","1.3","5452"
"Ryan McMahon","Rockies","131","532","474","127","27","2","20","64","72","48","142","3","5","2","",".268",".337",".462",".799",".336","","92","0.3","-1.2","","-5.4","-0.5","1.1","15112"
"Michael Chavis","Red Sox","115","468","421","105","20","1","21","58","65","35","132","5","3","1","",".249",".312",".452",".764",".320","","94","-0.3","0.5","","-3.8","-2.3","1.0","17321"
"Justin Smoak","Brewers","110","472","399","95","19","1","24","63","68","65","111","4","1","0","",".239",".349",".472",".821",".346","","112","-2.3","-0.5","","4.9","-10.1","1.0","9054"
"Victor Caratini","Cubs","60","244","216","57","12","1","7","27","29","21","50","3","1","0","",".263",".334",".420",".754",".322","","97","-0.1","-0.3","","-1.0","2.5","0.9","14968"
"Wilmer Flores","","82","341","311","87","19","1","12","39","44","21","41","4","1","0","",".280",".331",".462",".793",".334","","109","-1.1","-2.0","","2.7","-4.7","0.9","5827"
"Marwin Gonzalez","Twins","75","307","276","74","16","1","10","38","40","25","66","3","1","1","",".269",".334",".444",".777",".328","","103","-0.3","-0.7","","0.9","-3.3","0.8","5497"
"Daniel Vogelbach","Mariners","86","359","301","70","12","0","16","43","45","53","89","2","1","0","",".232",".347",".434",".782",".334","","112","-0.3","0.1","","5.1","-9.8","0.8","14130"
"Eric Hosmer","Padres","146","635","572","150","27","2","24","75","81","53","141","3","3","2","",".263",".327",".440",".767",".323","","100","-1.3","0.8","","-1.3","-11.3","0.8","3516"
"Luke Voit","Yankees","91","388","335","84","15","1","16","51","51","42","102","5","1","0","",".250",".341",".446",".787",".334","","108","-0.5","-1.9","","3.5","-9.5","0.7","14811"
"Christian Walker","Diamondbacks","125","519","459","114","24","2","22","62","71","48","139","6","4","2","",".248",".324",".453",".777",".325","","99","0.4","1.6","","-0.6","-8.8","0.7","13419"
"Mitch Moreland","Red Sox","107","449","398","100","23","2","20","58","65","43","104","3","2","1","",".251",".326",".468",".794",".333","","103","-1.5","0.6","","0.0","-8.6","0.7","3086"
"Miguel Cabrera","Tigers","138","603","536","149","28","1","20","72","77","58","124","4","1","0","",".277",".350",".444",".794",".336","","108","-4.6","0.0","","1.7","-15.9","0.7","1744"
"Nathaniel Lowe","Rays","55","227","199","52","10","0","9","28","30","24","53","2","1","0","",".263",".345",".459",".804",".340","","115","0.3","0.0","","4.7","-5.9","0.7","19566"
"Jesus Aguilar","Marlins","105","437","383","93","18","1","19","50","57","44","107","4","1","0","",".242",".325",".441",".767",".324","","103","-0.9","0.6","","0.7","-8.2","0.6","11342"
"Austin Nola","Mariners","115","479","429","104","21","1","10","47","48","38","104","6","3","1","",".242",".310",".368",".678",".292","","84","0.3","0.4","","-9.7","-2.2","0.5","15941"
"Jose Martinez","Rays","81","340","304","82","14","1","10","40","41","31","73","2","2","1","",".270",".338",".426",".764",".326","","106","-0.2","-0.2","","2.4","-9.3","0.5","7996"
"Jake Bauers","Indians","68","280","243","59","13","1","9","33","34","32","69","2","6","3","",".242",".333",".417",".750",".322","","95","0.6","0.0","","-1.0","-4.0","0.5","15194"
"Rowdy Tellez","Blue Jays","58","243","219","55","12","0","11","30","34","19","60","2","2","1","",".251",".316",".462",".778",".325","","102","0.0","0.4","","0.6","-4.8","0.4","15679"
"Daniel Murphy","Rockies","130","549","501","144","34","2","20","70","77","39","84","3","2","1","",".288",".341",".485",".826",".345","","98","-0.8","-0.9","","-2.6","-11.7","0.3","4316"
"Mike Ford","Yankees","26","105","91","23","4","0","5","14","15","11","20","1","0","0","",".255",".340",".485",".825",".344","","115","0.0","-0.2","","2.1","-2.4","0.3","15585"
