"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Roberto Perez","Indians","59","223","193","44","10","0","6","26","25","25","61","1","2","1","",".226",".317",".383",".700",".306","","86","-0.5","2.6","","-4.3","7.5","1.1","","578.7","2900"
"Ian Rice","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".310",".394",".704",".306","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658968"
"Danny Jansen","Blue Jays","33","133","120","30","6","1","3","15","14","10","19","2","1","1","",".254",".317",".390",".707",".305","","87","0.0","0.0","","-2.1","2.8","0.5","","633.7","sa738162"
"Tom Murphy","Rockies","33","131","120","28","6","1","5","14","17","8","41","1","1","1","",".238",".290",".429",".719",".304","","69","0.0","-0.3","","-5.2","2.5","0.1","","443.5","13499"
"Tucker Barnhart","Reds","95","368","324","83","18","1","7","34","37","36","62","3","2","1","",".255",".332",".381",".713",".304","","83","-1.6","5.6","","-9.6","13.5","1.6","","328.3","10200"
"Matt Wieters","Nationals","81","315","284","70","14","0","9","32","37","25","64","2","1","1","",".246",".308",".399",".707",".303","","82","-0.9","1.1","","-8.0","7.9","1.0","","328.3","4298"
"Miguel Montero","Nationals","35","141","123","28","5","0","4","15","16","15","33","1","1","1","",".231",".322",".376",".698",".303","","82","-0.7","-1.8","","-3.9","1.1","0.2","","673.8","3364"
"Jan Vazquez","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".318",".378",".695",".303","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa501536"
"Christian Vazquez","Red Sox","92","350","319","84","17","2","6","39","37","23","67","4","6","3","",".264",".318",".381",".699",".303","","83","-0.9","2.0","","-8.3","9.7","1.3","","289.6","9774"
"Willians Astudillo","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".280",".309",".396",".706",".303","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","sa504866"
"Curt Casali","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".319",".373",".692",".303","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","12510"
"Omar Narvaez","White Sox","33","129","113","29","5","0","2","12","11","13","20","1","0","0","",".256",".334",".350",".684",".302","","87","-0.1","-0.9","","-2.2","1.9","0.4","","655.3","13338"
"Bruce Maxwell","Athletics","74","287","255","63","13","1","5","29","28","27","62","1","1","1","",".248",".320",".370",".689",".302","","88","-0.7","0.7","","-5.1","6.9","1.2","","453.7","13866"
"James McCann","Tigers","105","410","375","93","17","2","12","42","45","26","99","5","2","1","",".248",".302",".397",".699",".301","","83","-1.5","5.3","","-9.9","14.0","1.8","","302.9","12859"
"Carlos Ruiz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".322",".362",".684",".301","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","2579"
