"","Name","Team","position","playerid","IP","ERA","WHIP","SV","W","K","marginal.total.points","dollar.value","status"
"268","Robert Gsellman","Mets","pitcher","13696",60,3.92,1.32,2,3,52,0.24,0.65,""
"269","Reyes Moronta","Giants","pitcher","14966",50,3.43,1.29,0,2,61,0.24,0.65,""
"270","Gio Gonzalez",NA,"pitcher","7448",92,4.39,1.42,0,5,79,0.23,0.63,""
"271","Jose Castillo","Padres","pitcher","17169",50,3.51,1.27,0,2,60,0.22,0.61,""
"272","Francisco Liriano",NA,"pitcher","3201",94,4.53,1.48,0,6,85,0.21,0.57,""
"273","Dakota Hudson","Cardinals","pitcher","19206",69,4.01,1.41,2,4,56,0.2,0.55,"drafted"
"274","Ryne Stanek","Rays","pitcher","15947",40,3.28,1.2,0,2,52,0.19,0.53,""
"275","Ryan Borucki","Blue Jays","pitcher","16350",142,4.88,1.45,0,8,103,0.19,0.53,""
"276","Tyler Olson","Indians","pitcher","14741",50,3.85,1.3,1,3,52,0.18,0.5,""
"277","Tommy Kahnle","Yankees","pitcher","11384",55,3.95,1.33,0,3,63,0.18,0.49,""
"278","Derek Holland",NA,"pitcher","4141",94,4.58,1.41,0,5,83,0.18,0.49,""
"279","Ian Kennedy","Royals","pitcher","6986",117,5.02,1.39,0,6,98,0.18,0.49,""
"280","Paul Fry","Orioles","pitcher","15832",65,4.06,1.42,2,3,65,0.11,0.3,""
"281","Ruben Alaniz","Mariners","pitcher","sa550438",60,4.11,1.37,2,3,58,0.09,0.26,""
"282","Eric Skoglund","Royals","pitcher","16155",113,4.75,1.39,0,6,82,0.09,0.25,""
"283","Colin Poche","Rays","pitcher","sa657989",40,3.38,1.22,0,2,52,0.09,0.24,""
"284","John Gant","Cardinals","pitcher","13684",68,4.18,1.37,0,4,62,0.07,0.19,""
"285","Kyle Barraclough","Nationals","pitcher","13713",55,4.03,1.42,2,3,59,0.04,0.1,""
"286","Adam Cimber","Indians","pitcher","15288",60,4.23,1.35,4,3,45,0.03,0.08,""
"287","Tyler Mahle","Reds","pitcher","16358",85,4.75,1.4,0,5,77,0,0.01,""
"288","Jared Hughes","Reds","pitcher","9325",65,4.13,1.42,4,3,52,0,-0.01,""
"289","Cionel Perez","Astros","pitcher","19614",50,3.82,1.32,0,3,53,-0.03,-0.08,""
"290","Sam Dyson","Giants","pitcher","11710",60,3.66,1.36,1,3,49,-0.03,-0.09,""
"291","Mitch Keller","Pirates","pitcher","sa828700",92,4.58,1.43,0,5,79,-0.05,-0.14,""
"292","Drew Gagnon","Mets","pitcher","12545",40,3.52,1.21,1,2,43,-0.07,-0.19,""
"293","Jharel Cotton","Athletics","pitcher","13654",73,4.57,1.34,0,4,65,-0.08,-0.21,""
"294","Yusmeiro Petit","Athletics","pitcher","4020",60,4.39,1.27,1,3,52,-0.1,-0.28,""
"295","Aaron Sanchez","Blue Jays","pitcher","11490",150,4.83,1.52,0,8,118,-0.11,-0.3,""
"296","Dylan Floro","Dodgers","pitcher","13394",50,3.76,1.3,1,3,41,-0.14,-0.39,""
"297","Ray Black","Giants","pitcher","14244",30,3.02,1.19,0,2,42,-0.17,-0.46,""
"298","Jimmie Sherfy","Diamondbacks","pitcher","15118",50,3.86,1.29,0,2,57,-0.17,-0.47,""
"299","Luke Gregerson","Cardinals","pitcher","4090",50,3.77,1.3,0,3,46,-0.17,-0.47,""
"300","Taylor Cole","Angels","pitcher","11964",59,3.99,1.34,0,3,55,-0.18,-0.49,""
"301","Junior Guerra","Brewers","pitcher","5702",50,3.88,1.26,0,2,54,-0.18,-0.5,""
"302","J.B. Wendelken","Athletics","pitcher","14506",50,4.01,1.33,0,3,53,-0.18,-0.5,""
"303","Steve Cishek","Cubs","pitcher","6483",50,3.91,1.33,0,3,51,-0.19,-0.52,""
"304","Zach Duke",NA,"pitcher","3840",50,3.82,1.39,0,4,45,-0.19,-0.52,""
"305","Buck Farmer","Tigers","pitcher","14814",60,4.42,1.37,2,3,56,-0.21,-0.57,""
"306","Matt Albers","Brewers","pitcher","4300",60,4.23,1.35,1,3,55,-0.21,-0.58,""
"307","Trevor Hildenberger","Twins","pitcher","17002",50,4.04,1.31,1,3,45,-0.21,-0.58,""
"308","Gabriel Moya","Twins","pitcher","16348",50,4.11,1.3,0,3,50,-0.24,-0.67,""
"309","Corbin Burnes","Brewers","pitcher","19361",74,4.52,1.4,0,4,67,-0.28,-0.77,""
"310","Josh Tomlin",NA,"pitcher","9388",90,4.97,1.32,0,5,64,-0.28,-0.78,""
"311","Carson Smith",NA,"pitcher","13172",40,3.55,1.31,0,3,40,-0.3,-0.83,""
"312","Blake Parker",NA,"pitcher","5224",50,3.97,1.26,0,2,52,-0.31,-0.84,""
"313","Roenis Elias","Mariners","pitcher","12673",59,4.29,1.35,1,3,53,-0.31,-0.87,""
"314","Cody Reed","Reds","pitcher","15232",66,4.37,1.43,0,4,61,-0.37,-1.03,""
"315","Tim Mayza","Blue Jays","pitcher","15042",50,4.01,1.34,1,2,53,-0.38,-1.04,""
"316","Andrew Triggs","Athletics","pitcher","13533",66,4.49,1.36,0,4,54,-0.39,-1.09,""
"317","Daniel Norris","Tigers","pitcher","13475",113,4.95,1.47,0,6,94,-0.4,-1.1,""
"318","Tanner Scott","Orioles","pitcher","17586",45,3.61,1.41,0,2,57,-0.4,-1.11,""
"319","Jonny Venters","Braves","pitcher","7175",50,3.8,1.43,1,3,47,-0.41,-1.12,""
"320","Hector Velazquez","Red Sox","pitcher","19341",69,4.4,1.35,0,4,51,-0.41,-1.13,""
"321","Ervin Santana",NA,"pitcher","3200",142,5.11,1.42,0,7,99,-0.41,-1.14,""
"322","Steven Wright","Red Sox","pitcher","8185",69,4.46,1.38,0,4,56,-0.43,-1.19,""
"323","Addison Reed","Twins","pitcher","10586",65,4.9,1.37,4,3,51,-0.44,-1.21,""
"324","Tony Cingrani","Dodgers","pitcher","12555",40,3.61,1.27,0,2,44,-0.44,-1.21,""
"325","Matt Wisler","Reds","pitcher","12804",50,4.15,1.22,0,2,47,-0.45,-1.24,""
"326","Yoan Lopez","Diamondbacks","pitcher","17181",45,3.9,1.31,0,2,51,-0.46,-1.27,""
"327","Tyler Kinley","Marlins","pitcher","18297",50,3.81,1.37,0,2,55,-0.48,-1.33,""
"328","Thomas Pannone","Blue Jays","pitcher","17281",111,5.22,1.41,0,6,87,-0.5,-1.39,""
"329","Zac Rosscup","Mariners","pitcher","9419",40,3.9,1.27,0,2,46,-0.51,-1.41,""
"330","Dan Otero","Indians","pitcher","7385",50,3.8,1.3,0,3,36,-0.53,-1.46,""
"331","Luis Perdomo","Padres","pitcher","14682",75,4.32,1.43,0,4,59,-0.54,-1.48,""
"332","Kyle Crick","Pirates","pitcher","13182",50,4.05,1.37,1,2,52,-0.54,-1.49,""
"333","Kevin McCarthy","Royals","pitcher","15240",55,4.29,1.44,6,2,37,-0.55,-1.51,""
"334","Jesse Biddle","Braves","pitcher","11437",40,3.54,1.32,0,2,43,-0.58,-1.58,""
"335","Nathan Karns",NA,"pitcher","12638",46,4.31,1.33,0,3,46,-0.58,-1.59,""
"336","Matt Grace","Nationals","pitcher","11449",50,3.86,1.36,0,3,41,-0.6,-1.66,""
"337","Martin Perez",NA,"pitcher","6902",91,4.46,1.45,0,5,62,-0.61,-1.67,""
"338","Jason Hammel",NA,"pitcher","4538",92,5.03,1.39,0,5,70,-0.62,-1.71,""
"339","Jose De Leon","Rays","pitcher","15463",46,4.39,1.32,0,3,45,-0.63,-1.72,""
"340","Bobby Wahl","Mets","pitcher","14832",30,3.46,1.27,0,2,38,-0.64,-1.75,""
"341","Josh Fields","Dodgers","pitcher","5070",40,3.96,1.23,0,2,40,-0.64,-1.76,""
"342","Robert Stock","Padres","pitcher","6576",45,3.76,1.34,0,2,46,-0.65,-1.78,""
"343","Doug Fister",NA,"pitcher","9425",91,4.73,1.43,0,5,66,-0.65,-1.79,""
"344","Emilio Pagan","Rays","pitcher","14771",40,4.12,1.23,0,2,42,-0.65,-1.79,""
"345","Hansel Robles","Angels","pitcher","11801",50,4.32,1.35,1,2,51,-0.67,-1.85,""
"346","Liam Hendriks","Athletics","pitcher","3548",30,3.55,1.19,0,2,33,-0.68,-1.86,""
"347","Dan Winkler","Braves","pitcher","12237",40,3.9,1.28,0,2,42,-0.68,-1.87,""
"348","Richard Bleier","Orioles","pitcher","7803",65,4.32,1.43,4,3,38,-0.68,-1.88,""
"349","Jarlin Garcia","Marlins","pitcher","18282",60,4.34,1.38,1,3,47,-0.69,-1.9,""
"350","Robert Stephenson","Reds","pitcher","13594",66,4.82,1.48,0,4,69,-0.7,-1.92,""
"351","Xavier Cedeno",NA,"pitcher","36",40,3.83,1.36,0,3,36,-0.72,-1.97,""
"352","Michael Feliz","Pirates","pitcher","11903",40,3.95,1.31,0,2,44,-0.72,-1.98,""
"353","Austin Pruitt","Rays","pitcher","15290",40,3.78,1.23,0,2,35,-0.72,-1.99,""
"354","Bryan Shaw","Rockies","pitcher","8110",50,4.31,1.42,1,3,46,-0.72,-2,""
"355","Brad Wieck","Padres","pitcher","16390",30,3.49,1.28,0,2,36,-0.74,-2.03,""
"356","Juan Nicasio","Phillies","pitcher","7731",30,3.72,1.21,0,2,34,-0.75,-2.05,""
"357","Jon Edwards","Indians","pitcher","1483",40,4.03,1.32,0,2,45,-0.75,-2.07,""
"358","Juan Minaya","White Sox","pitcher","10341",50,4.34,1.38,1,2,52,-0.75,-2.08,""
"359","Ryan Buchter","Athletics","pitcher","9456",50,4.23,1.33,0,2,50,-0.78,-2.14,""
"360","Connor Sadzeck","Rangers","pitcher","13483",50,4.18,1.4,1,2,50,-0.79,-2.18,""
"361","Luis Cessa","Yankees","pitcher","13345",53,4.55,1.35,0,3,48,-0.8,-2.19,""
"362","Taylor Williams","Brewers","pitcher","14899",45,4.11,1.35,0,2,48,-0.81,-2.22,""
"363","Enyel De Los Santos","Phillies","pitcher","18403",74,4.87,1.42,0,4,64,-0.81,-2.22,""
"364","Nick Wittgren","Marlins","pitcher","15594",50,4.06,1.32,0,2,45,-0.81,-2.23,""
"365","Bobby Poyner","Red Sox","pitcher","17987",50,4.52,1.32,0,3,43,-0.81,-2.23,""
"366","Marco Estrada",NA,"pitcher","1118",90,5.18,1.4,0,5,70,-0.81,-2.23,""
"367","Phil Maton","Padres","pitcher","18064",40,4.01,1.31,0,2,42,-0.82,-2.25,""
"368","Daniel Zamora","Mets","pitcher","17811",40,3.8,1.35,0,2,42,-0.82,-2.26,""
"369","Daniel Stumpf","Tigers","pitcher","13780",50,4.34,1.35,1,2,47,-0.82,-2.27,""
"370","Julian Merryweather","Blue Jays","pitcher","sa829363",65,4.8,1.38,0,4,51,-0.83,-2.27,""
"371","James Pazos","Phillies","pitcher","13323",40,3.89,1.34,0,2,42,-0.84,-2.31,""
"372","Sergio Romo",NA,"pitcher","9817",50,4.15,1.26,0,1,50,-0.84,-2.32,""
"373","Jordan Lyles","Pirates","pitcher","7593",54,4.33,1.38,0,3,46,-0.84,-2.32,""
"374","Tim Peterson","Mets","pitcher","13946",40,4.15,1.27,0,2,40,-0.84,-2.32,""
"375","Jeffrey Springs","Rangers","pitcher","17677",40,4.03,1.33,0,2,43,-0.85,-2.33,""
"376","Tyler Clippard",NA,"pitcher","5640",50,4.29,1.29,0,1,55,-0.86,-2.37,""
"377","Sammy Solis","Nationals","pitcher","11457",40,3.81,1.35,0,2,41,-0.86,-2.37,""
"378","Ian Hamilton","White Sox","pitcher","19261",50,4.2,1.36,0,2,50,-0.86,-2.37,""
"379","Heath Fillmyer","Royals","pitcher","17466",97,4.79,1.43,1,4,70,-0.87,-2.38,""
"380","Sonny Gray","Yankees","pitcher","12768",34,3.75,1.27,0,2,34,-0.87,-2.39,""
"381","Luis Garcia","Angels","pitcher","6984",40,3.73,1.33,0,2,38,-0.87,-2.39,""
"382","Jeremy Hellickson",NA,"pitcher","4371",94,5.06,1.39,0,5,65,-0.87,-2.4,""
"383","Tony Sipp",NA,"pitcher","8280",50,3.98,1.31,0,1,51,-0.87,-2.4,""
"384","Dane Dunning","White Sox","pitcher","sa738926",55,4.47,1.39,0,3,49,-0.88,-2.43,""
"385","Jose Alvarez","Phillies","pitcher","5358",35,3.81,1.29,0,2,35,-0.91,-2.49,""
"386","Michael Lorenzen","Reds","pitcher","14843",101,4.77,1.5,0,5,80,-0.91,-2.5,""
"387","Joe Smith","Astros","pitcher","3281",40,3.92,1.3,0,2,37,-0.92,-2.52,""
"388","Dominic Leone","Cardinals","pitcher","13763",40,3.96,1.32,0,2,39,-0.92,-2.54,""
"389","Max Fried","Braves","pitcher","13743",34,3.56,1.36,0,2,36,-0.93,-2.56,""
"390","Framber Valdez","Astros","pitcher","17295",45,4.07,1.44,0,3,41,-0.95,-2.61,""
"391","Oliver Drake","Blue Jays","pitcher","8823",40,4.05,1.33,0,2,40,-0.96,-2.64,""
"392","Marcus Walden","Red Sox","pitcher","8004",50,4.24,1.39,0,3,40,-0.98,-2.69,""
"393","Ben Heller","Yankees","pitcher","15100",40,4.23,1.35,0,2,43,-1,-2.76,""
"394","JT Chargois","Dodgers","pitcher","13767",30,3.59,1.31,0,2,31,-1.01,-2.77,""
"395","Jorge Lopez","Royals","pitcher","14527",83,4.64,1.46,0,4,63,-1.02,-2.82,""
"396","Alex Claudio","Brewers","pitcher","12890",45,3.64,1.34,0,2,33,-1.03,-2.82,""
"397","Jake McGee","Rockies","pitcher","7550",50,4.43,1.35,0,2,48,-1.04,-2.86,""
"398","Bartolo Colon",NA,"pitcher","375",91,5.02,1.38,0,5,55,-1.04,-2.87,""
"399","Brad Brach",NA,"pitcher","6627",50,4.04,1.34,0,1,50,-1.05,-2.89,""
"400","Riley Ferrell","Marlins","pitcher","sa874967",40,3.9,1.39,0,2,40,-1.05,-2.89,""
"401","Adam Plutko","Indians","pitcher","15846",40,4.47,1.25,0,2,37,-1.05,-2.89,""
"402","Pablo Lopez","Marlins","pitcher","17085",46,4.09,1.3,0,2,36,-1.05,-2.9,""
"403","Chasen Shreve","Cardinals","pitcher","10855",30,3.8,1.33,0,2,33,-1.06,-2.91,""
"404","Nick Tropeano","Angels","pitcher","12385",55,4.68,1.38,0,3,47,-1.06,-2.91,""
"405","Dylan Covey","White Sox","pitcher","14825",122,4.91,1.52,0,6,92,-1.06,-2.92,""
"406","Ben Taylor","Indians","pitcher","18114",30,4.02,1.26,0,2,31,-1.06,-2.93,""
"407","Blake Wood",NA,"pitcher","1345",50,3.94,1.37,0,1,50,-1.09,-3,""
"408","Austin Voth","Nationals","pitcher","15047",39,4.1,1.32,0,2,36,-1.09,-3,""
"409","Edinson Volquez","Rangers","pitcher","3990",128,5.12,1.53,0,7,98,-1.09,-3.01,""
"410","Adam Kolarek","Rays","pitcher","10843",40,3.69,1.37,0,2,34,-1.1,-3.02,""
"411","Noe Ramirez","Angels","pitcher","12800",30,4,1.28,0,2,31,-1.1,-3.02,""
"412","John Axford",NA,"pitcher","9059",50,3.91,1.38,0,1,50,-1.1,-3.04,""
"413","Felix Pena","Angels","pitcher","13403",45,4.64,1.38,0,3,40,-1.11,-3.07,""
"414","Matthew Festa","Mariners","pitcher","19330",40,4.22,1.32,0,2,37,-1.12,-3.08,""
"415","Koda Glover","Nationals","pitcher","17695",40,4.08,1.36,0,2,38,-1.13,-3.1,""
"416","Fernando Rodney","Athletics","pitcher","494",40,4.05,1.38,0,2,39,-1.13,-3.12,""
"417","Shawn Kelley",NA,"pitcher","7773",50,4.4,1.3,0,1,50,-1.13,-3.12,""
"418","Hector Santiago",NA,"pitcher","4026",94,5.18,1.5,0,5,82,-1.14,-3.14,""
"419","Aaron Bummer","White Sox","pitcher","16258",40,3.85,1.41,0,2,38,-1.15,-3.16,""
"420","Steven Brault","Pirates","pitcher","15291",40,3.98,1.4,0,2,39,-1.15,-3.17,""
"421","Brad Boxberger",NA,"pitcher","10133",50,4.23,1.39,0,1,55,-1.17,-3.21,""
"422","Yohander Mendez","Rangers","pitcher","14391",139,5.23,1.51,0,7,106,-1.17,-3.22,""
"423","Nick Goody","Indians","pitcher","13685",30,4.23,1.29,0,2,32,-1.17,-3.22,""
"424","Giovanny Gallegos","Cardinals","pitcher","14986",20,3.56,1.2,0,2,22,-1.18,-3.24,""
"425","Joe Biagini","Blue Jays","pitcher","13194",50,4.34,1.35,0,2,42,-1.19,-3.27,""
"426","Austin Adams","Nationals","pitcher","13801",20,3.49,1.32,0,2,26,-1.19,-3.27,""
"427","A.J. Cole","Yankees","pitcher","11467",40,4.52,1.33,0,2,40,-1.19,-3.29,""
"428","Sam Freeman","Braves","pitcher","6832",30,3.69,1.4,0,2,32,-1.2,-3.29,""
"429","Greg Holland",NA,"pitcher","7196",55,4.39,1.45,0,2,54,-1.24,-3.41,""
"430","Matt Hall","Tigers","pitcher","18076",76,4.81,1.5,0,4,63,-1.25,-3.43,""
"431","Jacob Nix","Padres","pitcher","17775",72,4.89,1.41,0,4,49,-1.25,-3.43,""
"432","Adam Warren",NA,"pitcher","9029",50,4.15,1.34,0,1,46,-1.25,-3.45,""
"433","Drew Smith","Mets","pitcher","17755",40,4.29,1.36,0,2,37,-1.26,-3.48,""
"434","Cole Sulser","Rays","pitcher","sa738350",20,3.67,1.25,0,2,22,-1.27,-3.51,""
"435","Keynan Middleton","Angels","pitcher","15264",25,3.94,1.3,0,2,26,-1.28,-3.53,""
"436","Domingo German","Yankees","pitcher","17149",38,4.57,1.34,0,2,38,-1.29,-3.55,""
"437","Williams Jerez","Angels","pitcher","14338",30,3.95,1.37,0,2,30,-1.3,-3.58,""
"438","Jake Barrett","Diamondbacks","pitcher","13322",35,4.21,1.41,0,2,37,-1.3,-3.58,""
"439","Bryan Mitchell","Padres","pitcher","11479",100,4.78,1.52,0,5,72,-1.31,-3.6,""
"440","Edwin Jackson",NA,"pitcher","1841",91,5.23,1.49,0,5,74,-1.32,-3.63,""
"441","Lewis Thorpe","Twins","pitcher","sa739599",29,4.27,1.31,0,2,29,-1.32,-3.64,""
"442","Dovydas Neverauskas","Pirates","pitcher","11604",35,4.15,1.42,0,2,36,-1.33,-3.67,""
"443","Ryan Helsley","Cardinals","pitcher","sa874172",20,3.74,1.28,0,2,22,-1.33,-3.67,""
"444","Tyler Thornburg","Red Sox","pitcher","10688",50,4.8,1.4,1,2,45,-1.35,-3.72,""
"445","Nick Vincent",NA,"pitcher","7555",50,4.43,1.3,0,1,44,-1.36,-3.74,""
"446","Daniel Hudson",NA,"pitcher","7146",50,4.32,1.38,0,1,49,-1.39,-3.84,""
"447","Chris Rusin","Rockies","pitcher","9895",40,4.15,1.4,0,2,34,-1.41,-3.88,""
"448","Caleb Frare","White Sox","pitcher","14353",45,4.42,1.5,0,2,49,-1.41,-3.88,""
"449","Brock Stewart","Dodgers","pitcher","16727",29,4.31,1.3,0,2,26,-1.42,-3.91,""
"450","Danny Barnes","Blue Jays","pitcher","11388",50,4.83,1.37,0,2,46,-1.43,-3.93,""
"451","Stephen Tarpley","Yankees","pitcher","15859",40,4.18,1.44,0,2,37,-1.43,-3.94,""
"452","Sandy Alcantara","Marlins","pitcher","18684",65,4.61,1.48,0,3,52,-1.44,-3.96,""
"453","Adrian Houser","Brewers","pitcher","12718",49,4.38,1.4,0,2,40,-1.44,-3.97,""
"454","Jerry Blevins",NA,"pitcher","7841",50,4.4,1.39,0,1,50,-1.44,-3.98,""
"455","Travis Bergen","Giants","pitcher","sa856186",30,3.76,1.31,0,1,30,-1.46,-4.02,""
"456","Cody Anderson","Indians","pitcher","12799",29,4.29,1.31,0,2,25,-1.47,-4.04,""
"457","Joe Palumbo","Rangers","pitcher","sa738453",34,4.31,1.41,0,2,33,-1.47,-4.04,""
"458","Jake Petricka",NA,"pitcher","10534",25,3.85,1.36,0,2,22,-1.49,-4.11,""
"459","Fernando Romero","Twins","pitcher","15885",45,4.74,1.43,0,3,35,-1.5,-4.12,""
"460","Clay Holmes","Pirates","pitcher","13649",39,4.07,1.48,0,2,36,-1.5,-4.14,""
"461","Chih-Wei Hu","Indians","pitcher","16419",39,4.62,1.33,0,2,32,-1.51,-4.15,""
"462","Brandon Kintzler","Cubs","pitcher","9939",40,4.15,1.39,0,2,30,-1.52,-4.18,""
"463","James Shields",NA,"pitcher","7059",114,5.3,1.48,0,5,89,-1.53,-4.2,""
"464","Wandy Peralta","Reds","pitcher","14295",50,4.28,1.48,0,2,44,-1.53,-4.21,""
"465","Nick Gardewine","Rangers","pitcher","16513",35,4.38,1.42,0,2,33,-1.54,-4.23,""
"466","Yovani Gallardo",NA,"pitcher","8173",94,4.97,1.52,0,5,67,-1.54,-4.24,""
"467","Brandon Workman","Red Sox","pitcher","11428",30,4.39,1.36,0,2,27,-1.55,-4.26,""
"468","AJ Ramos",NA,"pitcher","8350",50,4.41,1.42,0,1,50,-1.55,-4.28,""
"469","Matt Magill","Twins","pitcher","3950",40,4.67,1.4,0,2,37,-1.56,-4.31,""
"470","Blaine Hardy","Tigers","pitcher","6499",30,4.01,1.27,0,1,27,-1.57,-4.33,""
"471","Jared Miller","Diamondbacks","pitcher","sa827467",35,4.11,1.57,0,2,39,-1.57,-4.33,""
"472","Chad Bettis","Rockies","pitcher","10587",45,4.54,1.39,0,2,36,-1.58,-4.35,""
"473","Randall Delgado",NA,"pitcher","5985",50,4.64,1.41,0,2,42,-1.58,-4.36,""
"474","Glenn Sparkman","Royals","pitcher","15200",44,4.56,1.34,0,2,31,-1.6,-4.4,""
"475","Brett Cecil","Cardinals","pitcher","2660",40,4.35,1.41,0,2,32,-1.6,-4.42,""
"476","Kyle Bird","Rangers","pitcher","sa829691",40,4.49,1.46,0,2,38,-1.61,-4.42,""
"477","Robby Scott","Reds","pitcher","13042",30,4.19,1.34,0,1,32,-1.61,-4.44,""
"478","Austin Gomber","Cardinals","pitcher","16561",27,4.33,1.37,0,2,24,-1.61,-4.44,""
"479","Chasen Bradford","Mariners","pitcher","12452",50,4.53,1.39,0,2,37,-1.62,-4.45,""
"480","Bryse Wilson","Braves","pitcher","19990",24,3.79,1.28,0,1,24,-1.62,-4.47,""
"481","Dillon Maples","Cubs","pitcher","14672",20,3.35,1.43,0,1,27,-1.63,-4.48,""
"482","Tyler Webb","Cardinals","pitcher","14974",25,3.8,1.3,0,1,25,-1.63,-4.48,""
"483","Jorge De La Rosa",NA,"pitcher","2047",50,4.31,1.41,0,1,45,-1.63,-4.48,""
"484","Reymin Guduan","Astros","pitcher","13058",25,3.7,1.38,0,1,28,-1.63,-4.49,""
"485","Matt Belisle",NA,"pitcher","1837",50,4.33,1.36,0,1,40,-1.64,-4.52,""
"486","Jaime Schultz","Rays","pitcher","15066",20,3.67,1.31,0,1,24,-1.64,-4.52,""
"487","Hunter Wood","Rays","pitcher","15091",20,3.73,1.25,0,1,22,-1.64,-4.53,""
"488","Mike Mayers","Cardinals","pitcher","15451",25,3.92,1.27,0,1,24,-1.65,-4.53,""
"489","Miguel Gonzalez",NA,"pitcher","7024",110,5.26,1.45,0,5,73,-1.67,-4.6,""
"490","Evan Phillips","Orioles","pitcher","17734",35,4.58,1.47,0,2,35,-1.68,-4.61,""
"491","Zack Littell","Twins","pitcher","15823",29,4.55,1.37,0,2,25,-1.68,-4.63,""
"492","Spencer Turnbull","Tigers","pitcher","16207",34,4.51,1.41,0,2,29,-1.69,-4.65,""
"493","Elieser Hernandez","Marlins","pitcher","16933",44,4.72,1.41,0,2,37,-1.69,-4.66,""
"494","Chris Ellis","Royals","pitcher","sa602616",57,5.05,1.44,0,3,44,-1.69,-4.66,""
"495","Derek Law","Giants","pitcher","13133",25,3.8,1.3,0,1,23,-1.69,-4.67,""
"496","Drew VerHagen","Tigers","pitcher","13424",30,4.16,1.34,0,1,29,-1.7,-4.69,""
"497","Joaquin Benoit",NA,"pitcher","1437",40,4.49,1.38,0,1,39,-1.71,-4.7,""
"498","Jim Johnson",NA,"pitcher","3656",50,4.27,1.4,0,1,41,-1.71,-4.7,""
"499","Victor Arano","Phillies","pitcher","15915",25,4.2,1.3,0,1,26,-1.72,-4.73,""
"500","Tyler Chatwood","Cubs","pitcher","4338",39,4.26,1.53,0,2,36,-1.73,-4.77,""
"501","Jacob Barnes","Brewers","pitcher","12323",30,4.05,1.39,0,1,30,-1.73,-4.77,""
"502","Gerson Bautista","Mariners","pitcher","19256",30,4.29,1.38,0,1,32,-1.73,-4.77,""
"503","Ryan Dull","Athletics","pitcher","13974",30,4.31,1.31,0,1,28,-1.73,-4.77,""
"504","Thyago Vieira","White Sox","pitcher","14510",45,4.7,1.48,0,2,42,-1.74,-4.8,""
"505","Wei-Chieh Huang","Rangers","pitcher","sa872084",35,4.75,1.44,0,2,33,-1.75,-4.81,""
"506","Dylan Cease","White Sox","pitcher","sa829000",37,4.68,1.49,0,2,37,-1.75,-4.81,""
"507","Nick Burdi","Pirates","pitcher","16074",25,3.97,1.36,0,1,26,-1.75,-4.81,""
"508","Alex Wilson",NA,"pitcher","9239",40,4.26,1.35,0,1,32,-1.75,-4.81,""
"509","Miguel Diaz","Padres","pitcher","18815",25,3.98,1.38,0,1,27,-1.75,-4.82,""
"510","Lucas Giolito","White Sox","pitcher","15474",136,5.32,1.54,0,6,109,-1.76,-4.84,""
"511","Dan Altavilla","Mariners","pitcher","16507",25,4.15,1.36,0,1,27,-1.77,-4.87,""
"512","Corey Oswalt","Mets","pitcher","13677",38,4.63,1.41,0,2,30,-1.78,-4.89,""
"513","Dean Deetz","Astros","pitcher","16687",25,4.12,1.39,0,1,28,-1.78,-4.89,""
"514","Trevor Gott","Nationals","pitcher","15046",25,3.85,1.36,0,1,24,-1.78,-4.9,""
"515","Mike Wright","Orioles","pitcher","12586",49,4.88,1.41,0,2,40,-1.78,-4.9,""
"516","Pat Venditte","Giants","pitcher","7108",25,3.97,1.34,0,1,24,-1.78,-4.91,""
"517","Yimi Garcia","Dodgers","pitcher","12095",20,4.1,1.21,0,1,19,-1.78,-4.91,""
"518","T.J. McFarland","Diamondbacks","pitcher","3237",35,4.03,1.46,0,2,24,-1.79,-4.92,""
"519","Brian Flynn","Royals","pitcher","12027",45,4.4,1.45,0,2,33,-1.79,-4.93,""
"520","Brandon Maurer",NA,"pitcher","4878",40,4.37,1.41,0,1,37,-1.8,-4.95,""
"521","Merandy Gonzalez","Marlins","pitcher","17313",49,4.65,1.43,0,2,37,-1.81,-4.98,""
"522","Chad Sobotka","Braves","pitcher","17470",25,4.06,1.42,0,1,28,-1.81,-4.99,""
"523","Andrew Vasquez","Twins","pitcher","19482",20,3.73,1.35,0,1,21,-1.82,-5,""
"524","Dillon Peters","Angels","pitcher","18790",36,4.5,1.41,0,2,26,-1.82,-5.01,""
"525","Joey Krehbiel","Diamondbacks","pitcher","13707",20,3.99,1.36,0,1,23,-1.83,-5.03,""
"526","Grant Dayton","Braves","pitcher","11203",15,3.75,1.24,0,1,17,-1.83,-5.04,""
"527","Hunter Strickland",NA,"pitcher","7836",50,4.59,1.41,0,1,44,-1.84,-5.06,""
"528","Jake Faria","Rays","pitcher","13699",28,4.72,1.43,0,2,25,-1.84,-5.07,""
"529","Kyle Dowdy","Mets","pitcher","sa875594",20,3.89,1.29,0,1,19,-1.84,-5.07,""
"530","Brian Duensing","Cubs","pitcher","4064",40,4.52,1.47,0,2,32,-1.85,-5.1,""
"531","Luke Jackson","Braves","pitcher","11752",25,4.1,1.4,0,1,26,-1.86,-5.11,""
"532","Jake Newberry","Royals","pitcher","15136",40,4.77,1.44,0,2,33,-1.86,-5.12,""
"533","Aaron Wilkerson","Brewers","pitcher","16904",29,4.59,1.31,0,1,27,-1.86,-5.13,""
"534","Tyler Duffey","Twins","pitcher","13758",20,4.05,1.28,0,1,19,-1.87,-5.14,""
