"","Name","Team","position","playerid","IP","ERA","WHIP","SV","W","K","marginal.total.points","dollar.value","status"
"52","Zack Wheeler","Mets","pitcher","10310",171,3.86,1.26,0,10,172,7,19.26,"drafted"
"53","Masahiro Tanaka","Yankees","pitcher","15764",153,3.95,1.2,0,11,149,6.98,19.22,""
"54","Josh Hader","Brewers","pitcher","14212",80,2.95,1.12,12,4,121,6.92,19.05,"drafted"
"55","Brandon Morrow","Cubs","pitcher","9346",60,3.43,1.21,30,3,64,6.92,19.05,""
"56","Jose Alvarado","Rays","pitcher","17780",60,3.16,1.3,29,3,74,6.9,18.99,""
"57","Ryan Brasier","Red Sox","pitcher","5615",65,3.94,1.26,31,4,64,6.89,18.96,""
"58","Andrew Miller","Cardinals","pitcher","6785",60,2.95,1.13,24,3,76,6.85,18.86,""
"59","Joey Lucchesi","Padres","pitcher","19320",169,3.81,1.28,0,10,171,6.83,18.8,"drafted"
"60","Ken Giles","Blue Jays","pitcher","12910",65,3.61,1.2,28,3,73,6.79,18.7,""
"61","Cole Hamels","Cubs","pitcher","4972",172,3.96,1.29,0,11,171,6.75,18.58,"drafted"
"62","J.A. Happ","Yankees","pitcher","7410",168,4.12,1.26,0,11,169,6.7,18.44,"drafted"
"63","Anthony Swarzak","Mariners","pitcher","7466",65,3.87,1.28,31,3,66,6.57,18.08,""
"64","Trevor May","Twins","pitcher","6398",65,3.97,1.25,30,3,70,6.56,18.07,""
"65","Will Smith","Giants","pitcher","8048",65,3.09,1.17,23,3,78,6.55,18.02,""
"66","Nate Jones","White Sox","pitcher","4696",65,3.76,1.26,28,3,73,6.4,17.63,""
"67","Drew Steckenrider","Marlins","pitcher","18806",65,3.52,1.25,26,3,74,6.29,17.31,""
"68","Arodys Vizcaino","Braves","pitcher","5498",65,3.9,1.3,28,3,72,6.08,16.73,"drafted"
"69","Nathan Eovaldi","Red Sox","pitcher","9132",152,3.9,1.25,0,11,134,6.03,16.61,"drafted"
"70","Wade Davis","Rockies","pitcher","7441",65,3.97,1.32,28,3,74,6,16.51,"drafted"
"71","Kenta Maeda","Dodgers","pitcher","18498",132,3.87,1.2,0,9,138,5.91,16.28,""
"72","Jose Leclerc","Rangers","pitcher","14524",65,3.64,1.33,24,3,86,5.85,16.12,"drafted"
"73","Mychal Givens","Orioles","pitcher","10430",65,4.05,1.3,28,3,69,5.85,16.11,""
"74","Marco Gonzales","Mariners","pitcher","15467",180,4.08,1.28,0,11,149,5.84,16.08,""
"75","Dellin Betances","Yankees","pitcher","6216",75,2.85,1.12,6,5,112,5.78,15.9,""
"76","Tyler Skaggs","Angels","pitcher","10190",157,3.96,1.28,0,10,147,5.7,15.68,"drafted"
"77","Steven Matz","Mets","pitcher","13361",162,4.04,1.29,0,10,155,5.69,15.68,""
"78","Seranthony Dominguez","Phillies","pitcher","19249",65,3.39,1.25,21,3,81,5.66,15.58,""
"79","Jon Lester","Cubs","pitcher","4930",194,4.34,1.34,0,12,173,5.57,15.32,""
