"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Nick Gordon","Twins","8","35","32","8","1","0","0","3","3","2","7","0","1","0",".247",".293",".349",".642",".280","0.0","0.0","0.0","sa828662"
"Abiatal Avelino","Giants","15","64","59","14","2","1","1","6","6","3","13","0","2","1",".241",".286",".358",".644",".280","0.1","0.1","0.1","15496"
"Yu Chang","Indians","2","7","6","1","0","0","0","1","1","0","2","0","0","0",".217",".280",".360",".640",".279","0.0","0.0","0.0","sa830276"
"Cole Tucker","Pirates","8","35","32","8","1","0","0","3","3","3","7","0","1","1",".241",".300",".333",".633",".279","0.0","0.0","0.0","sa828671"
"Richie Martin","Orioles","50","210","191","45","8","2","3","20","18","14","38","3","6","3",".237",".296",".338",".634",".279","0.0","0.2","0.2","sa659080"
"Oscar Mercado","Indians","17","70","64","15","3","0","1","7","7","5","14","1","3","1",".237",".293",".339",".633",".278","0.0","0.0","-0.1","sa737612"
"Charlie Culberson","Braves","39","165","152","36","7","1","3","16","17","10","40","1","2","1",".236",".286",".361",".647",".278","-0.4","0.2","-0.1","3298"
"Jack Reinheimer","Rangers","18","77","70","17","3","0","1","7","6","6","17","1","2","1",".239",".299",".321",".621",".275","-0.1","0.1","0.0","14938"
"Willi Castro","Tigers","8","35","33","8","1","0","1","3","3","2","7","0","1","0",".242",".281",".352",".633",".275","0.0","0.0","0.0","sa830274"
"Richard Urena","Blue Jays","32","133","124","30","6","1","2","13","12","6","29","1","2","1",".240",".278",".356",".634",".275","0.0","0.1","0.1","16411"
"Alcides Escobar","","83","350","327","80","15","2","4","30","30","15","56","3","5","2",".244",".282",".335",".618",".269","-1.1","0.7","0.0","6310"
"Sergio Alcantara","Tigers","12","49","45","11","2","0","0","4","4","3","9","0","1","0",".240",".292",".312",".604",".268","0.0","0.0","0.0","sa739641"
"Blake Trahan","Reds","3","14","13","3","1","0","0","1","1","1","3","0","0","0",".225",".290",".298",".587",".262","0.0","0.0","0.0","17588"
"Jorge Mateo","Athletics","3","14","13","3","1","0","0","1","1","1","4","0","1","0",".221",".266",".333",".599",".261","0.0","0.0","0.0","sa657910"
"Kristopher Negron","Mariners","7","28","26","5","1","0","1","3","2","2","9","0","0","0",".206",".265",".317",".582",".257","-0.1","0.0","0.0","5306"
"Eric Stamets","Indians","3","14","13","3","1","0","0","1","1","1","4","0","0","0",".204",".264",".318",".581",".257","0.0","0.0","0.0","sa621787"
"Arquimedes Gamboa","Phillies","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".203",".266",".288",".554",".248","0.0","0.0","0.0","sa877497"
"Javier Guerra","Padres","3","14","13","2","0","0","0","1","1","1","5","0","0","0",".187",".231",".294",".525",".230","0.0","0.0","0.0","17292"
