"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Jake Bauers","Indians","50","210","183","43","10","1","6","25","25","24","54","1","4","2",".234",".324",".403",".728",".313","0.0","0.2","0.2","15194"
"Ryan O'Hearn","Royals","110","462","408","94","22","2","19","52","57","46","122","3","1","0",".230",".311",".429",".740",".313","-0.6","-0.2","0.2","16442"
"Nathaniel Lowe","Rays","13","56","49","13","2","0","2","7","7","6","13","0","0","0",".260",".343",".451",".795",".337","0.0","0.0","0.2","19566"
"Neil Walker","","30","124","109","27","5","0","4","14","14","13","26","1","1","0",".243",".326",".396",".723",".310","-0.3","0.0","0.1","7539"
"Kevin Cron","Diamondbacks","9","36","32","8","2","0","2","5","6","3","10","0","0","0",".247",".319",".498",".816",".337","0.0","0.0","0.1","16211"
"Ronald Guzman","Rangers","97","406","361","88","18","1","14","48","49","37","107","5","2","1",".244",".319",".419",".738",".313","2.3","-0.5","0.1","14388"
"Yonder Alonso","","14","59","52","13","2","0","2","7","8","6","13","0","0","0",".245",".326",".424",".751",".318","0.0","-0.2","0.1","2530"
"Greg Bird","","20","84","72","16","4","0","4","10","11","10","22","1","0","0",".227",".323",".437",".760",".322","0.2","0.0","0.1","14131"
"Jared Walsh","Angels","8","35","31","7","2","0","1","4","5","3","11","0","0","0",".233",".301",".433",".733",".308","0.1","0.0","0.0","18607"
"Edwin Rios","Dodgers","7","30","27","6","1","0","1","4","4","2","11","0","0","0",".228",".283",".432",".715",".298","0.0","0.0","0.0","18316"
"Ryon Healy","Brewers","8","35","33","8","2","0","2","4","5","2","8","0","0","0",".259",".303",".469",".772",".322","-0.3","-0.1","0.0","15447"
"Pablo Sandoval","Giants","14","58","53","13","3","0","2","6","7","4","13","0","0","0",".246",".297",".420",".717",".300","-0.3","-0.1","0.0","5409"
"Aramis Garcia","Giants","5","19","18","4","1","0","1","2","2","1","6","0","0","0",".211",".265",".356",".621",".265","0.1","0.0","0.0","16925"
"Logan Morrison","","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".241",".320",".485",".805",".335","0.0","0.0","0.0","9205"
"Matt Adams","Mets","3","13","12","3","1","0","1","2","2","1","4","0","0","0",".222",".281",".445",".726",".301","0.0","0.0","0.0","9393"
"Bobby Bradley","Indians","5","21","19","4","1","0","1","3","3","2","7","0","0","0",".226",".292",".450",".742",".309","0.1","0.0","0.0","17278"
"Brandon Dixon","Tigers","3","14","13","3","1","0","0","1","2","1","4","0","0","0",".235",".280",".408",".688",".289","-0.1","0.0","0.0","15214"
"Rangel Ravelo","Cardinals","2","7","6","2","0","0","0","1","1","1","1","0","0","0",".261",".325",".408",".733",".313","0.0","0.0","0.0","10839"
