"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Austin Romine","Yankees","30","128","118","29","6","0","3","13","14","7","26","1","1","0",".242",".288",".367",".655",".282","-0.6","-0.1","0.2","644.2","5491"
"Nick Hundley","Giants","27","115","107","25","6","0","3","11","13","6","29","0","0","0",".237",".280",".383",".663",".282","-1.4","-0.3","0.0","511.1","3376"
"Isiah Kiner-Falefa","Rangers","3","13","12","3","1","0","0","1","1","1","2","0","0","0",".251",".308",".330",".638",".282","0.0","0.0","0.0","999.0","sa737855"
"John Ryan Murphy","Diamondbacks","3","13","12","3","1","0","0","1","1","1","3","0","0","0",".235",".288",".363",".651",".282","0.0","0.0","0.0","999.0","10346"
"Reese McGuire","Blue Jays","3","13","11","3","1","0","0","1","1","1","2","0","0","0",".235",".297",".349",".646",".281","0.1","0.0","0.0","999.0","sa737505"
"Austin Wynns","Orioles","3","13","12","3","1","0","0","1","1","1","3","0","0","0",".238",".296",".346",".642",".281","0.0","0.0","0.0","737.0","sa707785"
"Jacob Nottingham","Brewers","3","13","12","2","1","0","0","1","1","1","4","0","0","0",".217",".286",".362",".648",".281","0.0","0.0","0.0","712.0","sa737809"
"Kyle Farmer","Dodgers","11","46","43","10","2","0","1","4","5","2","8","0","0","0",".242",".288",".362",".649",".280","-0.1","-0.1","0.0","999.0","14813"
"Caleb Joseph","Orioles","76","320","296","68","13","1","9","32","34","17","78","2","1","1",".230",".277",".375",".652",".280","3.5","-0.4","0.8","485.4","7087"
"Elias Diaz","Pirates","46","192","179","45","9","1","2","17","19","10","34","1","2","1",".252",".293",".352",".645",".280","1.2","-0.2","0.3","681.0","11680"
"Chad Wallach","Marlins","15","64","58","13","3","0","2","6","6","5","16","1","0","0",".219",".288",".351",".639",".279","-0.3","0.0","0.1","748.0","17161"
"Rene Rivera","Angels","46","192","175","39","7","0","6","17","23","12","54","2","1","0",".224",".279",".372",".651",".277","1.0","-0.5","0.4","634.7","3648"
"David Freitas","Mariners","3","13","12","3","1","0","0","1","1","1","2","0","0","0",".233",".290",".343",".634",".277","-0.1","0.0","0.0","999.0","10619"
"Drew Butera","Royals","18","77","70","16","3","0","2","8","7","5","19","1","0","0",".228",".285",".350",".636",".277","-0.5","-0.1","0.1","687.7","3411"
"Carlos Perez","Angels","8","32","29","7","1","0","1","3","3","2","6","0","0","0",".231",".285",".351",".636",".277","0.2","0.0","0.1","693.4","10642"
"Jorge Alfaro","Phillies","49","206","192","43","8","1","6","20","23","8","67","4","1","1",".226",".270",".374",".644",".276","-0.5","-0.2","0.0","246.8","12180"
"Jesus Sucre","Rays","38","160","149","37","6","0","3","15","17","6","30","2","2","1",".247",".283",".353",".636",".276","0.8","0.0","0.4","657.3","5942"
"Martin Maldonado","Angels","91","384","344","74","14","1","11","37","38","24","97","9","2","2",".215",".283",".353",".637",".275","4.3","-0.8","1.0","402.0","6887"
"Cam Gallagher","Royals","8","32","29","7","1","0","1","3","3","2","5","0","0","0",".236",".291",".340",".630",".275","0.2","0.0","0.1","999.0","12981"
"Jacob Stallings","Pirates","15","64","59","14","3","0","1","6","6","4","14","1","0","0",".238",".286",".348",".634",".274","0.5","-0.1","0.1","999.0","13723"
"Grayson Greiner","Tigers","8","32","29","7","1","0","1","3","3","2","8","0","0","0",".224",".279",".354",".633",".274","0.2","0.0","0.1","999.0","sa828801"
"Jose Lobaton","","23","96","86","19","3","0","2","8","9","8","22","1","0","0",".217",".290",".337",".626",".274","-0.6","-0.2","0.0","690.0","4243"
"Ramon Cabrera","","23","96","89","22","4","0","1","8","9","5","16","0","1","0",".243",".288",".340",".628",".273","-0.4","-0.1","0.0","999.0","10327"
"Luis Torrens","Padres","8","32","29","7","1","0","0","3","3","3","7","0","0","0",".229",".299",".326",".625",".273","-0.1","0.0","0.0","700.7","15905"
"Tomas Nido","Mets","8","32","30","7","1","0","1","3","3","2","6","0","0","0",".235",".274",".359",".633",".272","0.1","0.0","0.0","999.0","13755"
"Chris Stewart","Braves","8","32","29","7","1","0","0","2","2","2","5","0","0","0",".243",".305",".313",".618",".272","-0.2","-0.1","0.0","999.0","3878"
"Meibrys Viloria","Royals","1","6","6","1","0","0","0","1","1","0","1","0","0","0",".227",".273",".344",".617",".268","0.0","0.0","0.0","999.0","sa830182"
"Stuart Turner","Reds","8","32","29","6","1","0","1","3","3","2","8","0","0","0",".213",".275",".326",".601",".264","0.0","-0.1","0.0","693.0","15207"
"Juan Graterol","Angels","8","32","30","8","1","0","0","3","3","1","5","0","0","0",".248",".273",".336",".609",".263","0.2","0.0","0.0","999.0","5398"
"Alfredo Gonzalez","White Sox","1","6","6","1","0","0","0","1","0","1","1","0","0","0",".219",".288",".301",".589",".263","0.0","0.0","0.0","999.0","sa505301"
"Jose Trevino","Rangers","1","6","6","1","0","0","0","1","1","0","1","0","0","0",".231",".264",".335",".598",".258","0.0","0.0","0.0","999.0","sa827368"
"Jeff Mathis","Diamondbacks","69","288","264","56","11","2","5","23","25","18","86","2","2","1",".211",".264",".322",".586",".254","2.5","-0.3","-0.3","719.6","3448"
"Rocky Gale","Padres","23","96","88","20","3","0","1","8","7","5","18","1","0","0",".227",".275",".304",".579",".253","0.4","0.0","0.0","999.0","10533"
"Luke Maile","Blue Jays","5","19","18","4","1","0","0","2","2","1","4","0","0","0",".208",".258",".319",".577",".251","0.1","0.0","0.0","685.2","13355"
"Trevor Brown","Giants","3","13","12","3","0","0","0","1","1","1","3","0","0","0",".217",".264",".300",".564",".247","0.0","0.0","0.0","999.0","13895"
"Carlos Ruiz","","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","999.0","2579"
"Geovany Soto","","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","999.0","3707"
"Rob Brantly","","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","999.0","10655"
