"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Ben DeLuzio","Diamondbacks","3","14","13","3","1","0","0","1","1","1","4","0","1","0",".246",".304",".353",".657",".283","0.0","0.0","0.0","sa737626"
"Edward Olivares","Padres","2","7","6","2","0","0","0","1","1","0","1","0","0","0",".237",".284",".362",".646",".276","0.0","0.0","0.0","sa832015"
"Chris Shaw","Giants","7","28","26","6","1","0","1","3","3","2","8","0","0","0",".238",".292",".411",".702",".296","-0.1","0.0","0.0","17738"
"Skye Bolt","Athletics","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".215",".279",".346",".625",".269","0.0","0.0","0.0","17723"
"Sam Haggerty","Mariners","3","14","12","3","1","0","0","1","1","1","4","0","1","0",".215",".294",".312",".606",".266","0.0","0.0","0.0","18054"
"Braden Bishop","Mariners","8","35","32","7","1","0","1","3","3","3","8","0","0","0",".231",".294",".337",".630",".274","0.1","0.0","0.0","17806"
"Kevin Kramer","Pirates","21","88","80","19","4","0","2","8","9","6","25","1","1","1",".239",".298",".362",".660",".284","0.0","0.2","0.0","17689"
"Drew Waters","Braves","3","14","13","3","1","0","0","1","1","1","4","0","0","0",".257",".303",".394",".697",".296","0.0","0.0","0.0","sa3004378"
"Andrew Velazquez","Indians","13","56","52","12","3","0","1","6","6","3","15","0","2","1",".240",".287",".373",".659",".281","-0.2","0.1","0.0","14196"
"Erick Mejia","Royals","13","56","51","12","2","0","1","5","5","4","11","0","2","1",".243",".297",".339",".637",".276","0.0","0.0","0.0","15817"
"Mac Williamson","Mariners","3","14","13","3","1","0","1","1","2","1","4","0","0","0",".230",".298",".401",".699",".297","0.0","0.0","0.0","14158"
"Keon Broxton","Brewers","2","7","6","1","0","0","0","1","1","1","3","0","0","0",".191",".274",".334",".607",".264","0.0","0.0","0.0","9253"
"Jose Siri","Reds","2","7","6","1","0","0","0","1","1","0","2","0","0","0",".216",".267",".352",".619",".264","0.0","0.0","0.0","sa736940"
"Ronnie Dawson","Astros","3","14","13","3","1","0","0","1","1","1","4","0","0","0",".203",".268",".333",".600",".259","0.0","0.0","0.0","sa873674"
"Jesus Sanchez","Marlins","5","21","19","5","1","0","1","2","2","1","5","0","0","0",".242",".292",".375",".666",".284","0.0","0.0","0.0","sa872787"
"Rafael Ortega","","10","42","38","9","2","0","1","4","4","3","8","0","1","0",".251",".315",".380",".695",".298","-0.1","0.0","0.0","10323"
"Mickey Moniak","Phillies","3","14","13","3","1","0","0","1","1","1","3","0","0","0",".226",".270",".355",".625",".266","0.0","0.0","0.0","sa917920"
"Dairon Blanco","Royals","5","21","19","5","1","0","0","2","2","1","6","0","1","0",".241",".290",".366",".656",".280","0.0","0.0","0.0","sa3005386"
"Curtis Granderson","","15","63","55","12","3","0","2","7","7","7","17","1","1","0",".216",".309",".393",".702",".301","-0.3","-0.1","0.0","4747"
"Michael Hermosillo","Angels","18","77","69","15","3","0","2","8","8","6","24","2","2","1",".215",".288",".358",".646",".279","0.3","0.1","0.0","16285"
"Sean Rodriguez","","38","161","141","30","6","1","6","17","18","16","53","2","1","1",".211",".299",".377",".676",".291","-0.9","-0.2","0.0","6589"
"Blake Swihart","Rangers","3","14","13","3","0","0","0","1","1","1","4","0","0","0",".218",".288",".353",".641",".277","0.0","0.0","0.0","13176"
"Harold Castro","Tigers","13","56","53","14","2","0","1","5","5","2","12","0","1","0",".263",".289",".359",".648",".277","-0.3","0.0","0.0","14691"
"Brandon Dixon","Tigers","18","77","71","17","4","1","2","8","9","4","23","1","1","0",".239",".286",".404",".690",".291","-0.3","0.1","0.0","15214"
"Steve Pearce","","50","210","186","44","9","1","7","24","25","18","52","3","1","0",".237",".314",".410",".724",".309","-1.1","-0.3","0.0","9957"
"Seth Brown","Athletics","25","105","96","22","5","1","3","11","12","7","30","1","1","0",".232",".286",".400",".686",".290","0.1","0.0","0.0","18171"
"Tyrone Taylor","Brewers","7","29","27","6","1","0","1","3","3","2","7","0","0","0",".224",".274",".367",".642",".274","0.0","0.0","0.0","13675"
"Anthony Alford","Blue Jays","25","105","95","21","5","0","2","11","10","8","31","1","4","2",".225",".290",".349",".639",".277","-0.6","0.2","0.0","14329"
"Andrew Stevenson","Nationals","16","66","60","15","2","0","1","6","6","4","18","1","1","1",".250",".304",".350",".654",".283","0.0","0.1","-0.1","17932"
"Danny Santana","Rangers","140","588","543","135","27","5","20","71","72","32","163","5","19","8",".249",".295",".430",".725",".303","-6.0","1.5","-0.1","10322"
"Matt Kemp","Marlins","8","35","32","8","2","0","1","4","4","2","9","0","0","0",".247",".295",".426",".721",".302","-0.6","-0.1","-0.1","5631"
