"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Isiah Kiner-Falefa","Rangers","6","27","24","6","1","0","0","3","3","2","5","0","0","0",".255",".319",".361",".680",".295","0.1","0.0","0.0","16512"
"Raudy Read","Nationals","1","6","6","1","0","0","0","1","1","0","1","0","0","0",".242",".283",".397",".681",".286","0.0","0.0","0.0","15766"
"Caleb Joseph","Blue Jays","3","13","12","3","1","0","0","1","1","1","4","0","0","0",".214",".259",".343",".602",".257","0.0","0.0","0.0","7087"
"Jacob Nottingham","Brewers","1","6","6","1","0","0","0","1","1","0","2","0","0","0",".207",".274",".342",".616",".265","0.0","0.0","0.0","16448"
"Joe Hudson","","3","13","12","2","0","0","0","1","1","1","4","0","0","0",".190",".256",".304",".560",".244","0.0","0.0","0.0","14412"
"Welington Castillo","Nationals","9","38","35","9","2","0","2","4","5","2","11","0","0","0",".243",".295",".423",".719",".303","0.0","-0.2","0.0","3256"
"Andrew Knapp","Phillies","24","102","89","19","4","0","2","10","10","11","32","1","1","0",".214",".307",".342",".648",".282","-0.8","0.1","0.0","14942"
"Rocky Gale","","3","13","12","3","0","0","0","1","1","1","3","0","0","0",".221",".258",".302",".561",".243","0.0","0.0","0.0","10533"
"Meibrys Viloria","Royals","21","90","81","20","4","0","1","9","8","6","22","1","1","0",".241",".297",".350",".648",".280","0.4","0.0","0.0","17109"
"Juan Centeno","Red Sox","5","19","18","4","1","0","0","2","2","1","4","0","0","0",".247",".301",".353",".654",".282","-0.1","0.0","0.0","7168"
"Blake Swihart","Rangers","3","14","13","3","0","0","0","1","1","1","4","0","0","0",".218",".288",".353",".641",".277","0.0","0.0","0.0","13176"
"Elias Diaz","Rockies","17","70","64","18","4","0","2","7","8","5","12","0","0","0",".284",".336",".423",".759",".323","-0.3","-0.1","0.0","11680"
"Drew Butera","","29","122","109","27","6","1","3","13","13","10","29","1","1","0",".245",".313",".389",".702",".300","-0.3","-0.2","-0.1","3411"
"Jeff Mathis","Rangers","55","230","209","42","9","1","3","20","19","16","74","2","2","1",".202",".262",".302",".564",".245","0.2","-0.6","-0.4","3448"
